journal,abbreviation,issn,alternative_title
JuristenZeitung,JZ,"2569-4162,1615-9063,0173-475X,1029-1776,0036-7613,1863-9984,1866-1696,1869-6902,1868-8810,0933-0399,0022-6882,0937-5538,0029-9251,1868-7067,1869-6899","Juristische Zeitgeschichte, Jahrbuch der Juristischen Zeitgeschichte : JJZG / Institut für Juristische Zeitgeschichte, FernUniversität Hagen"
Juristische Arbeitsblätter,JA,"0022-6904,0720-6356",
Juristische Ausbildung,JURA,"1612-7021,1434-8993,2190-1570,0170-1452",Der Hausjurist
Juristische Rundschau,JR,"0022-6920,1612-7064",
Juristische Schulung,JuS,0022-6939,
Kirche und Recht,KuR,0259-0735,
Kommunaljurist,KommJur,1613-0235,
Kommunikation und Recht,K&R,1434-6354,Kommunikation & Recht
Kriminalistik,Kriminalistik,0023-4699,
Kritische Justiz,KJ,"2942-3295,0023-4834",
Kritische Vierteljahresschrift für Gesetzgebung und Rechtswissenschaft,KritV,"0179-2830,2364-6071,2193-7869",
"Landes- und Kommunalverwaltung für die Länder Berlin, Brandenburg, Sachsen, Sachsen-Anhalt, Thüringen",LKV,"1435-1382,0940-7286,0939-0014",Landes- und Kommunalverwaltung
Lebensmittel und Recht,LMuR,"1438-2318,1434-2626",Lebensmittel & Recht
Markenrecht,"MarkenR, markenr","1438-2288,1436-9265",MarkenR
Medialex,ML,1420-3723,
Medien und Recht International,MR-Int,1817-8456,
"Medien, Internet und Recht",MIR,1861-9754,
Medizinprodukterecht,MPR,1618-9027,MedizinProdukte-Recht
Medizinrecht,MedR,"1436-8935,1433-8629,0723-8886",
Mehrwertsteuerrecht,MwStR,2195-1179,
Monatsschrift für Deutsches Recht,MDR,0340-1812,Monatsschrift für deutsches Recht
Monatsschrift für Kriminologie und Strafrechtsreform,"MschrKrim, MKS","0026-9301,2366-1968",
MultiMedia und Recht,MMR,"2198-543X,1434-596X,2698-7988",MMR
myops,myops,,
Natur und Recht,NuR,"0172-1631,1439-0515",
Netzwirtschaften und Recht,N&R,1612-9245,Netzwirtschaften & Recht
Neue Juristische Online Zeitschrift,NJOZ,2698-8887,Neue juristische Online-Zeitschrift
Neue Juristische Wochenschrift,NJW,"0949-7102,1617-2914,0949-7099,1613-4621,1431-9004,1433-7916,0179-4043,0934-8778,1434-3959,0940-6158,1615-6161,0012-1347,0341-1907,0949-4766,1618-5730,0937-6372,0940-6166,0949-7110,0341-1915,0949-7676,0940-614X,0936-5656,0949-2186",NStZ-Volltext-CD-ROM
Neue Justiz,NJ,0028-3231,
Neue Zeitschrift für Arbeitsrecht,NZA,0943-7525,
Neue Zeitschrift für Baurecht und Vergaberecht,NZBau,1439-6351,
Neue Zeitschrift für Familienrecht,NZFam,2198-2333,
Neue Zeitschrift für Gesellschaftsrecht,NZG,1434-9272,
Neue Zeitschrift für Insolvenz- und Sanierungsrecht,NZI,1436-4778,NZI: neue Zeitschrift für Insolvenz- und Sanierungsrecht
Neue Zeitschrift für Kartellrecht,NZKart,2195-2833,
Neue Zeitschrift für Miet- und Wohnungsrecht,NZM,"0940-6158,1434-677X",NZM
Neue Zeitschrift für Sozialrecht,NZS,0941-7915,
Neue Zeitschrift für Strafrecht,NStZ,0720-1753,
Neue Zeitschrift für Verkehrsrecht,NZV,0934-1307,
Neue Zeitschrift für Verwaltungsrecht,NVwZ,"0940-7286,0721-880X",
Neue Zeitschrift für Wehrrecht,NZWehrr,0028-3525,
"Neue Zeitschrift für Wirtschafts-, Steuer- und Unternehmensstrafrecht",NZWiSt,2193-5777,
Newsletter der Deutsch-Amerikanischen Juristenvereinigung e.V.,DAJV Newsletter,,
Niedersächsische Verwaltungsblätter,NdsVBl,0946-7971,
Non Profit Law Yearbook,NPLY,,
Nordrhein-Westfälische Verwaltungsblätter,NWVBl,0932-710X,
Osteuropa-Recht,OER,"0030-6444,2366-6730","Osteuropa, Osteuropa-Recht"
Pflegerecht,"PflR, PR","1433-7231,2235-2953",
Pharma Recht,PharmR,0172-6617,Pharma-Recht
Praxis der Rechtspsychologie,,0939-9062,
Praxis des Internationalen Privat- und Verfahrensrechts,"IPrax, IPRax",,
Rabels Zeitschrift für ausländisches und internationales Privatrecht,RabelsZ,"1868-7059,0033-7250",
Recht & Psychiatrie,R&P,"0724-2247,2942-4887",
recht + schaden,r+s,0343-9771,Recht und Schaden
Recht Automobil Wirtschaft,RAW,2195-0261,"Recht, Automobil, Wirtschaft"
Recht der Arbeit,RdA,0342-1945,
Recht der Datenverarbeitung,RDV,0178-8930,
Recht der Energiewirtschaft,RdE,"2366-1976,0944-128X",
Recht der erneuerbaren Energien,"ree, REE",2193-8334,
Recht der Finanzinstrumente,RdFin,2191-3838,
Recht der Internationalen Wirtschaft,RIW,0340-7926,Recht der internationalen Wirtschaft
Recht der Jugend und des Bildungswesens,RdJB,"0034-1312,2366-6749",
Recht der Landwirtschaft,RdL,"1864-2764,0486-1469",
Recht der Transportwirtschaft,RdTW,1869-7100,Zeitschrift für das Recht der Transportwirtschaft
Recht Digital,RDi,"2700-1288,2702-2404,2700-1296",Recht digital
Recht im Amt,RiA,0034-1339,
Recht in Afrika,RiA,"2363-6270,1435-0963",
Recht und Politik,RuP,"0344-7871,2366-6757",
Recht und Politik im Gesundheitswesen,RPG,0948-3209,
Recht und Zugang,RuZ,"2699-1284,2942-3368",
Rechtsmedizin,RechtsMed,"0937-9819,0935-087X,1434-5196",
Rechtsphilosophie,RphZ,"2942-3341,2364-1355",
Rechtstheorie,RT,"2629-7248,2629-723X,0034-1398,1865-519X",
Rechtswissenschaft,RW,"1868-8098,2942-3376,2940-9012,1860-1979",
ReiseRecht aktuell,RRa,"0944-7490,2193-9535",Reise-Recht aktuell
Rheinische Notar-Zeitschrift,RNotZ,1867-4186,
Richter ohne Robe,RohR,"2190-345X,2366-6765",
Sächsische Verwaltungsblätter,SächsVBl,0943-2442,
SchiedsamtsZeitung,SchiedsAZ,,
Schnelldienst Ausländer- und Asylrecht,AuAS,0942-4571,
Schulrecht,SchuR,1434-4181,
Schulrecht heute,SchulR heute,2192-3760,
Sozialrecht aktuell,SR,1434-7261,
Sport und Recht,SpuRt,0945-3873,SpuRt
Steuer und Wirtschaft,StuW,0341-2954,
Steuerrecht kurzgefasst,SteuK,1869-2435,
Strafverteidiger,StV,"2366-2166,0720-1605",
Strafverteidiger-Forum,StraFo,0947-9252,
Straßenverkehrsrecht,SVR,1613-1096,
Studentische Zeitschrift für Rechtswissenschaft Heidelberg,StudZR,2629-7132,
Thüringer Verwaltungsblätter,ThürVBl,0941-7648,
Transportrecht,TranspR,"2366-2174,0174-559X",
Umsatzsteuer-Rundschau,UR,"1027-8982,1864-5690,0340-840X,0250-6688,1865-6935,0949-510X,1433-464X,0531-2485,1618-9574,0257-3822,1618-9582,2467-0812,1432-4474,2363-9199,1611-7018,1431-228X,1437-2355,0723-1814,2509-2189,0938-0183,1869-3849,0341-8669,0938-8419,1867-3201,0945-7488,2199-5052,1434-8993,0078-3552,1616-2277,2191-3544,1680-8290,0435-8600,1431-6749,0344-2373,1420-9209,0943-383X,1431-2808,0937-1125,0173-1718,2942-0296,2190-1570,1431-2425,0016-9420,2192-7162",Der Hausjurist
Umwelt und Planungsrecht,UPR,"2570-1061,0721-7390",Umwelt- und Planungsrecht
Verbraucher und Recht,VuR,0930-8369,
Verbraucherinsolvenz aktuell,VIA,1869-5361,
Verfassung und Recht in Übersee,VRÜ,"2941-9603,0506-7286",
Vergaberecht,VergabeR,"0939-4508,2366-2247,2513-0463,1617-1063",
Verkehrsrechts-Sammlung,VRS,"0342-2496,0342-250X",
Versicherungsrecht,VersR,"0342-2429,2662-4427",
Verwaltungsarchiv,"VerwA, VerwArch","2366-1992,0042-4501",
Verwaltungsblätter für Baden-Württemberg,VBlBW,0720-2407,
Verwaltungsrundschau,"VR, vr",0342-5592,
Vierteljahresschrift für Sozialrecht,VSSR,"0941-861X,0301-2999",
Vollstreckung effektiv,Vollstr,1439-5355,
Wettbewerb in Recht und Praxis,"WRP, wrp","0172-049X,0508-6205,1435-3059",
Wirtschaft und Recht in Osteuropa,WiRO,0941-6293,
Wirtschaft und Wettbewerb,WuW,0043-6151,
Wissenschaftsrecht,WissR,"0948-0218,1868-680X",
Zeitschrift Blutalkohol,Blutalkohol,,
Zeitschrift für Arbeitsrecht,"ZfA, ZFA","0342-328X,2366-2042",
Zeitschrift für Arbeitsrecht und Tarifpolitik in Kirche und Caritas,ZAT,2196-0119,Zeitschrift für Arbeitsrecht und Tarifpolitik in kirchlichen Unternehmen
Zeitschrift für Ausländerrecht und Ausländerpolitik,ZAR,0721-5746,
Zeitschrift für ausländisches öffentliches Recht und Völkerrecht,ZaöRV,"2942-3562,0044-2348",
Zeitschrift für ausländisches und internationales Arbeits- und Sozialrecht,ZIAS,0930-861X,
Zeitschrift für Bank- und Kapitalmarktrecht,BKR,1617-7223,
Zeitschrift für Bankrecht und Bankwirtschaft,ZBB,0936-2800,
Zeitschrift für Beamtenrecht,ZBR,0514-2571,
Zeitschrift für Bergrecht,ZfB,0340-3939,
Zeitschrift für chinesisches Recht,ZChinR,"2366-7125,1613-5768",
Zeitschrift für das Abfallrecht,AbfallR,1610-9376,Recht der Abfallwirtschaft
Zeitschrift für das Fürsorgewesen,ZfF,0342-3379,
Zeitschrift für das gesamte Familienrecht,FamRZ,0044-2410,
Zeitschrift für das gesamte Genossenschaftswesen,ZfgG,,
Zeitschrift für das gesamte Handelsrecht und Wirtschaftsrecht,ZHR,0044-2437,
Zeitschrift für das gesamte Lebensmittelrecht,ZLR,0342-3476,
Zeitschrift für das gesamte Medizin- und Gesundheitsrecht,ZMGR,1612-734X,
Zeitschrift für das gesamte Recht der Energiewirtschaft,EnWZ,2195-2841,EnWZ
"Zeitschrift für das gesamte Schuldrecht [bzw.Zeitschrift für Vertragsgestaltung, Schuld- und Haftungsrecht]",ZGS,"2192-3450,1619-7011","Zeitschrift für Vertragsgestaltung, Schuld- und Haftungsrecht"
Zeitschrift für das Gesamte Sicherheitsrecht,"GSZ, gsz",,
Zeitschrift für das Juristische Studium,ZJS,1865-6331,Zeitschrift für das juristische Studium
Zeitschrift für das öffentliche Arbeits- und Tarifrecht,öAT,1869-9367,
Zeitschrift für das Recht der Non Profit-Organisationen,npoR,,
Zeitschrift für das Stiftungs- und Vereinswesen,ZStV,1869-800X,Zeitschrift für Stiftungs- und Vereinswesen
Zeitschrift für Datenschutz,ZD,2192-5593,
"Zeitschrift für Deutsches und Europäisches Wasser-, Abwasser- und Bodenschutzrecht",W+B,,
Zeitschrift für deutsches und internationales Bau- und Vergaberecht,ZfBR,0170-0413,
Zeitschrift für die gesamte erbrechtliche Praxis,ErbR,1862-4790,
Zeitschrift für die gesamte Privatrechtswissenschaft,ZfPW,2363-4960,
Zeitschrift für die gesamte Strafrechtswissenschaft,"ZStW, ZStrW","1612-703X,0084-5310",
Zeitschrift für die notarielle Beratungs- und Beurkundungspraxis,NotBZ,1433-1780,NotBZ
Zeitschrift für die Steuer- und Erbrechtspraxis,ZErb,1439-3182,
Zeitschrift für Digitalisierung und Recht,ZfDR,2703-0776,
Zeitschrift für Energie- und Wettbewerbsrecht in der kommunalen Wirtschaft,EWeRK,,
Zeitschrift für Erbrecht und Vermögensnachfolge,ZEV,0945-4969,
Zeitschrift für Europäisches Privatrecht,ZEuP,0943-3929,Zeitschrift für europäisches Privatrecht
Zeitschrift für europäisches Sozial- und Arbeitsrecht,ZESAR,"1611-1958,1868-7938,1864-8479",
Zeitschrift für Europäisches Umwelt- und Planungsrecht,EurUP,,
Zeitschrift für Europarechtliche Studien,ZEuS,"2942-3589,1435-439X",Zeitschrift für europarechtliche Studien
Zeitschrift für evangelisches Kirchenrecht,"ZevKR, ZevKr","0044-2690,1868-7369",
Zeitschrift für Familien- und Erbrecht,"ZFE, EF-Z","2226-0412,1619-7003",
Zeitschrift für Familienunternehmen und Stiftungen,FuS,2191-9828,
Zeitschrift für geistiges Eigentum,ZGE,"1867-237X,1867-2523",
Zeitschrift für Gemeinschaftsprivatrecht,GPR,"1612-9229,2364-7213,2193-9519,2364-7205",GPR
Zeitschrift für Gesetzgebung,ZG,0179-4051,
Zeitschrift für Höchstrichterliche Rechtsprechung im Strafrecht,HRRS,,
Zeitschrift für Immissionsschutzrecht und Emissionshandel,I+E,2191-3331,
Zeitschrift für Immobilienrecht,ZfIR,"1433-0172,1619-3741",
Zeitschrift für Insolvenzrecht,KTS,"2366-231X,1432-461X,0023-3552,1436-4778,1024-6096","Konkurs, Treuhand, Sanierung"
Zeitschrift für Internationale Rechnungslegung,IRZ,,
Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,1863-6470,
Zeitschrift für Internationales Wirtschaftsrecht,IWRZ,2365-2004,Zeitschrift für internationales Wirtschaftsrecht
Zeitschrift für Internationales Wirtschaftsrecht,IWRZ,2365-2004,Zeitschrift für internationales Wirtschaftsrecht
Zeitschrift für Japanisches Recht,ZJapanR,2366-7117,Zeitschrift für japanisches Recht
Zeitschrift für Kindschaftsrecht und Jugendhilfe,ZKJ,1861-6631,
Zeitschrift für Luft- und Weltraumrecht,ZLW,0340-8329,
Zeitschrift für Medizinstrafrecht,medstra,2199-4323,Medstra
Zeitschrift für Miet- und Raumrecht,ZMR,"0340-7497,2366-2069",
Zeitschrift für neuere Rechtsgeschichte,ZNR,0250-6459,
Zeitschrift für neues Energierecht,ZNER,1434-3339,
Zeitschrift für Öffentliches Recht in Norddeutschland,NordÖR,,
Zeitschrift für Parlamentsfragen,ZParl,,
Zeitschrift für Personalvertretungsrecht,ZfPR,0934-9677,
Zeitschrift für Rechtsgeschichte - Savigny-Zeitschrift,ZRG,"0323-4045,2304-4934,2304-4861,0935-7963,0323-4096,0323-4142,2304-4896","Zeitschrift der Savigny-Stiftung für Rechtsgeschichte, Germanistische Abteilung"
Zeitschrift für Rechtspolitik,ZRP,0514-6496,
Zeitschrift für Rechtssoziologie,"ZfRsoz, Zs. f. Rechtssoz.","0174-0202,2366-0392",
Zeitschrift für Schadensrecht,zfs,0173-0568,
Zeitschrift für Schiedsverfahren,SchiedsVZ,1610-322X,SchiedsVZ
Zeitschrift für Sozialrecht in Deutschland und Europa,ZfSH/SGB,0724-4711,Zeitschrift für Sozialhilfe und Sozialgesetzbuch
Zeitschrift für Stoffrecht,StoffR,"1613-3919,2190-815X",StoffR
Zeitschrift für Tarifrecht,ZTR,0931-8577,
Zeitschrift für Umweltpolitik & Umweltrecht,ZfU,0931-0983,
Zeitschrift für Umweltrecht,ZUR,0943-383X,
Zeitschrift für Unternehmens- und Gesellschaftsrecht,ZGR,"1612-7048,0340-2479",
Zeitschrift für Urheber- und Medienrecht,ZUM,0177-6762,
Zeitschrift für Verbraucher- und Privat-Insolvenzrecht,ZVI,"0935-5847,1619-3741",ZVI
Zeitschrift für Vergleichende Rechtswissenschaft,ZVR,"0044-3662,2194-1483",Zeitschrift für Verkehrsrecht
Zeitschrift für Vertriebsrecht,ZVertriebsR,2193-5769,
Zeitschrift für Wasserrecht,ZFW,"0044-3735,0722-8910",
Zeitschrift für Wett- und Glücksspielrecht,ZfWG,2192-0141,
Zeitschrift für Wettbewerbsrecht,ZWeR,"1611-1982,2199-1723",
Zeitschrift für Wirtschafts- und Bankrecht,WM,"0931-4253,0509-0717,0342-6971,1867-9129,2199-6741,0945-9715,0173-1564","Amtsblatt des Bayerischen Staatsministeriums für Bildung und Kultus, Wissenschaft und Kunst"
Zeitschrift für Wirtschafts- und Steuerstrafrecht,"wistra, Wistra",0721-6890,Wistra
Zeitschrift für Wirtschaftsrecht,ZIP,"0172-8245,0723-9416,0720-8170",ZIP
Zeitschrift für Wirtschaftsstrafrecht und Haftung im Unternehmen,ZWH,"2192-8002,2366-1496",Wirtschaftsstrafrecht und Haftung im Unternehmen
Zeitschrift für Wohnungseigentumsrecht,ZWE,"0931-4768,1611-8650",
Zeitschrift für Zivilprozeß,ZZP,"1660-8909,0342-3468,1434-8888,2366-2077",Zeitschrift für Zivilprozeß international
Zeitschrift für Zölle und Verbrauchsteuern,ZfZ,"2195-8920,0342-3484",
Zeitschrift zum Innovations- und Technikrecht,InTeR,"2569-2852,2195-5743",InTeR Schriftenreihe
AbfallR - Zeitschrift für das Recht der Abfallwirtschaft,AbfallR,1610-9376,Recht der Abfallwirtschaft
Archiv für Sozialgeschichte,AfS,,
Anwaltsgebühren spezial,AGS,0942-590X,
Aktuelle juristische Praxis,AJP,1660-3362,
Ad Legendum,AL,"0948-9770,0948-8251,1614-614X,2511-5766,2409-6911,0931-3613,2522-6940,1420-2395",Austrian law journal
Österreichisches Anwaltsblatt,AnwBl,1605-2544,
Mitteilungen der APBB,APBB-Mitt.,,
apf - Ausbildung-Prüfung-Fortbildung,apf,"1867-7002,1612-3980","Ausbildung, Prüfung, Fachpraxis, Gesamtausgabe mit Landesteil Baden-Württemberg"
Apotheke & Recht,APR,1434-7970,
Aus Politik und Zeitgeschichte,APuZ,,
Archiv für Kriminologie,ArchKrim,0003-9225,
Austrian review of international and European law,ARIEL,,
Arztrecht,ArztR,"1616-6655,0340-5524,0343-5733",
ASDA-Bulletin : Schweizer Fachzeitschrift für Luft- und Weltraumrecht,ASDA-Bulletin,,
"Anwalt, Anwältin im Sozialrecht",ASR,1438-3365,
Arbeit und Arbeitsrecht,AuA,0323-4568,
Ausländer- und Asylrecht Schnelldienst,AuAS,0942-4571,Schnelldienst Ausländer- und Asylrecht
Aufsichtsrat,Aufsichtsrat,,
Der Arzt und sein Recht,AusR,0935-5553,
Betriebs-Berater / Außenwirtschaftsdienst,AWD,0004-8232,"Der Betriebs-Berater, Außenwirtschaftsdienst des Betriebs-Beraters : AWD"
AWR-Bulletin : Vierteljahresschrift für Flüchtlingsfragen,AWR-Bulletin,,
Die Bank,Bank,"1861-4884,0938-3050,0342-6971,0940-9858,2198-0624,0175-3207,1437-0344,1866-7597,1300-1396,0340-7926,0945-9715,2941-9301,1028-6780,0941-147X,2198-851X,1434-6354,0340-7918,1617-7223","Juris-PraxisReport, Bankrecht"
Bank-Archiv,BankArch,,
Der Bausachverständige,Bausachverständige,1614-6123,
Bayerischer Gemeindetag,BayGT,,
Bundesbaublatt,BBB,0007-5884,
Berliner Anwaltsblatt,BerlAnwBl,"0930-3065,2510-5116",
Betriebliche Altersversorgung,BetrAV,0005-9951,
Betrifft: Justiz,Betrifft Justiz,,
Bewertungs-Praktiker Fachinformationen zu Bewertungsfragen,BewertungsPraktiker,,
Bewährungshilfe,BewHi,0405-6779,
BFH/NV Sammlung der Entscheidungen des Bundesfinanzhofs,BFH/NV,,
Die Berufsgenossenschaft,BG,"1611-1095,0935-8455,1433-7916,0435-7124,0433-7131,0949-3476,1439-3662,1865-2107,0941-696X,0941-6951,1868-7296,1869-389X,0342-0809,0724-7672,2363-7382,0721-880X,1618-5730,0435-7132,0935-8471,2513-1419,2569-3883,0939-6829,0948-017X,0932-0911,0016-9420,1610-2452","Eildienst: Bundesgerichtliche Entscheidungen, BGH"
Basler juristische Mitteilungen,BJM,0522-456X,
Die Betriebskrankenkasse,BKK,"1436-1612,0343-0995,2192-788X,2941-9727,2199-6814,2199-6822,0945-1633,1869-1838,1430-6743,0722-2351,0940-788X",Krankheitsarten-Statistik
Blätter für deutsche und internationale Politik,Blätter,"1866-0746,0029-8921,2700-919X,2510-246X,0022-6912,0340-0255,0006-4491,0179-8065,2629-2971,0379-4423,0024-0044,1867-4429,2628-3654,0179-8057",ÖBl
Bucerius Law Journal,BLJ,,
"Blatt für Patentwesen, Muster- u. Zeichenwesen",BlPMZ,0930-2980,"Blatt für Patent-, Muster- und Zeichenwesen"
Blutalkohol,Blutalkohol,0006-5250,
Zeitschrift für betriebliche Prävention und Unfallversicherung,BPUVZ,2193-3308,
Bundesgesundheitsblatt – Gesundheitsforschung – Gesundheitsschutz,Bundesgesundheitsbl,,
Zeitschrift für das Notariat in Baden-Württemberg,BWNotZ,1434-2979,
Corporate-Compliance-Zeitschrift,CCZ,1865-3952,
Corporate Finance law,CFL,,
Computer Law Review International,CRi,2194-4164,Computer law review international
Contracting und Recht,CuR,1613-950X,
DAJV-Newsletter,DAJV-Newsletter,1862-1821,
Datenschutz-Nachrichten,DANA,0173-7767,
Deutsche Polizei,Deutsche Polizei,"0170-6454,0170-6438,0170-6462,0170-6470,0170-639X,0170-6446,0170-6489,0170-6497,0943-9463,0170-642X,0170-6411,0170-6381,0012-057X","Deutsche Polizei, Ausgabe Berlin"
Deutsche Gerichtsvollzieher-Zeitung,DGVZ,1861-6593,
Zeitschrift des Deutschen Juristinnenbundes,djbZ,"2942-3163,1866-377X",
