,abbreviation,title,url
89,InTeR,Zeitschrift zum Innovations- und Technikrecht,https://www.dfv.de/portfolio/medien/InTeR---Zeitschrift-zum-Innovations--und-Technikrecht-68
90,IPRax,Praxis des internationalen Privat- und Verfahrensrechts,https://www.iprax.de/de/
91,IPRB,IP-Rechts-Berater,https://www.ip-rb.de/
92,ITRB,Der IT-Rechts-Berater,https://www.otto-schmidt.de/it-rechtsberater-itrb-probeabo-16171527.html
93,iurratio,iurratio - Das Jura Journal,https://iurratio.de/journal
94,IWB,Internationales Steuer- und Wirtschaftsrecht,https://datenbank.nwb.de/Zeitschriften/Ausgabe/3HSXVWUQZT
95,JA,Juristische Arbeitsblätter,https://rsw.beck.de/zeitschriften/ja
96,JAmt,Das Jugendamt,https://www.dijuf.de/jamt-fachzeitschrift.html
97,JB,Das juristische Büro,https://shop.wolterskluwer-online.de/zivilprozessrecht/08250963/
98,JBB,Journal of Banking Law and Banking,https://www.degruyter.com/view/j/zbb
99,JIPITEC,"Journal of Intellectual Property, Information Technology and E-Commerce Law",https://www.jipitec.eu/
100,JLL,International Journal of Language & Law,https://www.languageandlaw.eu/jll
101,jM,juris – Die Monatszeitschrift,https://www.juris.de/jportal/allianz/nav/produktdetailsseiten/die+monatszeitschrift?id=produktdetails_54030.jsp
102,JR,Juristische Rundschau,https://www.degruyter.com/view/j/juru
103,JSE,Jura Studium & Examen,http://www.zeitschrift-jse.de/
104,JURA,Juristische Ausbildung,https://www.degruyter.com/view/j/jura
105,JurPC,JurPC,https://www.jurpc.de/
106,JuS,Juristische Schulung,https://beck-online.beck.de/?vpath=bibdata%2fzeits%2fJUS%2fcont%2fJUS%2ehtm#A
107,JusExtra,Jus extra,https://biblioscout.net/journal/jus-extra
108,JuWiss,Junge Wissenschaft im öffentlichen Recht,https://www.juwiss.de/
109,JZ,Juristenzeitung,https://www.mohrsiebeck.com/zeitschrift/juristenzeitung-jz
110,JöR,Jahrbuch des öffentlichen Rechts der Gegenwart. Neue Folge,https://www.mohrsiebeck.com/zeitschrift/jahrbuch-des-oeffentlichen-rechts-der-gegenwart-neue-folge-joer
111,K&R,Kommunikation & Recht,https://www.beck-shop.de/kommunikation-recht-k-r/product/799790
112,Kirche und Recht,Kirche und Recht,https://elibrary.bwv-verlag.de/journal/kur
113,KJ,Kritische Justiz,https://www.kj.nomos.de/
114,KrimJ,Kriminologisches Journal,https://www.beltz.de/fachmedien/erziehungs_und_sozialwissenschaften/zeitschriften/kriminologisches_journal.html
115,KritV,Kritische Vierteljahresschrift für Gesetzgebung und Rechtswissenschaft,https://www.kritv.nomos.de/
116,KSzW,Kölner Schrift zum Wirtschaftsrecht,https://www.degruyter.com/view/journals/kszw/kszw-overview.xml
117,KuR,"Kunst und Recht: Journal für Kunstrecht, Urheberrecht und Kulturpolitik",https://www.kur-journal.de/
118,L&L,Life & Law,https://www.lifeandlaw.de/
119,LKV,Landes- und Kommunalverwaltung,https://www.lkv.nomos.de/
120,LMK,Lindenmaier-Möhring,https://rsw.beck.de/cms/main?site=LMK
121,Marburg Law Review,Marburg Law Review,http://www.law-review.de/
122,markenr,Markenrecht,https://shop.wolterskluwer-online.de/rechtsgebiete/wirtschaftsrecht/marken-patentrecht/31197500-markenr-markenrecht.html
123,MDR,Monatsschrift für deutsches Recht,https://www.mdr-recht.de/
124,MedR,Medizinrecht,https://link.springer.com/journal/350
125,MIP,Mitteilungen des Instituts für Parteienrecht und Parteienforschung,http://www.pruf.de/publikationen/mip-zeitschrift.html
126,MittBayNot,"Mitteilungen des Bayerischen Notarvereins, der Notarkasse und der Landesnotarkammer Bayern",https://www.notare.bayern.de/mittbaynot.html
127,MittDtPatA,Mitteilungen der Deutschen Patentanwälte,https://www.wolterskluwer.de/service-kontakt/anzeigenmediadaten/mediadaten/mitteilungen-der-deutschen-patentanwaelte/
128,MKS,Monatsschrift für Kriminologie und Strafrechtsreform,https://www.degruyter.com/view/j/mks
129,MMR,Multimedia und Recht,https://rsw.beck.de/cms/?site=MMR
130,MPR,Medizin Produkte Recht,https://www.mpr.nomos.de/
131,MPYUNL,Max Planck Yearbook of United Nations Law,https://www.mpil.de/en/pub/publications/periodic-publications/max-planck-yearbook.cfm
132,MRB,Mietrechts-Berater,https://www.mietrb.de/
133,MRM,MenschenRechtsMagazin,https://www.uni-potsdam.de/mrz/publikationen/menschenrechtsmagazin.html
134,myops,myops,https://www.beck-shop.de/myops/product/22280
135,N&R,Netzwirtschaften & Recht,https://online.ruw.de/suche/nur/
136,NDV,Nachrichtendienst des Deutschen Vereins für öffentliche und private Fürsorge,https://www.deutscher-verein.de/de/der-buchshop-des-dv-ndv-1562.html
137,NJ,Neue Justiz,https://www.neue-justiz.nomos.de/
138,NJOZ,Neue Juristische Online-Zeitschrift,https://rsw.beck.de/zeitschriften/njoz
139,NJW,Neue Juristische Wochenschrift,https://rsw.beck.de/cms/?site=NJW
140,NJW-RR,NJW-Rechtsprechungs-Report Zivilrecht,https://rsw.beck.de/cms/?site=NJW-RR
141,NK,Neue Kriminalpolitik,https://www.nk.nomos.de/
142,NordÖR,Zeitschrift für öffentliches Recht in Norddeutschland,https://www.nordoer.nomos.de/
143,NStZ,Neue Zeitschrift für Strafrecht,https://rsw.beck.de/cms/?site=NStZ
144,NStZ-RR,NStZ-Rechtsprechungs-Report Strafrecht,https://rsw.beck.de/cms/?site=NStZ-RR
145,NuR,Natur und Recht,https://link.springer.com/journal/10357
146,NVwZ,Neue Zeitschrift für Verwaltungsrecht,https://rsw.beck.de/cms/main?site=nvwz
147,NVwZ-Extra,NVwZ-Extra,https://rsw.beck.de/CMS/?toc=NVwZ.2002
148,NVwZ-RR,NVwZ-Rechtsprechungsreport,https://www.beck-shop.de/nvwz-neue-zeitschrift-verwaltungsrecht-nvwz-rr-rechtsprechungs-report-verwaltungsrecht/product/1343
149,NWB,NWB Steuer- und Wirtschaftsrecht,https://datenbank.nwb.de/Zeitschriften/Ausgabe/7KT54KUPEH
150,NZA,Neue Zeitschrift für Arbeitsrecht,https://rsw.beck.de/cms/?site=NZA
151,NZBau,Neue Zeitschrift für Baurecht und Vergaberecht,http://www.vahlen.de/productview.aspx?product=2367
152,NZFam,NZFam,https://rsw.beck.de/zeitschriften/nzfam
153,NZG,Neue Zeitschrift für Gesellschaftsrecht,https://rsw.beck.de/zeitschriften/nzg
154,NZI,Neue Zeitschrift für Insolvenz- und Sanierungsrecht,https://www.beck-shop.de/nzi-neue-zeitschrift-insolvenz-sanierungsrecht/product/1946
155,NZM,Neue Zeitschrift für Miet- und Wohnungsrecht,https://rsw.beck.de/cms/?site=NZM
156,NZS,Neue Zeitschrift für Sozialrecht,https://rsw.beck.de/cms/?site=NZS
157,NZV,Neue Zeitschrift für Verkehrsrecht,https://rsw.beck.de/cms/?site=NZV
158,NZWiSt,"Neue Zeitschrift für Wirtschafts-, Steuer- und Unternehmensstrafrecht",https://www.beck-shop.de/nzwist-neue-zeitschrift-wirtschafts-steuer-unternehmensstrafrecht/product/9870589
159,OdW,Ordnung der Wissenschaft,https://ordnungderwissenschaft.de/
160,OER,Osteuropa Recht,https://www.nomos-elibrary.de/zeitschrift/0030-6444
161,PersV,Personalvertretung,https://www.esv.info/z/PV/zeitschriften.html
162,PharmR,Pharma-Recht,https://rsw.beck.de/zeitschriften/pharmr
163,PinG,Privacy in Germany,https://www.pingdigital.de/
164,Polizei,Die Polizei,https://www.wolterskluwer.de/service/anzeigenmediadaten/mediadaten/die-polizei/
165,PR,Pflegerecht,https://rossbruch-verlag.de/pflegerecht
166,r+s,Recht und Schaden,https://rsw.beck.de/zeitschriften/runds
167,RabelsZ,Rabels Zeitschrift für ausländisches und internationales Privatrecht,https://www.mohrsiebeck.com/zeitschrift/rabels-zeitschrift-fuer-auslaendisches-und-internationales-privatrecht-rabelsz
168,RAW,Recht Automobil Wirtschaft,https://www.dfv.de/portfolio/medien/Recht-Automobil-Wirtschaft-RAW-65
169,RdA,Recht der Arbeit,https://rsw.beck.de/zeitschriften/recht-der-arbeit
170,RdE,Recht der Energiewirtschaft,https://shop.wolterskluwer-online.de/umweltrecht-gesundheitswesen/08252439/
171,RDV,Recht der Datenverarbeitung,https://www.rdv-online.com/
172,RdZ,Recht der Zahlungsdienste,https://www.dfv.de/portfolio/medien/ZNER---Zeitschrift-fuer-Neues-Energierecht-131
173,REE,Recht der Erneuerbaren Energien,http://www.bodak.de/REE/content/index.html
174,Res,Rescriptum,http://www.rescriptum.org
175,Rg,Rechtsgeschichte - Legal History,http://rg.rg.mpg.de/de/
176,RGSt,Entscheidungen des Reichsgerichts in Strafsachen,http://rgzrgst.staatsbibliothek-berlin.de/
177,RiA,Recht im Amt,https://shop.wolterskluwer-online.de/oeffentliches-dienstrecht/08251342/
178,RIW,Recht der internationalen Wirtschaft,https://international.ruw.de/
179,RRa,ReiseRecht aktuell,https://www.degruyter.com/journal/key/rra/html?lang=de
180,RuP,Recht und Politik,https://www.duncker-humblot.de/zeitschrift/recht-und-politik-rup-9/?page_id=1
181,RuZ,Recht und Zugang,https://www.nomos.de/zeitschriften/ruz/
182,RW,Rechtswissenschaft - Zeitschrift für rechtswissenschaftliche Forschung,https://www.rechtswissenschaft.nomos.de/
183,RÜ,Rechtsprechungsübersicht,https://www.alpmann-schmidt.de/rechtsprechungsuebersicht.aspx?menu=rechtrue
184,RÜ2,Rechtsprechungsübersicht 2,https://www.alpmann-schmidt.de/rechtsprechungsuebersichtKombi.aspx?menu=rechtrue
185,Savigny,Zeitschrift der Savigny-Stiftung für Rechtsgeschichte,http://www.savigny-zeitschrift.com/ 
186,SchiedsVZ,Zeitschrift für Schiedsverfahren,https://rsw.beck.de/zeitschriften/schiedsvz
187,SchlHA,Schleswig-Holsteinische Anzeigen (SchlHA) Teil A,https://www.schleswig-holstein.de/DE/justiz/themen/service/justizministerialblatt/Teil_A/teilA_node.html
188,SGb,Sozialgerichtsbarkeit,https://www.diesozialgerichtsbarkeit.de/
189,SoSi,Soziale Sicherheit - Zeitschrift für Arbeit und Soziales,https://www.bund-verlag.de/zeitschriften/soziale-sicherheit/
190,StB,Der Steuerberater,https://www.juris.de/jportal/nav/produkte/werk/der-steuerberater-(stb).jsp
191,StBp,Die steuerliche Betriebsprüfung,https://www.esv.info/z/BP/zeitschriften.html
192,Str,Streit - Feministische Rechtszeitschrift,https://www.streit-fem.de/aktuell.html
193,StRR,StrafRechtsReport,https://www.zap-verlag.de/rechtsgebiete/rechtsgebiete-von-a-bis-z/straf-und-strafprozessrecht/1223/strafrechtsreport
194,Stu,Studere,http://www.studere-potsdam.de
195,StuW,Steuer und Wirtschaft,https://www.otto-schmidt.de/steuer-und-wirtschaft-stuw-probeabo-03412954.html
196,StV,Strafverteidiger,http://www.strafverteidiger-stv.de/
197,UFITA,Archiv für Medienrecht und Medienwissenschaft,https://www.ufita.nomos.de/
198,UPR,Umwelt- und Planungsrecht,https://www.rehm-verlag.de/shop/Baurecht/Bauplanungsrecht/UPR-Umwelt-und-Planungsrecht-Jahresabonnement-Inland-Zeitschrift.html
199,VersR,Versicherungsrecht,http://www.versr.de/
200,VerwArch,Verwaltungsarchiv,https://www.degruyter.com/view/j/verwarch
201,VuR,Verbraucher und Recht,https://www.vur.nomos.de/
202,VW,Versicherungswirtschaft,https://versicherungswirtschaft-heute.de/verlag-versicherungswirtschaft/
203,WissR,Wissenschaftsrecht,https://www.mohrsiebeck.com/zeitschrift/wissenschaftsrecht-wissr
204,Wistra,Zeitschrift für Wirtschafts- und Steuerstrafrecht,https://www.wistra-online.com/
205,WM,Wertpapier-Mitteilungen (Zeitschrift für Wirtschafts- und Bankrecht),https://www.wmrecht.de/index.php
206,WPg,Wirtschaftsprüfung,https://www.idw.de/idw-verlag/wpg
207,WRP,Wettbewerb in Recht und Praxis,https://www.dfv.de/portfolio/medien/wrp---Wettbewerb-in-Recht-und-Praxis-60
208,WuB,Entscheidungsanmerkungen zum Wirtschafts- und Bankrecht,https://beck-online.beck.de/?vpath=bibdata%2Fzeits%2FWUB%2Fcont%2FWUB.htm
209,WuM,Wohnungswirtschaft und Mietrecht,https://shop.mieterbund.de/zeitungen/32/wum-wohnungswirtschaft-mietrecht
210,WuW,Wirtschaft und Wettbewerb,https://www.wuw-online.de/
211,ZAP,Zeitschrift für die Anwaltspraxis,https://www.zap-zeitschrift.de/
212,ZCG,Zeitschrift für Corporate Governance,https://www.esv.info/z/ZCG/zeitschriften.html
213,ZChinR,Zeitschrift für chinesisches Recht,https://www.zchinr.org/index.php/zchinr
214,ZD,Zeitschrift für Datenschutz,https://beck-online.beck.de/?vpath=bibdata%2Fzeits%2FZD%2Fcont%2FZD%2Ehtm
215,ZD-A,ZD-Aktuell,https://beck-online.beck.de/?vpath=bibdata%2Fzeits%2FZDAKTUELL%2Fcont%2FZDAKTUELL%2Ehtm
216,ZDRW,Zeitschrift für Didaktik der Rechtswissenschaft,https://www.zdrw.nomos.de/
217,ZErb,Zeitschrift für die Steuer- und Erbrechtspraxis,https://www.zerb.de/rechtsgebiete/rechtsgebiete-von-a-bis-z/erbrecht/1099/zerb-zeitschrift-fuer-die-steuer-und-erbrechtspraxis
218,ZERL,Zeitschrift für Europäische Rechtslinguistik,https://zerl.uni-koeln.de/
219,ZESAR,Zeitschrift für europäisches Sozial- und Arbeitsrecht,https://www.zesardigital.de/
220,ZEuP,Zeitschrift für europäisches Privatrecht,https://rsw.beck.de/zeitschriften/zeup
221,ZEuS,Zeitschrift für europarechtliche Studien,https://www.zeus.nomos.de/
222,ZEV,Zeitschrift für Erbrecht- und Vermögensnachfolge,https://rsw.beck.de/cms/?site=ZEV
223,ZevKr,Zeitschrift für evangelisches Kirchenrecht,https://www.mohrsiebeck.com/zeitschrift/zeitschrift-fuer-evangelisches-kirchenrecht-zevkr
224,ZfA,Zeitschrift für Arbeitsrecht,https://www.degruyter.com/view/j/zfa
225,ZfBR,Zeitschrift für Deutsches und Internationales Bau- und Vergaberecht,https://www.beck-shop.de/zfbr-zeitschrift-deutsches-internationales-bau-vergaberecht/product/28578
226,zfm,Zeitschrift für Medienwissenschaft,https://www.zfmedienwissenschaft.de/
227,ZfMER,Zeitschrift für Medizin-Ethik-Recht,http://www.meris-mer.de/zfmer/
228,ZfU,Zeitschrift für Umweltpolitik und Umweltrecht,https://online.ruw.de/suche/zfu/
229,ZGE,Zeitschrift für geistiges Eigentum,https://www.mohrsiebeck.com/zeitschrift/zeitschrift-fuer-geistiges-eigentum-zge
230,ZGR,Zeitschrift für Unternehmens- und Gesellschaftsrecht,https://www.degruyter.com/view/j/zgre
231,ZGRE,Zeitschrift für geschichtliche Rechtswissenschaft,https://dlc.mpdl.mpg.de/dlc/viewMulti/escidoc:83321:3
232,ZgS,Zeitschrift für die Gesamte Staatswissenschaft,https://de.wikipedia.org/wiki/Zeitschrift_f%C3%BCr_die_gesamte_Staatswissenschaft
233,ZHR,Zeitschrift für das gesamte Handelsrecht und Wirtschaftsrecht,https://www.beck-shop.de/zeitschrift-gesamte-handelsrecht-wirtschaftsrecht-zhr/product/799593
234,ZInsO,Zeitschrift für das gesamte Insolvenz- und Sanierungsrecht,https://shop.wolterskluwer-online.de/rechtsgebiete/wirtschaftsrecht/insolvenzrecht/74254000-zinso-zeitschrift-fuer-das-gesamte-insolvenz-und-sanierungsrecht.html
235,ZIP,Zeitschrift für Wirtschaftsrecht,https://www.zip-online.de/
236,ZIS,Zeitschrift für internationale Strafrechtsdogmatik,https://www.zis-online.com/
237,ZJS,Zeitschrift für das juristische Studium,https://www.zjs-online.com/
238,ZLVR,Zeitschrift für Landesverfassungsrecht und Landesverwaltungsrecht,https://www.zlvr.de
239,ZMR,Zeitschrift für Miet- und Raumrecht,https://shop.wolterskluwer-online.de/rechtsgebiete/zivilrecht-zivilprozessrecht/allgemeines-zivil-vertragsrecht/27175000-zeitschrift-fuer-miet-und-raumrecht-zmr.html
240,ZMV,Die Mitarbeitervertretung,https://www.ketteler-verlag.de/digibib/digibib/?digiview&opus=030
241,ZNER,Zeitschrift für Neues Energierecht,https://www.dfv.de/portfolio/medien/ZNER---Zeitschrift-fuer-Neues-Energierecht-131
242,ZParl,Zeitschrift für Parlamentsfragen,https://zparl.de/
243,ZRFC,"Risk, Fraud and Compliance",https://www.zrfcdigital.de/inhalt.html
244,ZRP,Zeitschrift für Rechtspolitik,https://rsw.beck.de/cms/?site=ZRP
245,ZStW,Zeitschrift für die Gesamte Strafrechtswissenschaft,https://www.degruyter.com/view/j/zstw
246,ZUM,Zeitschrift für Urheber- und Medienrecht,https://www.urheberrecht.org/reviews/
247,ZUR,Zeitschrift für Umweltrecht,https://www.zur.nomos.de/
248,ZVertriebsR,Zeitschrift für Vertriebsrecht,https://rsw.beck.de/zeitschriften/zvertriebsr
249,ZVglRWiss,Zeitschrift für vergleichende Rechtswissenschaft,https://online.ruw.de/suche/zvglrwiss/
250,ZWeR,Zeitschrift für Wettbewerbsrecht,https://www.zwer-online.de/
251,ZWH,Zeitschrift für Wirtschaftsstrafrecht und Haftung im Unternehmen,http://www.zwh-online.de/
252,ZZP,Zeitschrift für Zivilprozess,https://www.degruyter.com/view/j/zzp
