,abbreviation,title
239,KammerMitteilungen,KammerMitteilungen : Informationen und offizielle Verlautbarungen der Rechtsanwaltskammer Düsseld
240,Kfz-Anwalt,Kfz-Anwalt : die Fachzeitschrift für alle Rechtsfragen im Automobilgewerbe
241,KJ,Kritische Justiz
242,KKZ,Kommunal-Kassenzeitschrift
243,KommJur,Kommunaljurist
244,KommP spezial,KommunalPraxis spezial
245,KommP Wahlen,KommunalPraxis Wahlen
246,Konzern,Der Konzern
247,KoR,Zeitschrift für kapitalmarktorientierte Rechnungslegung
248,Kösdi,Kölner Steuerdialog
249,Kreditwesen,Zeitschrift für das gesamte Kreditwesen
250,Kriminalist,Der Kriminalist
251,Kriminalistik,Kriminalistik
252,KrimJ,Kriminologisches Journal
253,KrimPäd,Kriminalpädagogische Praxis
254,KritV,Kritische Vierteljahresschrift für Gesetzgebung und Rechtsprechung
255,KSI,"Krisen-, Sanierungs- und Insolvenzberatung"
256,KStZ,Kommunale Steuer-Zeitschrift
257,KSzW,Kölner Schrift zum Wirtschaftsrecht
258,KTS,Zeitschrift für Insolvenzrecht
259,KuR,Kirche und Recht
260,KUR,Kunst und Recht
261,Landkreis,Der Landkreis
262,LeGes,LeGes : Gesetzgebung & Evaluation; Mitteilungsblatt der Schweizerischen Gesellschaft für Gesetzgeb
263,LJZ,Liechtensteinische Juristenzeitung
264,LKRZ,"LKRZ : Zeitschrift für Landes- und Kommunalrecht Hessen, Rheinland-Pfalz, Saarland"
265,LKV,Landes- und Kommunalverwaltung
266,LMuR,Lebensmittel & Recht
267,M & R,Medien & Recht
268,MarkenR,"Zeitschrift für deutsches, europäisches und internationales Markenrecht"
269,MDR,Monatsschrift für Deutsches Recht
270,MedR,Medizinrecht
271,MedSach,Der medizinische Sachverständige
272,MHR,Mitteilungen des Hamburgischen Richtervereins
273,Mieter-Magazin,Mieter-Magazin
274,MietRB,Der Miet-Rechts-Berater
275,MIP,Mitteilungen des Instituts für Deutsches und Internationales Parteienrecht und Parteienforschung
276,Mitt.,Mitteilungen der Deutschen Patentanwälte
277,Mitt.LV Hessen DRB,Mitteilungen des Landesverbandes Hessen / Deutscher Richterbund
278,MittBayNot,"Mitteilungen des Bayerischen Notarvereins, der Notarkasse und der Landesnotarkammer Bayern"
279,MK,Mietrecht kompakt
280,MMR,Multimedia und Recht
281,MPJ,Medizinprodukte-Journal
282,MPR,MedizinProdukte-Recht : MPR
283,MRW,Mietwagen Rechtswissen
284,MschrKrim,Monatsschrift für Kriminologie und Strafrechtsreform
285,MwStR,Mehrwertsteuersteuerrecht. Zeitschrift für das gesamte Mehrwertsteuersteuerrecht
286,myops,myops. Berichte aus der Welt des Rechts
287,N&R,Netzwirtschaften und Recht
288,NdsVBl,Niedersächsische Verwaltungsblätter
289,NDV,Nachrichtendienst des Deutschen Vereins für öffentliche und private Fürsorge
290,NG/FH,"Neue Gesellschaft, Frankfurter Hefte"
291,NJ,Neue Justiz
292,NJOZ,Neue juristische Online-Zeitschrift
293,NJW,Neue Juristische Wochenschrift
294,NK,Neue Kriminalpolitik
295,NL-BzAR,Neue Landwirtschaft - Briefe zum Agrarrecht
296,NordÖR,Zeitschrift für öffentliches Recht in Norddeutschland
297,Notar,Notar
298,NotBZ,Zeitschrift für die notarielle Beratungs- und Beurkundungspraxis
299,npoR,Zeitschrift für das Recht der Non-Profit-Organisationen
300,NRÜ,NRÜ - Nomos-Rechtsprechungsübersicht
301,NStZ,Neue Zeitschrift für Strafrecht
302,NStZ-RR,NStZ-Rechtsprechungs-Report Strafrecht
303,NuR,Natur und Recht
304,NVwZ,Neue Zeitschrift für Verwaltungsrecht
305,NWB,NWB - Steuer- und Wirtschaftsrecht
306,NWVBl,Nordrhein-Westfälische Verwaltungsblätter
307,NZ,Österreichische Notariatszeitung
308,NZA,Neue Zeitschrift für Arbeitsrecht
309,NZA-RR,NZA-Rechtsprechungs-Report Arbeitsrecht
310,NZBau,Neue Zeitschrift für Baurecht und Vergaberecht
311,NZFam,Neue Zeitschrift für Familienrecht
312,NZG,Neue Zeitschrift für Gesellschaftsrecht
313,NZI,Neue Zeitschrift für das Recht der Insolvenz und Sanierung
314,NZKart,Neue Zeitschrift für Kartellrecht
315,NZM,Neue Zeitschrift für Miet- und Wohnungsrecht
316,NZS,Neue Zeitschrift für Sozialrecht
317,NZV,Neue Zeitschrift für Verkehrsrecht
318,NZWehrr,Neue Zeitschrift für Wehrrecht
319,NZWiSt,"Neue Zeitschrift für Wirtschafts-, Steuer- und Unternehmensstrafrecht"
320,öarr,Österreichisches Archiv für Recht und Religion
321,öAT,öAT - Zeitschrift für das öffentliche Arbeits- und Tarifrecht
322,Öbl,Österreichische Blätter für gewerblichen Rechtsschutz und Urheberrecht
323,OER,Osteuropa-Recht
324,ÖJZ,Österreichische Juristen-Zeitung
325,ÖStZ,Österreichische Steuerzeitung
326,ÖZK,Österreichische Zeitschrift für Kartellrecht
327,ÖZS,Österreichische Zeitschrift für Soziologie
328,OzSR,Onlinezeitschrift für Suchtstoffrecht
329,ÖZW,Österreichische Zeitschrift für Wirtschaftsrecht
330,Personalrat,Der Personalrat
331,PersV,Die Personalvertretung
332,PflR,PflegeRecht
333,PharmR,Pharma-Recht
334,PHi,PHi: Produkt- und Umwelthaftpflicht international
335,PinG,Privacy in Germany
336,PIStB,Praxis internationale Steuerberatung
337,PKR,Pflege- & Krankenhausrecht
338,Plädoyer,Plädoyer
339,Polizei,Die Polizei
340,PPRQ,Patienten- & Pflegerecht mit Qualitätsmanagement
341,PStR,Praxis Steuerstrafrecht
342,PVS,Politische Vierteljahresschrift
343,r + s,Recht und Schaden
344,R + S,Recht und Steuern im Gas- und Wasserfach
345,R&P,Recht & Psychiatrie
346,RabelsZ,Rabels Zeitschrift für ausländisches und internationales Privatrecht
347,RBD,"Recht, Bibliothek, Dokumentation"
348,RdA,Recht der Arbeit
349,RdE,Recht der Energiewirtschaft
350,RdJB,Recht der Jugend und des Bildungswesens
351,RdL,Recht der Landwirtschaft
352,RdTW,Rechtder Transportwirtschaft
353,RDV,Recht der Datenverarbeitung
354,RdW,Österreichisches Recht der Wirtschaft
355,Recht und Politik,Recht und Politik
356,Rechtskultur,Rechtskultur. Zeitschrift für europäische Rechtsgeschichte
357,Rechtsmedizin,Rechtsmedizin
358,Rechtstheorie,Rechtstheorie
359,REE,Recht der erneuerbaren Energien
360,Rescriptum,Rescriptum. Münchner studentische Rechtszeitschrift
361,Rg,Rechtsgeschichte
362,RiA,Das Recht im Amt
363,RIW,Recht der internationalen Wirtschaft
364,RNotZ,Rheinische Notar-Zeitschrift
365,RohR,Richter ohne Robe
366,RpflBl,Rechtspflegerblatt
367,Rpfleger,Rpfleger
368,RPG,Recht und Politik im Gesundheitswesen
369,Rra,Reise-Recht aktuell
370,RVGreport,RVGreport
371,RW,Rechtswissenschaft
372,RZ,Österreichische Richterzeitung
373,SächsVBl,Sächsische Verwaltungsblätter
374,Sachverständige,Der Sachverständige
375,SAE,Sammlung arbeitsrechtlicher Entscheidungen
376,SchAZtg,Schiedsamtszeitung
377,SchiedsVZ,Zeitschrift für Schiedsverfahren
378,SchlHA,Schleswig-Holsteinische Anzeigen / A
379,SchweizJahrbEuropaR,Schweizerisches Jahrbuch für Europarecht
380,SGb,Die Sozialgerichtsbarkeit
381,SGb,Sozialgerichtsbarkeit
382,Sic!,Sic!
383,SJKR,Schweizerisches Jahrbuch für Kirchenrecht
384,SJZ,Schweizerische Juristenzeitung
385,SoSi,Soziale Sicherheit
386,Sozialrecht + Praxis,Sozialrecht + Praxis
387,SP,Schaden-Praxis
388,SpuRt,SpuRt. Sport und Recht
389,SR,Soziales Recht
390,Staat,Der Staat
391,StAZ,Das Standesamt
392,StB,Der Steuerberater
393,Stbg,Die Steuerberatung
394,StbJb,Steuerberater-Jahrbuch
395,StBp,Die steuerliche Betriebsprüfung
396,StC,SteuerConsultant
397,StE,Steuern der Energiewirtschaft : StE
398,StEd,Steuer-Eildienst : StEd
399,Steueranwaltsmagazin,Steueranwaltsmagazin
400,SteuerStud,Steuer + Studium
401,SteuK,Steuerrecht kurzgefasst
402,StoffR,Zeitschrift für Stoffrecht
403,StraFo,Strafverteidiger-Forum
404,Streit,Streit
405,StRR,StrafRechtsReport
406,StuB,StuB - Unternehmenssteuern und Bilanzen
407,StudZR,Studentische Zeitschrift für Rechtswissenschaft Heidelberg
408,StuW,Steuer und Wirtschaft
409,StV,Strafverteidiger
410,StW,Die Steuer-Warte
411,StX,Steuer-Telex
412,Südosteuropa-Mitt,Südosteuropa-Mitteilungen
413,Südosteuropa-Mitt.,Südosteuropa-Mitteilungen
414,SVR,Straßenverkehrsrecht. Zs für die Praxis des Verkehrsjuristen
415,SZIER,Schweizerische Zeitschrift für internationales und europäisches Recht
416,SZW,Schweizerische Zeitschrift für Wirtschafts- und Finanzmarktrecht
417,ThürVBl,Thüringer Verwaltungsblätter
418,TranspR,Transportrecht
419,Ubg,Die Unternehmensbesteuerung
420,UFITA,"Archiv für Urheber-,Film-,Funk- und Theaterrecht"
421,UPR,Umwelt- und Planungsrecht
422,UR,Umsatzsteuer-Rundschau
423,UstB,Der Umsatz-Steuer-Berater
424,UVR,Umsatzsteuer- und Verkehrssteuer-Recht
425,VA,Verkehrsrecht aktuell
426,VBlBW,Verwaltungsblätter für Baden-Württemberg
427,VD,Verkehrsdienst
428,VDRW-Mitteilungen,Mitteilungen / Vereinigung für Deutsch-Russisches Wirtschaftsrecht
429,Verbraucherinsolvenz aktuell,Verbraucherinsolvenz aktuell
430,VergabeR,Vergaberecht
431,VerkA,Der Verkehrsanwalt
432,Verkehrsjurist,Der Verkehrsjurist
433,VerkMitt,Verkehrsrechtliche Mitteilungen
434,VersPrax,Versicherungspraxis
435,VersR,Versicherungsrecht
436,VersRAI,Versicherungsrecht / Beilage Ausland
437,Verwaltung,Die Verwaltung
438,VerwArch,Verwaltungsarchiv
439,VfZ,Vierteljahrshefte für Zeitgeschichte
440,VK,Versicherung und Recht kompakt
441,VKU,Verkehrsunfall und Fahrzeugtechnik
442,VM,Verwaltung & Management
443,VollzD,Der Vollzugsdienst
444,VPP-Rundbrief,Rundbrief VPP
445,vr,Verwaltungsrundschau
446,VRR,Verkehrsrechtsreport
447,VRÜ,Verfassung und Recht in Übersee
448,VSSR,Vierteljahresschrift für Sozialrecht
449,VuR,Verbraucher und Recht
450,W+B,"Zeitschrift für Deutsches und Europäisches Wasser-, Abwasser- und Bodenschutzrecht"
451,wbl,Wirtschaftsrechtliche Blätter
452,WF,Wertermittlungsforum
453,WiRO,Wirtschaft und Recht in Osteuropa
454,WissR,Wissenschaftsrecht
455,Wistra,Wistra. Zeitschrift für Wirtschafts- und Steuerstrafrecht
456,WiVerw,Wirtschaft und Verwaltung
457,WM / 4,Wertpapier-Mitteilungen Teil IV
458,WPg,Die Wirtschaftsprüfung
459,wrp,Wettbewerb in Recht und Praxis
460,WSI Mitt.,WSI Mitteilungen
461,WuM,Wohnungswirtschaft & Mietrecht
462,Wussow-Informationen,Wussow-Informationen zum Versicherungs- und Haftpflichtrecht
463,WuW,Wirtschaft und Wettbewerb
464,WzS,Wege zur Sozialversicherung
465,ZaöRV,Zeitschrift für ausländisches öffentliches Recht und Völkerrecht
466,ZAP,Zeitschrift für die Anwaltspraxis
467,ZAR,Zeitschrift für altoriental. und biblische Rechtsgeschichte
468,ZAR,Zeitschrift für Ausländerrecht und Ausländerpolitik
469,ZB,Schweizerisches Zentralblatt für Staats- und Verwaltungsrecht
470,ZBB,Zeitschrift für Bankrecht und Bankwirtschaft
471,ZBJV,Zeitschrift des Bernischen Juristenvereins
472,ZBR,Zeitschrift für Beamtenrecht
473,ZBV,Zeitschrift für Bildungsverwaltung
474,ZCG,Zeitschrift für Corporate Governance
475,ZChinR,Zeitschrift für chinesisches Recht
476,ZD,Zeitschrift für Datenschutz
477,ZDAR,Zeitschrift für deutsches und amerikanisches Recht
478,ZEE,Zeitschrift für evangelische Ethik
479,ZErb,Zeitschrift für die Steuer- und Erbrechtspraxis
480,ZESAR,Zeitschrift für europäisches Sozial- und Arbeitsrecht
481,ZEuP,Zeitschrift für Europäisches Privatrecht
482,ZEuS,Zeitschrift für europarechtliche Studien
483,ZEV,Zeitschrift für Erbrecht und Vermögensnachfolge
484,ZevKR,Zeitschrift für evangelisches Kirchenrecht
485,ZFA,Zeitschrift für Arbeitsrecht
486,ZfB,Zeitschrift für Bergrecht
487,ZfBB,Zeitschrift für Bibliothekswesen und Bibliographie
488,ZfBR,Zeitschrift für deutsches und internationales Bau- und Vergaberecht
489,ZFE,Zeitschrift für Familien- und Erbrecht
490,ZfF,Zeitschrift für das Fürsorgewesen
491,ZfgG,Zeitschrift für das gesamte Genossenschaftswesen
492,ZfIR,Zeitschrift für Immobilienrecht
493,ZfL,Zeitschrift für Lebensrecht
494,zfmr,Zeitschrift für Menschenrechte
495,ZfP,Zeitschrift für Politik
496,ZfPR,Zeitschrift für Personalvertretungsrecht
497,ZfRV,"Zeitschrift für Europarecht, internationales Privatrecht und Rechtsvergleichung"
498,ZfS,Zeitschrift für Soziologie
499,zfs,Zeitschrift für Schadensrecht
500,ZfSH/SGB,ZfSH/SGB Sozialrecht in Deutschland und Europa
501,ZfU,Zeitschrift für Umweltpolitik & Umweltrecht
502,ZfV,Zeitschrift für Versicherungswesen
503,ZfV,Zeitschrift für Verwaltung
504,ZFW,Zeitschrift für Wasserrecht
505,ZfWG,Zeitschrift für Wett- und Glücksspielrecht
506,ZfZ,Zeitschrift für Zölle und Verbrauchssteuern
507,ZG,Zeitschrift für Gesetzgebung
508,ZGE,Zeitschrift für geistiges Eigentum
509,ZGR,Zeitschrift für Unternehmens- u.Gesellschaftsrecht
510,ZGS,Zeitschrift für das gesamte Schuldrecht
511,ZHR,Zeitschrift für das gesamte Handels- und Wirtschaftsrecht
512,ZIAS,Zeitschrift für ausländisches und internationales Arbeits- und Sozialrecht
513,ZInsO,Zeitschrift für das gesamte Insolvenzrecht
514,ZIP,Zeitschrift für Wirtschaftsrecht
515,ZIS,Zeitschrift für Internationale Strafrechtsdogmatik
516,ZJJ,Zeitschrift für Jugendkriminalrecht und Jugendhilfe
517,ZJS,Zeitschrift für das juristische Studium
518,ZKF,Zeitschrift für Kommunalfinanzen
519,ZKJ,Zeitschrift für Kindschaftsrecht und Jugendhilfe
520,ZKM,Zeitschrift für Konfliktmanagement
521,ZLR,Zeitschrift für das gesamte Lebensmittelrecht
522,ZLW,Zeitschrift für Luft- und Weltraumrecht
523,ZMGR,Zeitschrift für das gesamte Medizin- und Gesundheitsrecht
524,ZMR,Zeitschrift für Miet- und Raumrecht
525,ZMV,Die Mitarbeitervertretung
526,ZNER,Zeitschrift für Neues Energierecht
527,ZNotP,Zeitschrift für die Notarpraxis
528,ZNR,Zeitschrift für neuere Rechtsgeschichte
529,ZögU,Zeitschrift für öffentliche und gemeinwirtschaftliche Unternehmen
530,ZöR,Zeitschrift für öffentliches Recht
531,ZOV,Zeitschrift für offene Vermögensfragen
532,ZParl,Zeitschrift für Parlamentsfragen
533,ZPol,Zeitschrift für Politikwissenschaft
534,ZRG,Zeitschrift der Savigny-Stiftung …German.Abt.
535,ZRG,Zeitschrift der Savigny-Stiftung …Kanon.Abt.
536,ZRG,Zeitschrift der Savigny-Stiftung …Roman.Abt.
537,ZRP,Zeitschrift für Rechtspolitik
538,ZRph,Zeitschrift für Rechtsphilosophie
539,Zs. f. Rechtssoz.,Zeitschrift für Rechtssoziologie
540,ZSE,Zeitschrift für Staats- und Europawissenschaften
541,ZSR,Zeitschrift für schweizerisches Recht
542,ZSR,Zeitschrift für Sozialreform
543,ZSteu,Zeitschrift für Steuern & Recht
544,ZStrR,Schweizerische Zeitschrift für Strafrecht
545,ZStrW,Zeitschrift für die gesamte Strafrechtswissenschaft
546,ZStV,Zeitschrift für Stiftungs- und Vereinswesen
547,ZTR,"Zeitschrift für Tarif-, Arbeits- und Sozialrecht"
548,ZUM,Zeitschrift für Urheber- und Medienrecht
549,ZUR,Zeitschrift für Umweltrecht
550,Zur Debatte,Zur Debatte : Themen der Katholischen Akademie in Bayern
551,ZUV,Zeitschrift der unabhängigen Verwaltungssenate
552,ZVertriebsR,Zeitschrift für Vertriebsrecht
553,ZVG,Zeitschrift der Verwaltungsgerichtsbarkeit
