,abbreviation,title
43,EuZA,Europäische Zeitschrift für Arbeitsrecht
44,EuZW,Europäische Zeitschrift für Wirtschaftsrecht
45,EWiR,Entscheidungen zum Wirtschaftsrecht
46,EnWZ,Zeitschrift für das gesamte Recht der Energiewirtschaft
47,EuCLR,European Criminal Law Review
48,EuCML,Journal of European Consumer and Market Law
49,EFG,Entscheidungen der Finanzgerichte
50,ErbbauZ,Zeitschrift für Erbbaurecht
51,EWeRK,Energie- und Wettbewerbsrecht in der Kommunalen Wirtschaft
52,ErbR,Zeitschrift für die gesamte erbrechtliche Praxis
53,FGPrax,Praxis der Freiwilligen Gerichtsbarkeit
54,FPR,"Familie, Partnerschaft, Recht"
55,FamRZ,Zeitschrift fär das gesamte Familienrecht
56,FA,Fachanwalt Arbeitsrecht
57,GRUR,Gewerblicher Rechtschutz und Urheberrecht
58,GRUR Int,Gewerblicher Rechtsschutz und Urheberrecht Internationaler Teil
59,GRUR-RR,Gewerblicher Rechtsschutz und Urheberrecht Rechtsprechungs-Report
60,GRUR-Prax,Gewerblicher Rechtsschutz und Urheberrecht - Praxis im Immaterialgüter- und Wettbewerbsrecht
61,GWR,Zeitschrift für Gesellschafts- und Wirtschaftsrecht
62,GewArch,Gewerbearchiv
63,GSZ,Zeitschrift für das Gesamte Sicherheitsrecht
64,GuP,Gesundheit und Pflege
65,GA,Goltdammer's Archiv für Strafrecht
66,HRRS,Höchstrichterliche Rechtsprechung im Strafrecht
67,IIC,International Review of Intellectual Property and Competition Law
68,IR,InfrastrukturRecht
69,iStR,Internationales Steuerrecht
70,IBR,Immobilien- & Baurecht
71,InsVZ,Zeitschrift für Insolvenzverwaltung und Sanierungsberatung
72,InstGE,Entscheidungen der Instanzgerichte zum Recht des geistigen Eigentums
73,IILR,International Insolvency Law Review
74,JuS,Juristische Schulung
75,JOR,Jahrbuch für Ostrecht
76,JURA,Juristische Ausbildung
77,JA,Juristische Arbeitsblätter
78,JR,Juristische Rundschau
79,JZ,JuristenZeitung
80,JurPC,JurPC
81,JW,Juristische Wochenschrift
82,KJB,Karlsruher Juristische Bibliographie
83,K&R,Kommunikations & Recht
84,KJ,Kritische Justiz
85,LMuR,Lebensmittel & Recht
86,L&L,Life and Law
87,LTO,Legal Tribune Online
88,LRE,Sammlung Lebensmittelrechtlicher Entscheidungen
89,MedR,Medizinrecht
90,MMR,MultiMedia und Recht
91,MDR,Monatsschrift für Deutsches Recht
92,MIR,Medien Internet und Recht
93,medstra,Zeitschrift für Medizinstrafrecht
94,MPR,Medizin Produkte Recht
95,NJW,Neue Juristische Wochenschrift
96,NJW-RR,NJW-Rechtsprechungs-Report Zivilrecht
97,NStZ,Neue Zeitschrift für Strafrecht
98,NStZ-RR,NStZ-Rechtsprechungs-Report Strafrecht
99,NVwZ,Neue Zeitschrift für Verwaltungsrecht
100,NVwZ-RR,NVwZ-Rechtsprechungs-Report Verwaltungsrecht
101,NZA,Neue Zeitschrift für Arbeitsrecht
102,NZA-RR,NZA-Rechtsprechungs-Report Arbeitsrecht
103,NZBau,Neue Zeitschrift für Baurecht und Vergaberecht
104,NZG,Neue Zeitschrift für Gesellschaftsrecht
105,NZI,Neue Zeitschrift für das Recht der Insolvenz und Sanierung
106,NZM,Neue Zeitschrift für Miet- und Wohnungsrecht
107,NZS,Neue Zeitschrift für Sozialrecht
108,NZV,Neue Zeitschrift für Verkehrsrecht
109,NJOZ,Neue Juristische Online-Zeitschrift
110,npoR,Zeitschrift für das Recht der Non Profit Organisationen
111,NZFam,Neue Zeitschrift für Familienrecht
112,NZKart,Neue Zeitschrift für Kartellrecht
113,NZWiSt,"Neue Zeitschrift für Wirtschafts-, Steuer- und Unternehmensstrafrecht"
114,npoR,Zeitschrift für das Recht der Non Profit Organisationen
115,notar,Monatsschrift für die gesamte notarielle Praxis
116,NordÖR,Zeitschrift für Öffentliches Recht in Norddeutschland
117,NWVBl,Nordrhein-Westfälische Verwaltungsblätter
118,openjur,openJur
119,öAT,Zeitschrift für das öffentliche Arbeits- und Tarifrecht
120,PharmR,Pharma Recht
121,PinG,Privacy in Germany
122,r+s,recht und schaden
123,RdA,Recht der Arbeit
124,RÜ,Rechtsprechungs Übersicht
125,RGSt,Entscheidungen des Reichsgerichts in Strafsachen
126,RPfleger,Der Deutsche Rechtspfleger
127,RGZ,Entscheidungen des Reichsgerichts in Zivilsachen
128,RIW,Recht der internationalen Wirtschaft
129,RDV,Recht der Datenverarbeitung
130,RdTW,Recht der Transportwirtschaft
131,RphZ,Rechtsphilosophie
132,SchiedsVZ,Zeitschrift für Schiedsverfahren
133,SpuRt,Zeitschrift für Sport und Recht
134,StV,Strafverteidiger
135,StraFo,Strafverteidiger Forum
136,StRR,StrafRechtsReport
137,VersR,Versicherungsrecht
138,VRS,Verkehrsrechtsammlung
139,VR,Verwaltungsrundschau
140,VIA,Verbraucherinsolvenz aktuell
141,VRÜ,Verfassung und Recht in Übersee
142,WiRO,Wirtschaft und Recht in Osteuropa
143,WM,Zeitschrift für Wirtschafts- und Bankrecht
144,WRP,Wettbewerb in Recht und Praxis
145,WuM,Wohnungswirtschaft und Mietrecht
146,ZEuP,Zeitschrift für Europäisches Privatrecht
147,ZEV,Zeitschrift für Erbrecht und Vermögensnachfolge
148,ZRP,Zeitschrift für Rechtspolitik
149,ZMR,Zeitschrift für Miet- und Raumrecht
150,ZInsO,Zeitschrift für das gesamte Insolvenzrecht
151,ZAP,Zeitschrift für die Anwaltspraxis
152,zfs,Zeitschrift für Schadensrecht
153,ZNotP,Zeitschrift für die Notarpraxis
154,ZUM,Zeitschrift für Urheber- und Medienrecht
155,ZIP,Zeitschrift für Wirtschaftsrecht
156,ZUM-RD,Zeitschrift für Urheber- und Medienrecht - Rechtsprechungsdienst
157,ZJS,Zeitschrift für das Juristische Studium
158,ZIS,Zeitschrift für Internationale Strafrechtsdogmatik
159,ZUR,Zeitschrift für Umweltrecht
160,ZWE,Zeitschrift für Wohnungseigentumsrecht
161,ZaöRV,Zeitschrift für ausländisches öffentliches Recht und Völkerrecht
162,ZBB,Zeitschrift für Bankrecht und Bankwirtschaft
163,ZfiR,Zeitschrift für Immobilienrecht
164,ZVI,Zeitschrift für Verbraucher- und Privat-Insolvenzrecht
165,ZWeR,Zeitschrift für Wettbewerbsrecht
166,ZD,Zeitschrift für Datenschutz
167,ZZP,Zeitschrift für Zivilprozess
168,ZfBR,Zeitschrift für deutsches und internationales Bau- und Vergaberecht
169,ZaöRV,Zeitschrift für ausländisches öffentliches Recht und Völkerrecht
170,ZVertriebsR,Zeitschrift für Vertriebsrecht
171,ZfPW,Zeitschrift für die gesamte Privatrechtswissenschaft
172,ZLR,Zeitschrift für das gesamte Lebensmittelrecht
