"journal_title","item_cnt"
Aesthetic Plastic Surgery,1
Aestimatio Sources and Studies in the History of Science,1
Aetas,1
Africa,2
African Entomology,1
African Studies,1
Africa’s global engagement,1
Aggressive Behavior,1
Agora International Journal of Juridical Sciences,1
Agricultural Economics (Zemědělská ekonomika),1
Agrociencia Uruguay,1
Agronomy for Sustainable Development,1
AIAA SPACE 2016,1
AI and Ethics,2
AI critique,2
AIDA Europe research series on insurance law and regulation,2
AIJ Journal of Technology and Design,1
AINS - Anästhesiologie · Intensivmedizin · Notfallmedizin · Schmerztherapie,1
AION (filol ) Annali dell’Università degli Studi di Napoli “L’Orientale”,1
AIP Advances,1
AIP conference proceedings,11
AIS Ars Iuris Salmanticensis,1
AI & Society,3
AJIL Unbound,1
AJS Review The Journal of the Association for Jewish Studies,2
Akademie im Gespräch,1
Akademie Verlag eBooks,3
Akademik Araştırmalar ve Çalışmalar Dergisi (AKAD),1
Akademik Hassasiyetler,1
Akdeniz Üniversitesi Hukuk Fakültesi Dergisi,2
AktG,1
Aktivismus- und Propagandaforschung,1
Aktual’ni problemi pravoznavstva,1
Aktuelle Beiträge zum öffentlichen Recht,1
Aktuelle Probleme der Polymer-Physik,1
Albion A Quarterly Journal Concerned with British Studies,2
Albrecht von Graefes Archiv für klinische und experimentelle Ophthalmologie,12
Aletheia: Cuadernos Críticos del Derecho,1
Alfa,1
Állam-és Jogtudomány,2
Allergy,1
Allgemeine und spezielle Operationslehre,1
Al-Masāq,1
Al-Qanṭara,1
AlterEconomics,1
Alternative Dispute Resolution Yearbook,1
American Anthropologist,1
American Bar Foundation Research Journal,1
American Behavioral Scientist,1
American Business Law Journal,1
American Economic Review,2
American Ethnologist,1
American Institute of Aeronautics and Astronautics eBooks,1
American Journal of Applied Sciences,1
American Journal of Archaeology,4
American Journal of Botany,3
American Journal of Clinical Hypnosis,1
American Journal of Digestive Diseases and Nutrition,3
American Journal of International Law,5
American Journal of Medical Genetics Part A,1
American Journal of Ophthalmology,2
American Journal of Physical Anthropology,1
American journal of public health,2
American Journal of Public Health and the Nations Health,4
American Journal of Sociology,3
American Journal of Trade and Policy,1
American Political Science Review,6
American Psychologist,4
American Research Journal of Humanities and Social Sciences,1
American Water Works Association,2
Amerikastudien/American Studies,2
Amfiteater,1
AmS-Skrifter,1
Amsterdamer Beiträge zur älteren Germanistik,4
"Amsterdam studies in the theory and history of linguistic science. Series 3, Studies in the history of linguistics",1
Amsterdam University Press eBooks,10
Anabases,3
Anadolu Üniversitesi Hukuk Fakültesi Dergisi,3
Anaesthesia,1
Anais do Museu Paulista História e Cultura Material,2
ANALELE ȘTIINŢIFICE ALE UNIVERSITĂŢII „ALEXANDRU IOAN CUZA” DIN IAȘI (SERIE NOUĂ) ȘTIINŢE JURIDICE,1
"Analele Stiintifice ale Universitatii ""Alexandru Ioan Cuza"" din Iasi - Stiinte Economice (1954-2015)",1
Anales de Derecho,1
Anales de la Cátedra Francisco Suárez,1
Anali Pravnog fakulteta u Beogradu,14
Analyse & Kritik,1
Analytical Chemistry,1
ANAMORPHOSIS - Revista Internacional de Direito e Literatura,1
Anästhesiologie und Intensivmedizin,7
Anatolia,1
Anatolian Studies,1
Anatomia Histologia Embryologia,3
Anatomy and Embryology,20
Ancient Civilizations from Scythia to Siberia,1
Ancient Philosophy Today,1
Ancient Society,2
Andrologia,4
Angelaki,1
Angewandte Chemie,42
Angewandte Chemie International Edition,5
Angewandte Philosophie,1
Anglistik,1
Anglo-Saxon England,11
Ankara Avrupa Calismalari Dergisi,1
Ankara Barosu Dergisi,2
Ankara Hacı Bayram Veli Üniversitesi Hukuk Fakültesi Dergisi,25
Ankara Üniversitesi Hukuk Fakültesi Dergisi,26
An-Najah University Journal for Research - B (Humanities),1
Annalen der Physik,9
Annalen des Historischen Vereins für den Niederrhein,1
Annales de la Faculté de Droit d’Istanbul,5
Annales Histoire Sciences Sociales,15
Annales Histoire Sciences Sociales (English edition),2
Annales Universitatis Mariae Curie-Skłodowska sectio F – Historia,1
Annales Universitatis Mariae Curie-Skłodowska sectio G (Ius),6
Annales Universitatis Mariae Curie-Skłodowska. Sectio G. Ius,2
Annales Universitatis Scientiarum Budapestinensis de Rolando Eötvös Nominatae Sectio iuridica,2
ANNALI SCUOLA NORMALE SUPERIORE - CLASSE DI LETTERE E FILOSOFIA,1
Annals of Anatomy - Anatomischer Anzeiger,2
Annals of Applied Biology,3
Annals of Global Analysis and Geometry,1
Annals of public and co-operative economy,2
Annals of Science,1
Annals of the American Association of Geographers,1
Annals of the Association of American Geographers,1
Annals of the New York Academy of Sciences,9
Annual Report of The Kansai Plant Protection Society,4
Annual Review of Law and Social Science,9
Anorganische und allgemeine Chemie in Einzeldarstellungen,1
ANQ A Quarterly Journal of Short Articles Notes and Reviews,1
Anthropocene,1
Anthropologia integra,3
Anthrozoös,1
Antichthon,6
Antigüedad y Cristianismo,21
Antigüedad y cristianismo: Monografías históricas sobre la Antigüedad tardía,2
Antik Tanulmányok,1
Antipode,2
Antiquité Tardive,7
Antiquity,4
Anuari de Filologia. Antiqua et Mediaeualia,1
Anuario Colombiano de Derecho Internacional - ACDI,1
Anuario da Facultade de Dereito da Universidade da Coruña,5
Anuario de Derecho,1
Anuario de Derecho Civil,5
Anuario de Derecho Penal y Ciencias Penales,5
Anuario de Estudios Americanos,1
Anuario de Estudios Medievales,9
Anuario de Filosofía del Derecho,1
Anuario de Historia de la Iglesia,1
Anuario de la competencia,1
Anuario de la Facultad de Derecho/Anuario de la Facultad de Derecho de Alcalá de Henares,1
Anuario de la Facultad de Derecho de la Universidad Autónoma de Madrid,3
Anuario de la Facultad de Derecho. Universidad de Extremadura,1
Anuario español de derecho internacional/Anuario español de derecho internacional,2
Anuario Iberoamericano de Justicia Constitucional,1
Anuario Iberoamericano Derecho Internacional Penal,2
Anuario Mexicano de Derecho Internacional,1
Anzeiger für Schädlingskunde,2
Anzeiger für Schädlingskunde Pflanzenschutz Umweltschutz,2
API Magazin,2
Applied and Preventive Psychology,1
Applied Catalysis A General,1
Applied Cognitive Psychology,3
Applied Geography,1
Applied Mechanics and Materials,2
Applied Organometallic Chemistry,1
Applied Psychology,1
Applied Radiation and Isotopes,1
Applied Science and Convergence Technology,1
Applied Sciences,2
Aquatic Sciences,1
Arabian archaeology and epigraphy,1
Araucaria,3
Arbeit,5
Arbitrium,4
Arboricultural Journal,1
Archaeologia historica,17
Archaeologia Historica Polona,1
Archaeologiai Értesítő,3
Archaeological and Anthropological Sciences,1
Archaeological Dialogues,1
Archaeologies,1
Archeological Papers of the American Anthropological Association,1
Archimède. Archéologie et histoire ancienne,6
Archimedes,1
Architecture and the Built Environment,1
Archival Science,3
Archiv der Pharmazie,13
Archives for Meteorology Geophysics and Bioclimatology Series A,3
Archives Internationales de Physiologie et de Biochimie,1
Archives internationales d'histoire des idées,2
Archives of Biochemistry and Biophysics,1
Archives of Dermatological Research,43
Archives of Design Research,2
Archives of Gynecology,3
Archives of Gynecology and Obstetrics,10
Archives of Microbiology,6
Archives of Oral Biology,1
Archives of Orthopaedic and Traumatic Surgery,4
Archives of Oto-Rhino-Laryngology,13
Archives of Suicide Research,1
Archives of Toxicology,10
Archives of Virology,3
Archiv für das Eisenhüttenwesen,1
Archiv für Elektrotechnik,1
Archiv für Gynäkologie,70
Archiv für klinische und experimentelle Dermatologie,1
Archiv für Meteorologie Geophysik und Bioklimatologie Serie B,2
Archiv für Mikroskopische Anatomie,1
Archiv für Orthopädische und Unfall-Chirurgie,27
Archiv für Psychiatrie und Nervenkrankheiten,48
Archiv für Reformationsgeschichte - Archive for Reformation History,1
Archiv für Religionsgeschichte,2
Archiv für Tierernaehrung,13
Archivio antropologico mediterraneo,1
Archivo Español de Arqueología,1
Archivum Lithuanicum,1
Archiwa Biblioteki i Muzea Kościelne,1
Archiwum Filozofii Prawa i Filozofii Społecznej,4
ARCTIC,2
ArGaMed,1
Argumentation library,1
Arhiv za pravne i drustvene nauke,1
Arkiv Tidskrift för samhällsanalys,1
Armand Colin eBooks,4
Armenian Journal of Physics,1
Arqueología y Territorio Medieval,2
Ars Bilduma,1
Ars digitalis,3
Arşiv Dünyası,1
Arthroskopie,1
Arthuriana,2
Artificial Intelligence and Law,4
Artificial Organs,1
Arts,3
Artuklu İnsan ve Toplum Bilim Dergisi,1
arXiv (Cornell University),3
Aschendorff eBooks,1
Asclepio,1
Ashgate eBooks,1
Asian Journal of Comparative Law,4
Asian Journal of Criminology,2
Asian Journal of German and European Studies,1
Asian Journal of International Law,2
Asian Journal of Law and Economics,2
Asian Journal of Law and Society,1
Asian Social Science,1
Asia-Pacific Journal of Chemical Engineering,1
Asia Pacific Journal of Environmental Law,1
Asiatische Studien – Études Asiatiques,1
ASM International eBooks,2
Assembly Automation,1
ASSER international sports law series,1
Association of Economists and Managers of the Balkans; Faculty of Tourism and Hospitality eBooks,1
AStA Wirtschafts- und Sozialstatistisches Archiv,3
Astronomische Nachrichten,5
Astronomy and Astrophysics,6
Astronomy Letters,1
Astrophysics,1
Astrophysics and Space Science,7
Astrophysics and space science library,3
ASU Arbeitsmedizin Sozialmedizin Umweltmedizin,1
Athens Journal of History,2
Athens Journal of Law,2
Atlantic Economic Journal,1
Atlantic Studies,1
"Atlantis highlights in social sciences, education and humanities/Atlantis Highlights in Social Sciences, Education and Humanities",1
Atmosphere,1
At the University Press eBooks,2
AUC IURIDICA,7
AUC PHILOLOGICA,2
AUC PHILOSOPHICA ET HISTORICA,1
Auerbach Publications eBooks,2
Aula,1
Ausonius Éditions eBooks,6
Auster,1
Australasian Journal of Psychology and Philosophy,1
Australian Economic Review,1
Australian Feminist Law Journal,1
Australian Historical Studies,1
Australian Journal of Forensic Sciences,1
Australian Journal of Multi-Disciplinary Engineering,1
Australian & New Zealand Journal of Psychiatry,1
Australian Outlook,1
Australian Review of Applied Linguistics,1
Austrian History Yearbook,4
Axon,6
Babel Revue internationale de la traduction / International Journal of Translation / Revista Internacional de Traducción,1
Bajo Palabra,1
Bakhtiniana Revista de Estudos do Discurso,2
Balcanica,1
Balkan yearbook of European and international law,3
Baltic Journal of Economics,1
Baltic Journal of European Studies,1
Baltic Journal of Law & Politics,2
Baltic Region,1
Baltijskij region,1
Barataria Revista Castellano-Manchega de Ciencias Sociales,1
Basic Research in Cardiology,9
Basin Research,1
Bastina,1
Bautechnik,1
Bau- und Architektenrecht nach Ansprüchen,2
BDJ,1
Behavioral Sciences & the Law,1
Behaviour and Information Technology,1
Behemoth,1
Beijing Law Review,7
Beiträge aus der Plasmaphysik,1
Beiträge zum ausländischen öffentlichen Recht und Völkerrecht,63
Beiträge zur betriebswirtschaftlichen Forschung,1
Beiträge zur Geschichte der deutschen Sprache und Literatur (PBB),6
Beiträge zur Klinik der Tuberkulose,1
Beiträge zur Pathologie,1
Beiträge zur Psychopathologie,2
Beiträge zur Rechtsgeschichte Österreichs,11
Beiträge zur rechtssoziologischen Forschung,1
Beiträge zur sozialwissenschaftlichen Forschung,19
Beiträge zur Teilhabeforschung,1
Beiträge zur Unternehmensplanung,2
Benjamins current topics,1
Benjamins translation library,1
Bergen Journal of Criminal Law & Criminal Justice,1
Berghahn Books,10
Berichte der Bunsengesellschaft für physikalische Chemie,22
Berichte der Deutschen Botanischen Gesellschaft,3
Berichte der deutschen chemischen Gesellschaft,2
"Berichte der Deutschen Chemischen Gesellschaft. Abteilung B, Abhandlungen",5
Berichte zur Wissenschaftsgeschichte,18
Bericht über die Zusammenkunft - Deutsche Ophthalmologische Gesellschaft,6
Berkeley Program in Law & Economics,1
Berliner Journal für Soziologie,13
Berliner Kommentare,1
Besteuerung der Unternehmung,2
Beton- und Stahlbetonbau,1
Beverages,1
Bezpieczny Bank,1
BHM Berg- und Hüttenmännische Monatshefte,1
Białostockie Studia Prawnicze,8
Biblio 3w: revista bibliográfica de geografía y ciencias sociales,1
Bibliothek des Eigentums,2
BIBLIOTHEK Forschung und Praxis,1
Big Data & Society,1
Bijdragen,5
Bildung und Erziehung,1
Bildung und Gesellschaft,1
Bingöl Üniversitesi Sosyal Bilimler Enstitüsü Dergisi,1
Biochemie und Physiologie der Pflanzen,2
Biochimica et Biophysica Acta,1
Bioethics yearbook,1
Biographies | European Encyclopedia of Law,1
Biography,1
Biologia Plantarum,3
Biological and medical physics series,1
Biological Cybernetics,2
Biological reviews/Biological reviews of the Cambridge Philosophical Society,2
Biologie in unserer Zeit,2
Biomedical ethics reviews,1
BioMed Research International,1
Biometrics and Electronic Signatures,1
Biometrische Zeitschrift,1
Bioorganic & Medicinal Chemistry Letters,1
Biopolymers,1
bioRxiv (Cold Spring Harbor Laboratory),1
BIOS – Zeitschrift für Biographieforschung Oral History und Lebensverlaufsanalysen,2
Biotechnology,1
Birkhäuser Basel eBooks,25
Biuletyn Polskiego Towarzystwa Językoznawczego,1
Biuletyn Polskiej Misji Historycznej,12
Biuletyn Uniejowski,1
BJOG An International Journal of Obstetrics & Gynaecology,5
Black Music Research Journal,1
Blackwell Publishing Ltd eBooks,1
Blätter der DGVFM,1
Blätter für Technikgeschichte,1
Bloomsbury Academic eBooks,2
Blut Zeitschrift für die gesamte Blutforschung,2
BMC Bioinformatics,1
BMC Geriatrics,1
BMC Health Services Research,1
BMC Medical Ethics,1
BMC Pregnancy and Childbirth,1
BMC Public Health,1
Board Game Studies Journal,1
Bochumer Beiträge zur Unternehmungsführung und Unternehmensforschung,9
Bogoslovni vestnik,3
Böhlau Verlag eBooks,104
Bölcsészettudományi Kutatóközpont Magyar Őstörténeti Kutatócsoport kiadványok,1
Boletín de la Asociación de Geógrafos Españoles,1
Boletín Mexicano de Derecho Comparado,5
Bologna University Press eBooks,2
Boston studies in the philosophy of science,1
Botanical Research,1
Bratislava Law Review,15
Braun-Verlag eBooks,3
Brazilian Journal of Law Technology and Innovation,1
Brazilian Journal of Public Administration,1
BRILL eBooks,11
Brill | Nijhoff eBooks,17
Brill Research Perspectives in Ancient History,1
Brill Research Perspectives in Family Law in a Global Society,1
Brill Research Perspectives in International Investment Law and Arbitration,2
Brill Research Perspectives in Transnational Crime,2
Brill | Schöningh eBooks,1
Bristol University Press eBooks,2
Britannia,1
British Journal for the History of Philosophy,2
British Journal of Addiction,1
British Journal of Dermatology,1
British Journal of Industrial Relations,2
British Journal of Pharmacology,2
British Journal of Political Science,2
British Journal of Sociology,1
British Journal of Urology,1
Brünner Beiträge zur Germanistik und Nordistik,1
Bulletin de l Académie Nationale de Médecine,1
Bulletin de la Société Botanique de France,2
Bulletin des Sociétés Chimiques Belges,3
Bulletin du Centre d’études médiévales d’Auxerre,1
Bulletin KNOB,1
Bulletin of Belgorod State Technological University named after V G Shukhov,1
Bulletin of Concerned Asian Scholars,2
Bulletin of Latin American Research,1
Bulletin of medieval canon law,10
Bulletin of Science and Research Center of Construction,1
Bulletin of Science Technology & Society,1
Bulletin of Siberian Medicine,1
Bulletin of Sociological Methodology/Bulletin de Méthodologie Sociologique,1
Bulletin of Taras Shevchenko National University of Kyiv Legal Studies,2
Bulletin of the Academy of Sciences of the USSR Division of Chemical Science,5
Bulletin of the Geological Society of China,1
Bulletin of the History of Archaeology,1
Bulletin of the history of medicine,3
Bulletin of the Institute of Classical Studies,3
Bulletin of the Moscow State Regional University,1
Bulletin of the Moscow State Regional University (History and political science),1
Bulletin of the Moscow State Regional University (Jurisprudence),2
Bulletin of the School of Oriental and African Studies,6
Bulletin of Yerevan University C Jurisprudence,1
Bundesgesundheitsblatt - Gesundheitsforschung - Gesundheitsschutz,12
BuR - Business Research,1
Business and Human Rights Journal,1
Business and Politics,9
Business and Society Review,1
Business Ethics the Environment & Responsibility,1
Business History,3
Business Informatics Research,1
Business & Information Systems Engineering,3
Business Systems Research Journal,1
Byzantine and Modern Greek Studies,3
Byzantinische Zeitschrift,5
Byzantion nea hellás,1
CABI Compendium,2
Cadernos de Filosofia Alemã Crítica e Modernidade,1
Cadernos do Programa de Pós-Graduação em Direito – PPGDir /UFRGS,3
Cahiers d’études du religieux,1
Cahiers du Centre d Etudes Chypriotes,1
Cahiers « Mondes anciens »,3
Cambridge Historical Journal,3
Cambridge International Law Journal,1
Cambridge Journal of Economics,1
Cambridge Quarterly of Healthcare Ethics,1
Cambridge Review of International Affairs,3
Cambridge University Press eBooks,3544
Cambridge yearbook of European legal studies,16
Camden Third Series,1
Campbell Systematic Reviews,5
Canadian Journal of Biochemistry and Physiology,2
Canadian Journal of Bioethics,1
Canadian Journal of Law and Society / Revue Canadienne Droit et Société,2
Canadian Journal of Law & Jurisprudence,4
Canadian Journal of Philosophy,1
Canadian Journal of Political Science,3
Canadian Yearbook of international Law/Annuaire canadien de droit international,2
Çanakkale Araştırmaları Türk Yıllığı,1
Cancer and Metastasis Reviews,1
Capital & Class,2
Carbohydrate Polymers,1
Carbohydrate Research,1
Carl Grossmann eBooks,1
Casa de Velázquez eBooks,2
Časopis pro právní vědu a praxi,16
Cataloging & Classification Quarterly,1
Catalysis by metal complexes,1
Catalysis Communications,1
Catalysis from A to Z,1
Catalysis Today,2
Catheterization and Cardiovascular Interventions,1
Celebrity Studies,1
Cell and Tissue Research,11
Cellular Immunology,1
Cellular Polymers,1
Cellulose,1
Centaurus,1
Center for Educational Policy Studies Journal,1
Central European Academic Publishing eBooks,2
Central European History,26
Central European Journal of Comparative Law,2
CES Derecho,1
CESifo DICE report,2
CESifo Economic Studies,1
Chagyo Kenkyu Hokoku (Tea Research Journal),1
Challenges and advances in computational chemistry and physics,1
Champ pénal,4
C.H.Beck eBooks,6
ChemCatChem,1
Chemical and Petroleum Engineering,3
Chemical Engineering Science,1
Chemical Engineering & Technology,1
Chemical Physics,1
Chemie Ingenieur Technik,48
Chemie in unserer Zeit,4
Chemie Physik und Technologie der Kunststoffe in Einzeldarstellungen,1
Chemische Berichte,15
Chemische Umschau auf dem Gebiet der Fette Oele Wachse und Harze,4
Chemistry - A European Journal,4
Chemistry and Technology of Fuels and Oils,1
Chemistry & Biodiversity,1
Chemistry of Materials,1
Chemistry of Natural Compounds,2
Chemistry Technology and Application of Substances,1
Chemosphere,1
ChemSusChem,1
ChemTexts,1
Child & Family Social Work,1
Childhood Vulnerability Journal,1
Children s Geographies,1
China and WTO Review,1
China-EU Law Journal,15
China-EU law series,11
CHINESE JOURNAL OF CATALYSIS (CHINESE VERSION),1
Chinese Journal of Urban and Environmental Studies,1
Chirality,1
Chirurgia Plastica,1
Choice Reviews Online,9
Christian bioethics Non-Ecumenical Studies in Medical Morality,1
Chromatographia,2
Chromatography,1
Church History,24
Cinémas Revue d études cinématographiques,1
Circe de clásicos y moderno,1
CIRP Annals,2
CIRP journal of manufacturing science and technology,1
Cirujano General,1
Citizenship - Studien zur politischen Bildung,1
Citizenship Studies,6
Civitas et Lex,1
Civitas (Novi Sad),1
Civitas - Revista de Ciências Sociais,2
Cladistics,1
Classica Cracoviensia,1
Classica et Mediaevalia,1
Classical Antiquity,6
Classical Philology,4
Classica - Revista Brasileira de Estudos Clássicos,2
Climate Change Research Letters,1
Climate Policy,1
Clinica Chimica Acta,1
Clinical Anatomy,1
Clinical and Experimental Medicine,16
Clinical and Translational Imaging,1
Clinical Neurology and Neurosurgery,1
Clinical Psychology Science and Practice,1
Clinics in Dermatology,1
Clio,1
Cliodynamics The Journal of Quantitative History and Cultural Evolution,1
Cliometrica,1
Clio Themis,4
CNRS Éditions eBooks,1
Cochrane library,1
Cogent Social Sciences,2
Collectanea Philologica,1
Collection Regional Law Review,2
Collège de France eBooks,1
Collegium medievale,1
Colloid & Polymer Science,10
Colloids and Surfaces,2
Colloquia Germanica Stetinensia,1
Colloquia Humanistica,1
Colombia Internacional,1
Colonial Latin American Review,2
Combustion Explosion and Shock Waves,3
Comitatus,1
Commentarii Mathematici Helvetici,2
Common Market Law Review,16
Communications in computer and information science,2
Communications in Numerical Methods in Engineering,1
Communications in Soil Science and Plant Analysis,1
Communications of the Byurakan Astrophysical Observatory,2
Communicatio Socialis,1
Communist and Post-Communist Studies,1
"Comparative, European and international criminal justice",2
Comparative Law Review,1
Comparative Legal History,4
Comparative Political Studies,1
Comparative Sociology,1
Comparative Studies in Society and History,6
Compensation & Benefits Review,1
Composite Structures,1
Computation,1
Computer Law & Security Review,6
Computer Methods and Programs in Biomedicine,1
Computer Methods in Applied Mechanics and Engineering,1
Computer Physics Communications,1
Computers and the Humanities,1
Computer Science - Research and Development,1
Computer Science Review,1
Computers in Human Behavior,1
Computers & Security,1
Computing,1
Comunicar,2
Conflict Resolution Quarterly,1
Conflict Security and Development,1
Conimbriga Revista de Arqueologia,1
Conpedi Law Review,1
Constellations,9
Constitutional Political Economy,8
Constitutional State,1
Construction and Building Materials,1
Constructos Criminológicos,1
Contagion Journal of Violence Mimesis and Culture,1
Contemporary Crises,1
Contemporary era,1
Contemporary Europe,11
Contemporary European History,1
Contemporary Justice Review,1
CONTEMPORARY MILITARY CHALLENGES,1
Contemporary Political Theory,2
Contemporary Politics,2
Continuity and Change,8
Contradiction studies,1
Contributions To Global Historical Archaeology/Contributions to global historical archaeology,1
Contributions to Mineralogy and Petrology,2
Contributions to phenomenology,8
Contributions to political science,2
Controlling & Management,2
Convergence The International Journal of Research into New Media Technologies,1
Convivium Germanistisches Jahrbuch Polen,1
Cooperation and Conflict,1
Cornell University Press eBooks,1
Corporate Governance,3
Corporate Governance An International Review,3
Corporate Law & Governance Review,1
Corporate Ownership and Control,9
Corporate Reputation Review,1
Corrosion Handbook,1
Corrosion Science,1
Courier of Kutafin Moscow State Law University (MSAL),1
CRC Press eBooks,3
Credit and Capital Markets – Kredit und Kapital,1
Crime and Justice,4
Crime & Delinquency,1
Crime Histoire et Sociétés,6
Crime Law and Social Change,10
Crimen,1
Criminal Justice Ethics,3
Criminal Justice Policy Review,1
Criminal Law and Philosophy,13
Criminal Law Forum,2
Criminologie,1
CrimRxiv,1
Critical Analysis of Law,1
Critical Asian Studies,1
Critical Criminology,1
Critical Inquiry in Language Studies,1
Critical issues in social justice,1
Critical Perspectives on Accounting,1
Critical Policy Studies,1
Critical Review of International Social and Political Philosophy,2
Critical Sociology,1
CR The New Centennial Review,1
Crusades,2
"CSR, sustainability, ethics & governance",2
Cuaderno activa,1
Cuadernos Constitucionales,3
Cuadernos de Arqueología de la Universidad de Navarra,2
Cuadernos de derecho penal,1
CUADERNOS DE DERECHO TRANSNACIONAL,17
Cuadernos de estrategia,1
Cuadernos de Filología Clásica Estudios griegos e indoeuropeos,2
Cuadernos de Filología Clásica Estudios Latinos,1
Cuadernos de Historia del Derecho,1
Cuadernos de Historia Moderna,1
