"id","issn_l","issn","display_name","type"
S4210217462,"0179-616X","[""0179-616X""]",Beiträge zur Klinik der Tuberkulose,journal
S4210192637,"2662-9836","[""2662-9836"", ""2662-9844""]",Regierungssystem und Regieren in der Bundesrepublik Deutschland,book series
S4210234016,"0067-9127","[""0067-9127""]",Blätter für Technikgeschichte,book series
S4210223611,"0940-2977","[""0940-2977""]",Studien und Materialien zum Rechtsextremismus,book series
S2764858926,,"[]",Holocaust Studies,journal
S4210212452,"2704-5919","[""2704-5919""]",Studi e saggi,ebook platform
S4210213688,"2662-530X","[""2662-530X"", ""2662-5318""]",Philosophische Herausforderungen der angewandten Ethik und Gesundheitswissenschaften,book series
S137105302,,"[]",Immigrants & Minorities,journal
S2005454,"0233-1829","[""0233-1829""]",Repertorium novarum specierum regni vegetabilis,journal
S2738007323,,"[]",Polish Cartographical Review,journal
S2764502302,,"[]",Organic Synthesis Set,journal
S2765045550,,"[]",Bulletin of the Moscow State Regional University,journal
S4210176262,"2198-8285","[""2198-8285""]",Interdisziplinäre Anthropologie,journal
S4210192643,"2704-6079","[""2704-6079""]",Reti medievali e-book,journal
S4210201764,"0369-299X","[""0369-299X"", ""2214-6989""]",Mycopathologia,journal
S4210210661,"0932-2140","[""0932-2140""]",Angewandte Chemie,journal
S4210220551,"2720-9938","[""2720-9938""]",Journal of Social Science,journal
S4210223817,"2567-420X","[""2567-420X""]",Praxismaterialien des Zentrums für Integrationsstudien,ebook platform
S4210238821,"2704-5870","[""2704-5870""]",Strumenti per la didattica e la ricerca,ebook platform
S4306501673,,"[]",Anadolu Üniversitesi Hukuk Fakültesi Dergisi,journal
S4306506332,,"[]",Cirujano General,journal
S4306507746,,"[]",Derecho & Sociedad,journal
S4306527877,,"[]",REVISTA PROCESOS DE MERCADO,journal
S4306531290,,"[]",Süleyman Demirel Üniversitesi Hukuk Fakültesi Dergisi,journal
S4363604035,,"[]",AktG,book series
S4363604059,,"[]",CABI Compendium,journal
S4363604122,,"[]",Oxford Research Encyclopedia of Classics,journal
S4363604154,,"[]",Encyclopedia of Reagents for Organic Synthesis,journal
S4363604205,,"[]",Journal of Tikrit University for Humanities,journal
S4363604207,,"[]",The International Encyclopedia of Communication,journal
S4363604235,,"[]",The Homer Encyclopedia,journal
S4363604396,,"[]","2",journal
S4363604524,,"[]",Crusades,journal
S4363604598,,"[]",Encyclopedia of Polymer Science and Technology,journal
S4363604698,,"[]",The Encyclopedia of Diplomacy,journal
S4363604842,,"[]","7",journal
S4363604927,,"[]","90",other
S4363604989,,"[]","29",journal
S4363605399,,"[]",Historica Olomucensia,journal
S4363605552,,"[]",Veterinary Medical Guide to Dog and Cat Breeds,book series
S4363605651,,"[]",Encyclopedia of Catalysis,journal
S4363605676,,"[]",Polonia Maior Orientalis,journal
S4363605710,,"[]",Mezhdunarodnaja jekonomika (The World Economics),journal
S4363605781,,"[]",Revista de Ciencias Sociales,journal
S4363605995,,"[]",Haut- und Lederfehler,book series
S4363606101,,"[]","127",other
S4363606171,,"[]",Kochia,journal
S4363606198,,"[]",Salduie,journal
S4363606585,,"[]",Handbuch Naturschutz und Landschaftspflege,journal
S4363607238,,"[]",Dicionário De Princípios Jurídicos (Primeira Edição),book series
S4363607339,,"[]",Studia Paradyskie,journal
S4363607497,,"[]","147",journal
S4363607682,,"[]",Adalet Dergisi,journal
S4387286605,"2057-1003","[""2057-1003""]",Praxis,journal
S4387288897,"2972-1229","[""2972-1229"", ""2972-1237""]",Journal of Orthodox Canon Law,journal
S4387997597,"2719-8871","[""2719-8871"", ""2956-3224""]",Polonia Inter Gentes,journal
S4394736650,"0973-7111","[""0973-7111""]",Pramana,journal
S4210214254,"2363-6262","[""2363-6262""]",KAS African Law Study Library - Librairie Africaine d’Etudes Juridiques,journal
S4210190866,"2554-3822","[""2554-3822""]",Clio,journal
S4210218091,"2363-6270","[""2363-6270""]",Recht in Afrika,journal
S4306520511,"0205-0617","[""0205-0617"", ""2367-9174""]",Population,journal
S4393919143,"2702-9301","[""2702-9301"", ""2702-931X""]",Global studies & theory of society,journal
S4210224659,"0085-1388","[""0085-1388""]",Handbuch der allgemeinen Pathologie,book series
S4220651288,"0368-6345","[""0368-6345""]",Kolloid-Beihefte,journal
S4210216078,"0172-6382","[""0172-6382""]",Symposion der Deutschen Ophthalmologischen Gesellschaft,book series
S4210224802,"0938-8079","[""0938-8079""]",Wärme- und Stoffübertragung,book series
S4210203801,"0324-8585","[""0324-8585"", ""2451-134X""]",Roczniki Historyczne,journal
S4210202851,"0932-3643","[""0932-3643""]",Neuroorthopädie,book series
S18155469,"1386-8349","[""1386-8349"", ""1573-1715""]",European Journal for Education Law and Policy,journal
S4210207673,"0080-2719","[""0080-2719""]",Rheumatismus,book series
S4210199474,"0340-4838","[""0340-4838""]",Jahrbuch der Hafenbautechnischen Gesellschaft,book series
S4210198693,"1431-5440","[""1431-5440""]",Lindauer Texte,book series
S4306529063,,"[]",Saldvie: Estudios de prehistoria y arqueología,journal
S4306500713,,"[]","Administracja : teoria, dydaktyka, praktyka",journal
S2898528552,"0300-872X","[""0300-872X""]",Zeitschrift für Immunitaetsforschung Experimentelle und Klinische Immunologie,journal
S4210227816,"0768-2379","[""0768-2379"", ""2497-6350""]",Nouvelle Clio,journal
S153697720,,"[]",Journal of Orofacial Orthopedics-fortschritte Der Kieferorthopadie,journal
S4210200749,"0934-6910","[""0934-6910""]",Die Balint-Gruppe in Klinik und Praxis,book series
S4306522512,,"[]",Physik Journal,journal
S4306504446,"0740-7378","[""0740-7378""]",Biotechnology,journal
S4210183101,"0930-9454","[""0930-9454""]",Hamburger Studien zur Kriminologie,book series
S4306509666,,"[]",Erdem,journal
S4210218103,"1661-2981","[""1661-2981""]",Richterzeitung,journal
S4210229494,"2149-4576","[""2149-4576"", ""2149-6250""]",Ticaret ve Fikri Mülkiyet Hukuku Dergisi,journal
S943345013,"1041-9802","[""1041-9802""]",Praxis,journal
S2764806456,,"[]",Patai's Chemistry of Functional Groups,journal
S4210192022,"1955-0855","[""1955-0855"", ""2606-1988""]",Les Annales de droit,journal
S4210228113,"0032-6984","[""0032-6984"", ""2729-9228""]",Právny obzor,journal
S4306511876,,"[]",Handbook of Heterogeneous Catalysis,journal
S4306497660,,"[]","2006 SICE-ICASE International Joint Conference",conference
S4210183570,"0096-8013","[""0096-8013"", ""2379-5697""]",Terrestrial Magnetism and Atmospheric Electricity,journal
S4306497251,,"[]","14th AIAA Aviation Technology, Integration, and Operations Conference",conference
S4306499487,,"[]","49th AIAA Aerospace Sciences Meeting including the New Horizons Forum and Aerospace Exposition",journal
S4306499622,,"[]","5th International Aerospace Planes and Hypersonics Technologies Conference",conference
S4306501158,,"[]",AIAA SPACE 2016,journal
S4306502777,,"[]",Archimède. Archéologie et histoire ancienne,journal
S4306505753,,"[]",Catalysis from A to Z,journal
S4306519925,,"[]",Mikrochimica acta. Supplementum,journal
S4306532155,,"[]",The Encyclopedia of Ancient History,journal
S4306532158,,"[]",The Encyclopedia of Christian Civilization,journal
S4387282715,"0023-4923","[""0023-4923"", ""2670-6865""]",Kronika,journal
S4387285203,"2470-1963","[""2470-1963""]",Metal Science and Heat Treatment of Metals,journal
S4387288771,"2949-2483","[""2949-2483""]",Journal of Digital Technologies and Law,journal
S4387291673,"2291-9732","[""2291-9732""]",Critical Analysis of Law,journal
S4389157675,"1829-4561","[""1829-4561""]",Bulletin of Yerevan University C Jurisprudence,journal
S4390296978,"0563-5780","[""0563-5780"", ""2960-0057""]",Studime Filologjike,journal
S4393917798,"1864-2128","[""1864-2128"", ""2512-6849""]",Göttinger juristische Schriften,journal
S4210207203,"2510-0955","[""2510-0955"", ""2510-0963""]",Sicherheit - interdisziplinäre Perspektiven,book series
S4393917360,"1435-0963","[""1435-0963""]",Recht in Afrika,journal
S137773608,"0028-0836","[""0028-0836"", ""1476-4687""]",Nature,journal
S4306401271,,"[]",RePEc: Research Papers in Economics,repository
S140251998,"0021-9258","[""0021-9258"", ""1067-8816"", ""1083-351X""]",Journal of Biological Chemistry,journal
S106296714,"0302-9743","[""0302-9743"", ""1611-3349""]",Lecture notes in computer science,book series
S4210172589,"1556-5068","[""1556-5068""]",SSRN Electronic Journal,repository
S191963794,"0003-2700","[""0003-2700"", ""1520-6882""]",Analytical Chemistry,journal
S4306462995,,"[]",Cambridge University Press eBooks,ebook platform
S133274750,"0021-9193","[""0021-9193"", ""1067-8832"", ""1098-5530""]",Journal of Bacteriology,journal
S134644764,"0021-8561","[""0021-8561"", ""1520-5118""]",Journal of Agricultural and Food Chemistry,journal
S171072222,"0020-1669","[""0020-1669"", ""1520-510X""]",Inorganic Chemistry,journal
S4306463075,,"[]",CRC Press eBooks,ebook platform
S176136234,"0021-9673","[""0021-9673"", ""1873-3778""]",Journal of Chromatography A,journal
S8802318,"0077-8923","[""0077-8923"", ""1749-6632""]",Annals of the New York Academy of Sciences,journal
S138759888,"0013-4651","[""0013-4651"", ""1945-7111""]",Journal of The Electrochemical Society,journal
S205231332,"0004-6361","[""0004-6361"", ""1432-0746""]",Astronomy and Astrophysics,journal
S177147899,"0378-7753","[""0378-7753"", ""1873-2755""]",Journal of Power Sources,journal
S4210200754,"0044-8249","[""0044-8249"", ""1521-3757""]",Angewandte Chemie,journal
S205754296,"0040-4020","[""0040-4020"", ""1464-5416""]",Tetrahedron,journal
S46763546,"0363-7425","[""0363-7425"", ""1930-3807""]",Academy of Management Review,journal
S28349394,"0022-0302","[""0022-0302"", ""1525-3198"", ""1529-9066""]",Journal of Dairy Science,journal
S200764475,"0021-8995","[""0021-8995"", ""1097-4628""]",Journal of Applied Polymer Science,journal
S64016596,"1359-6454","[""1359-6454"", ""1873-2453""]",Acta Materialia,journal
S4306463716,,"[]",Palgrave Macmillan UK eBooks,ebook platform
S153476765,"0003-9861","[""0003-9861"", ""1096-0384""]",Archives of Biochemistry and Biophysics,journal
S166002381,"0021-9010","[""0021-9010"", ""1939-1854""]",Journal of Applied Psychology,journal
S10134376,"2071-1050","[""2071-1050""]",Sustainability,journal
S80146597,"0003-066X","[""0003-066X"", ""1935-990X""]",American Psychologist,journal
S4306463805,,"[]",Princeton University Press eBooks,ebook platform
S50016660,"0002-9394","[""0002-9394"", ""1879-1891""]",American Journal of Ophthalmology,journal
S124795565,"0039-9140","[""0039-9140"", ""1873-3573""]",Talanta,journal
S62159105,"0375-9474","[""0375-9474"", ""1873-1554""]",Nuclear Physics A,journal
S3649266,"0304-8853","[""0304-8853"", ""1873-4766""]",Journal of Magnetism and Magnetic Materials,journal
S21117631,"0192-8651","[""0192-8651"", ""1096-987X""]",Journal of Computational Chemistry,journal
S30970080,"0960-894X","[""0960-894X"", ""1464-3405""]",Bioorganic & Medicinal Chemistry Letters,journal
S4306402450,,"[]",Research Square (Research Square),repository
S122471516,"0002-9602","[""0002-9602"", ""1537-5390""]",American Journal of Sociology,journal
S151331055,"0191-8869","[""0191-8869"", ""1873-3549""]",Personality and Individual Differences,journal
S176007004,"0003-0554","[""0003-0554"", ""1537-5943""]",American Political Science Review,journal
S4210238371,"0018-8158","[""0018-8158"", ""1573-5117""]",Hydrobiologia,journal
S135458494,"0191-2917","[""0191-2917"", ""1943-7692""]",Plant Disease,journal
S165830345,"1073-5623","[""1073-5623"", ""1543-1940""]",Metallurgical and Materials Transactions A,journal
S4210219280,"0014-4754","[""0014-4754""]",Experientia,journal
S12898181,"1472-6963","[""1472-6963""]",BMC Health Services Research,journal
S57491091,"0304-8608","[""0304-8608"", ""1432-8798""]",Archives of Virology,journal
S146364893,"1662-5161","[""1662-5161""]",Frontiers in Human Neuroscience,journal
S192518766,"0001-6349","[""0001-6349"", ""1600-0412""]",Acta Obstetricia Et Gynecologica Scandinavica,journal
S87357125,"0340-1200","[""0340-1200"", ""1432-0770""]",Biological Cybernetics,journal
S93676754,"0026-7937","[""0026-7937"", ""2222-4319""]",The Modern Language Review,journal
S155128447,"0932-0113","[""0932-0113"", ""1432-1955""]",Parasitology Research,journal
S21859746,"0021-9983","[""0021-9983"", ""1530-793X""]",Journal of Composite Materials,journal
S4306463223,,"[]",Edward Elgar Publishing eBooks,ebook platform
S91099313,"0001-6101","[""0001-6101""]",Acta Medica Scandinavica,journal
S116826539,"1047-4838","[""1047-4838"", ""1543-1851""]",JOM,journal
S4210168924,"0932-0784","[""0932-0784"", ""1865-7109""]",Zeitschrift für Naturforschung A,journal
S4210209709,"0168-8510","[""0168-8510"", ""1872-6054""]",Health Policy,journal
S4306504167,"0005-9021","[""0005-9021""]",Berichte der Bunsengesellschaft für physikalische Chemie,journal
S4210209306,"0002-9572","[""0002-9572"", ""2330-9679""]",American Journal of Public Health and the Nations Health,journal
S5603941,"0029-6341","[""0029-6341"", ""1827-6121""]",Il Nuovo Cimento,journal
S165351902,"0097-9740","[""0097-9740"", ""1545-6943""]",Signs,journal
S4210211051,"0042-3106","[""0042-3106"", ""2212-2176""]",Vegetatio,journal
S60503757,"0955-3959","[""0955-3959"", ""1873-4758""]",International Journal of Drug Policy,journal
S4210188355,"0301-5564","[""0301-5564""]",Histochemistry,journal
S112914683,"0306-6150","[""0306-6150"", ""1743-9361""]",The Journal of Peasant Studies,journal
S4306463448,,"[]",IntechOpen eBooks,ebook platform
S4306462866,,"[]",ASM International eBooks,ebook platform
S4306463491,,"[]",J.B. Metzler eBooks,ebook platform
S56137335,"0931-2250","[""0931-2250"", ""1439-037X""]",Journal of Agronomy and Crop Science,journal
S28057480,"2075-4450","[""2075-4450""]",Insects,journal
S4306463787,,"[]",Presses Universitaires de France eBooks,ebook platform
S24469833,"0018-2680","[""0018-2680"", ""1748-5959""]",History of Education Quarterly,journal
S4306462936,,"[]",Bloomsbury Academic eBooks,ebook platform
S4306462967,,"[]",Brill | Nijhoff eBooks,ebook platform
S4210223708,"0340-2193","[""0340-2193""]",Zeitschrift für Physik A Atoms and Nuclei,journal
S4306464232,,"[]",Vandenhoeck & Ruprecht eBooks,ebook platform
S4306463311,,"[]",Gallimard eBooks,ebook platform
S120683614,"1939-0122","[""1939-0122"", ""1939-0114""]",Security and Communication Networks,journal
S111449618,"0043-1656","[""0043-1656"", ""1477-8696""]",Weather,journal
S14881475,"1353-3452","[""1353-3452"", ""1471-5546""]",Science and Engineering Ethics,journal
S4306463307,,"[]",Gabler eBooks,ebook platform
S4306463955,,"[]",Steinkopff eBooks,ebook platform
S4306462882,,"[]",Auerbach Publications eBooks,ebook platform
S4306462911,,"[]",Berghahn Books,ebook platform
S30880287,"0039-3215","[""0039-3215"", ""1572-8730""]",Studia Logica,journal
S2764887140,"2039-2117","[""2039-2117"", ""2039-9340""]",Mediterranean Journal of Social Sciences,journal
S4306463494,,"[]",John Benjamins Publishing Company eBooks,ebook platform
S4306462787,,"[]",Akademie Verlag eBooks,ebook platform
S4306463591,,"[]",Manchester University Press eBooks,ebook platform
S4306463664,,"[]",Nomos eBooks,ebook platform
S100566859,"2190-4715","[""2190-4715""]",Environmental Sciences Europe,journal
S4306463632,,"[]",Mohr Siebeck eBooks,ebook platform
S4306463359,,"[]",Hart Publishing eBooks,ebook platform
S155063544,"0065-2725","[""0065-2725"", ""1557-8429""]",Advances in heterocyclic chemistry,book series
S41191225,"0045-5091","[""0045-5091"", ""1911-0820""]",Canadian Journal of Philosophy,journal
S4306463024,,"[]",C.H.Beck eBooks,ebook platform
S152111507,"1574-017X","[""1574-017X"", ""1875-905X""]",Mobile Information Systems,journal
S94891645,"0022-2968","[""0022-2968"", ""1545-6978""]",Journal of Near Eastern Studies,journal
S4306531450,"0074-1809","[""0074-1809"", ""2352-2186""]",Symposium - International Astronomical Union,journal
S4306531624,,"[]",TDX (Tesis Doctorals en Xarxa),repository
S57090429,"0191-4537","[""0191-4537"", ""1461-734X""]",Philosophy & Social Criticism,journal
S4306462808,,"[]",American Institute of Aeronautics and Astronautics eBooks,ebook platform
S4210201494,"0033-1538","[""0033-1538"", ""1573-9090""]",Prospects,journal
S4306463525,,"[]",La Découverte eBooks,ebook platform
S4306463237,,"[]",Emerald Publishing Limited eBooks,ebook platform
S4210239615,"0065-6100","[""0065-6100""]",Albrecht von Graefes Archiv für klinische und experimentelle Ophthalmologie,journal
S61561007,"1526-5943","[""1526-5943"", ""2331-2947""]",The Journal of Risk Finance,journal
S162713455,"0018-2613","[""0018-2613"", ""2196-680X""]",Historische Zeitschrift,journal
S2739193000,"1891-1803","[""1891-1803""]",Campbell Systematic Reviews,journal
S4306462860,,"[]",Ashgate eBooks,ebook platform
S43051214,"1345-2843","[""1345-2843"", ""1882-5133""]",Nihon Rinsho Geka Gakkai Zasshi (Journal of Japan Surgical Association),journal
S4306464240,,"[]",Verlag Barbara Budrich eBooks,ebook platform
S127523745,"0543-1972","[""0543-1972"", ""1573-8906""]",Measurement Techniques,journal
S4210170394,"0362-1529","[""0362-1529"", ""2166-5508""]",Traditio,journal
S2764594251,"1392-2785","[""1392-2785"", ""2029-5839""]",Engineering Economics,journal
S4210172902,"0932-4569","[""0932-4569"", ""1614-0559""]",Journal of Institutional and Theoretical Economics JITE,journal
S49831879,"0952-1909","[""0952-1909"", ""1467-6443""]",Journal of Historical Sociology,journal
S52388535,"0165-4004","[""0165-4004"", ""1614-7308""]",Folia Linguistica,journal
S4306508231,,"[]","Doctoral thesis, UCL (University College London).",repository
S4306464021,,"[]",T.M.C. Asser Press eBooks,ebook platform
S4306463781,,"[]",Presses de Sciences Po eBooks,ebook platform
S166113629,"1043-4062","[""1043-4062"", ""1572-9966""]",Constitutional Political Economy,journal
S2784850370,"2327-5952","[""2327-5952"", ""2327-5960""]",Open Journal of Social Sciences,journal
S1008668990,"0022-0256","[""0022-0256"", ""2325-6737""]",Journal of Cuneiform Studies,journal
S998543980,"1355-6509","[""1355-6509"", ""1757-0409""]",The Translator,journal
S72280192,"0021-8553","[""0221-8553"", ""1464-3731"", ""0021-8553""]",Journal of African Law,journal
S107313304,"1467-8802","[""1467-8802"", ""1478-1174""]",Conflict Security and Development,journal
S4306463301,,"[]",Franz Steiner Verlag eBooks,ebook platform
S12685493,"0031-9279","[""0031-9279"", ""1521-3722""]",Physik Journal,journal
S57599369,"0155-977X","[""0155-977X"", ""1558-5727""]",Social Analysis,journal
S4210231498,"0176-6724","[""0176-6724""]",Zentralblatt für Bakteriologie Mikrobiologie und Hygiene Series A Medical Microbiology Infectious Diseases Virology Parasitology,journal
S162232022,"1768-5958","[""1768-5958"", ""1969-6574""]",Management & Avenir,journal
S4306462951,,"[]",Böhlau Verlag eBooks,ebook platform
S171627239,"1740-0228","[""1740-0228"", ""1740-0236""]",Journal of Global History,journal
S4306462969,,"[]",Brill | Schöningh eBooks,ebook platform
S4306464255,,"[]",Vieweg+Teubner eBooks,ebook platform
S4306463467,,"[]",Intersentia eBooks,ebook platform
S2680034,"2193-6218","[""2193-6218"", ""2193-6226""]",Medizinische Klinik - Intensivmedizin und Notfallmedizin,journal
S4306463611,,"[]",MDPI eBooks,ebook platform
S118431517,"0734-8584","[""0734-8584"", ""1533-8541""]",Rhetorica,journal
S66032519,"0040-6325","[""0040-6325"", ""2473-3725""]",The Thomist,journal
S101521904,"1098-092X","[""1098-092X"", ""1936-4717""]",Gender Issues,journal
S14063520,"0952-7648","[""0952-7648"", ""1743-1700""]",Journal of Mediterranean Archaeology,journal
S4306463693,,"[]",Oldenbourg eBooks,ebook platform
S4306463163,,"[]",Éditions de l’École des hautes études en sciences sociales eBooks,ebook platform
S4306488387,,"[]",J.F. Bergmann-Verlag eBooks,ebook platform
S147980290,"0001-4079","[""0001-4079"", ""2271-4820""]",Bulletin de l Académie Nationale de Médecine,journal
S452692,"1476-7937","[""1476-7937"", ""8756-6583""]",Holocaust and Genocide Studies,journal
S93175750,"1542-7587","[""1542-7587"", ""1542-7595""]",Critical Inquiry in Language Studies,journal
S4210201851,"0939-5911","[""0939-5911"", ""1664-2856""]",SUCHT - Zeitschrift für Wissenschaft und Praxis / Journal of Addiction Research and Practice,journal
S49964423,"0066-1619","[""0066-1619"", ""1783-1334""]",Ancient Society,journal
S4306464261,,"[]",V&R unipress eBooks,ebook platform
S4210187551,"2195-1284","[""2195-1284"", ""2195-1292""]",Lecture notes in energy,book series
S4210170263,"0769-3362","[""0769-3362"", ""1969-6973""]",Droit et société,journal
S4210168979,"1130-8001","[""1130-8001"", ""1988-3129""]",Política y Sociedad,journal
S159458168,"1862-7072","[""1862-7072"", ""1862-7080""]",Forensische Psychiatrie Psychologie Kriminologie,journal
S4306463159,,"[]",Éditions de la Maison des sciences de l’homme eBooks,ebook platform
S4210206807,"0340-7330","[""0340-7330""]",Anzeiger für Schädlingskunde Pflanzenschutz Umweltschutz,journal
S61703308,"0167-6768","[""0167-6768"", ""1574-0951""]",Netherlands yearbook of international law,journal
S2764362924,"1038-3441","[""1038-3441"", ""1839-4205""]",Griffith Law Review,journal
S4306510123,,"[]",European integration online papers ( EIoP ),journal
S4306463128,,"[]",DUV eBooks,ebook platform
S31717003,"1803-8417","[""1803-8417""]",European Countryside,journal
S4210190138,"1623-6297","[""1623-6297"", ""2105-2875""]",Politique européenne,journal
S4306522964,,"[]",Prace Naukowe / Akademia Ekonomiczna w Katowicach,journal
S4306464237,,"[]",Velbrück Wissenschaft eBooks,ebook platform
S4306464242,,"[]",Verlag Dr. Otto Schmidt eBooks,ebook platform
S126564611,"0959-6941","[""0959-6941"", ""1875-841X""]",European Business Law Review,journal
S4210219936,"0388-5321","[""0388-5321"", ""1881-4743""]",Hyomen Kagaku,journal
S125111321,"0025-2514","[""0025-2514"", ""1433-0466""]",Manuelle Medizin,journal
S45670615,"0016-8890","[""0016-8890"", ""1930-6962""]",The Germanic Review Literature Culture Theory,journal
S4210207098,"2398-7723","[""2398-7723""]",AJIL Unbound,journal
S199513390,"1614-4007","[""1614-4007"", ""1614-4015""]",Transition Studies Review,journal
S4306502140,"1301-1308","[""1301-1308""]",Ankara Üniversitesi Hukuk Fakültesi Dergisi,journal
S4306465722,,"[]",Aschendorff eBooks,ebook platform
S4210169784,"1315-9518","[""1315-9518"", ""2477-9431""]",Revista de Ciencias Sociales,journal
S2764778649,"2160-486X","[""2160-486X"", ""2160-4851""]",Fat Studies,journal
S4210187306,"2199-3793","[""2199-3793""]",ChemTexts,journal
S35203962,"0716-0747","[""0716-0747"", ""0718-3437""]",Revista Chilena de Derecho,journal
S2764535096,"1545-679X","[""1545-679X""]",Information Systems Education Journal,journal
S4306511462,,"[]",GI-Jahrestagung,journal
S2932880790,"2250-0758","[""2250-0758"", ""2394-6962""]",International Journal of Engineering and Management Research,journal
S4306464272,,"[]",Wallstein Verlag eBooks,ebook platform
S4306463136,,"[]",École française de Rome eBooks,ebook platform
S4306464338,,"[]",Wydawnictwo Uniwersytetu Łódzkiego eBooks,ebook platform
S4306521824,,"[]",Other publications TiSEM,journal
S103908332,"0860-150X","[""0860-150X"", ""2199-6059"", ""2450-6842""]",Studies in Logic Grammar and Rhetoric,journal
S68478772,"1808-2432","[""1808-2432"", ""2317-6172""]",Revista Direito GV,journal
S4210171522,"0076-6275","[""0076-6275""]",Melbourne Studies in Education,journal
S4306526338,"2448-0959","[""2448-0959""]",Revista Científica Multidisciplinar Núcleo do Conhecimento,journal
S52438992,"1612-5010","[""1612-5010"", ""2190-6300""]",Zeitschrift für Sportpsychologie,journal
S2739195881,"0101-4714","[""0101-4714"", ""1982-0267""]",Anais do Museu Paulista História e Cultura Material,journal
S4306509235,,"[]",e-mentor,journal
