"item_id_citing","item_id_cited","citing_pubyear","ref_seq_nr","ref_pubyear","ref_item_title","ref_source_title","ref_authors","ref_volume","scopus_ref_issue","ref_pages","ref_doi","wos_ref_article_number","scopus_ref_text","scopus_ref_fulltext","wos_citation_context","ref_pubyear_regexp"
"2-s2.0-85023697120","2-s2.0-85023709655",2008,22,2004,"Wahlrecht, Familienwahlrecht, Reformfragen",Juristenzeitung,"{""Oebbecke, J.""}",,,"987",,,,"J. Oebbecke, ‘Wahlrecht, Familienwahlrecht, Reformfragen’, Juristenzeitung (2004), S. 987.",,
"2-s2.0-79952246892","2-s2.0-85175808297",2005,151,,,,,,,,,,"Haimo Schack, 57 JURISTENZEITUNG (2002), 1007-1008.","Haimo Schack, 57 JURISTENZEITUNG (2002), 1007-1008;",,
"2-s2.0-84881686876","2-s2.0-84881804537",2010,253,,,,,,,,,,Note,Such as the Neue Juristische Wochenschrift (NJW) or the Juristenzeitung (JZ).,,
"2-s2.0-84881813753","2-s2.0-84881831496",2010,65,,,,,,,,,,,"Johannes Hager, 'Grundrechte im Privatrecht' (1994) Juristenzeitung 49, pp. 373-83",,
"2-s2.0-84922747198","2-s2.0-84922689785",2012,333,2001,,Juristenzeitung,{Ulmer},,,"491ff",,,,"Ulmer, [2001] Juristenzeitung 491ff.",,
"2-s2.0-84904023331","2-s2.0-85069963923",2011,51,2006,,Juristenzeitung,,"359",,"361",,,"Ohler, case annotation at","Ohler, case annotation (2006) Juristenzeitung 359 at 361.",,
"2-s2.0-85113583858","2-s2.0-85178155948",2016,4,1996,,JURISTENZEITUNG,"{""Stürner, R.""}",,,"741-752",,,,"ROLF STÜRNER, JURISTENZEITUNG 741–52 (1996);",,
"2-s2.0-59449094480","2-s2.0-0344821524",2009,6,2003,Forschung mit Kindern.,Juristenzeitung,"{""Taupitz, J.""}","3-53",,"109-118",,,,"Taupitz, J.: Forschung mit Kindern. Juristenzeitung 3/53 (2003), 109-118.",,
"2-s2.0-85063776251","2-s2.0-85063794400",2018,7,2016,Anmerkung,Juristenzeitung,"{""Dethloff, N.""}","71",,"207",,,,"Dethloff, N. (2016). Anmerkung. Juristenzeitung, 71, 207.",,
"2-s2.0-85127177267","2-s2.0-85127103655",2021,56,2016,,Juristenzeitung,"{Tonner,Gawel}",,,"1030",,,Siehe etwa Schlacke,"Siehe etwa Schlacke/Tonner/Gawel, Juristenzeitung 2016, 1030.",,
"2-s2.0-85141021339","2-s2.0-85185635939",2022,68,1998,BGH 14 May 1998,JZ (Juristenzeitung),,"53",,"1072",,,also,"See also BGH 14 May 1998, 53. JZ (Juristenzeitung) 1998, p 1072.",,
"2-s2.0-84881791241","2-s2.0-84881677682",2012,300,1964,'Seriozitätsindizien',Juristenzeitung,"{""Zweigert, K.""}","19",,"349-353",,,,"Zweigert, K. (1964), 'Seriozitätsindizien', Juristenzeitung, 19, pp. 349-353",,
"2-s2.0-85177237996","2-s2.0-85177164016",2001,6,2001,,JURISTENZEITUNG,{Kaiser},,,"617",,,,"Kaiser, JURISTENZEITUNG 2001, p. 617.",,
"2-s2.0-85193317968","2-s2.0-85010959226",2023,35,2008,,Case 404/06 Quelle AG v Bundesverband der Verbraucherzentralen und Verbraucherverbände,,,,,,,"the past, the Court of Justice of the European Union had already intervened several times to interpret the characteristics of the 'hierarchy of remedies (of course, especially at the time of Dir 1999/44/EC). ECR I-2685; Joined Cases C-65 and 87/09 Gebr. Weber GmbH Jürgen Wittmer and Ingrid Putz Medianess Electronics GmbH [2011] ECR I-5257. For comments, in the Italian literature, L. Mangiaracina, 'La gratuità della sostituzione del prodotto difettoso nella direttiva 1999/44/CE: la normativa tedesca al vaglio della Corte di giustizia Europa e diritto privato, 191-202 (2009); G. Magri, 'La vendita di beni di consumo torna alla Corte di giustizia: eccessiva onerosità del rimedio, differenze linguistiche e influsso della Dir. 99/44/CE sul diritto tedesco e italiano Giurisprudenza italiana, 534-539 (2011); M. Francisetti Brolin, 'Garanzie nell vendita di consumo ed esatto adempimento sostitutivo: nuove questioni al vaglio della Corte di giustizia Contratto e impresa/Europa, 775-797 (2011); De Hippolytis, 'Su chi gravano le spese occorrenti per la rimozione di un bene di consumo difettoso e l'installazione di un bene sostitutivo Il Foro italiano, IV, 567-570 (2011); A. De Franceschi, 'La sostituzione del bene ""non conforme al contratto di vendita Rivista di diritto civile, 559-596 (2009); A. Genovese, 'Ripristino della conformità del bene di consumo difettoso Giurisprudenza italiana, 1502-1504 (2011). And, in the foreign literature, S. Herrler, 'Rückforderung von Nutzungsersatz beim Verbrauchsgüterkauf: Verzögerter Beginn der Verjährungsfrist wegen unübersichtlicher Rechtslage Neue Juristische Wochenschrift, 1845-1847 (2009); C. Herresthal, 'Die teleologische Auslegung der Verbrauchsgüterkaufrichtlinie Der EuGH auf dem Weg zu einer eigenständigen Methode der Rechtsgewinnung Zeitschrift für europäisches Privatrecht, 598-612 (2009); S. Stijns and S. Jansen, 'Consumer Sales Remedies in E. Terryn et al eds, Landmark cases of EU consumer law: in honour of Jules Stuyck (Cambridge: Intersentia, 2013) 704-724; Grundmann, Stefan: 'Consumer Sales The Weber-Putz Case-Law: From Traditional to Modern Contract Law in E. Terryn et al eds, Landmark cases, ibid, 731-742; M. Dupont, 'Le consommateur n'est pas tenu d'indemniser le vendeur d'un bien de consommation défectueux pour l'usage qu'il en a fait jusqu'à son remplacement Droit de la consommation, 77-81 (2008); K. Lilleholt, 'Case: CJEU Quelle 6 European Review of Contract Law 2, 192-196 (2010); G. Pignarre and L. F. Pignarre, 'A propos de la gratuité du remplacement d'un bien non conforme Recueil Le Dalloz, 2631-2635 (2008); P. Rott, 'The Quelle Case and the Potential of and Limitations to Interpretation in the Light of the Relevant Directive European Review of Private Law, 1119-1130 (2008); T.M.J. Möllers and A. Möhring, 'Recht und Pflicht zur richtlinienkonformen Rechtsfortbildung bei generellem Umsetzungswillen des Gesetzgebers Juristenzeitung, 919-924 (2008); C. Schneider and F. Amtenbrink, ""Quelle The possibility, for the seller, to ask for compensation for the use of goods in replacement of products not in conformity with the contract Revue européenne de droit de la consommation, 301-309 (2007-08); C. Aubert de Vincelles, 'Charge des frais liés au remplacement d'un bien vendu non conforme Revue des contrats, 1233-1242 (2011); J.A. Tamayo Carmona, 'Gastos y costes de la acción de sustitución de biene conformes Directiva 1999/44/CE, sobre venta y garantías de bienes de consumo Comentario de la STJ de 16 junio 2011, C-65/09 y C-87/09 Revista de Derecho Patrimonial 31, 401-425 (2013); J. Luzak, 'Who should bear the risk of the removal of the non-conforming goods 1 Journal of European Consumer and Market Law 2, 35-40 (2012); Ead, 'A Storm in a Teacup On Consumers Remedies for Nonconforming Goods after Weber and Putz 23 European Review of Private Law, 689-704 (2015); A. Fromont, 'Verdure, Christophe: Arrêt Weber et Putz: la prise en charge des frais de remplacement en application de la garantie des biens de consommation Revue européenne de droit de la consommation, 141-150 (2012); K. Sein, 'Kalamees, Piia: Recoverability of Removal and Installation Costs in Case of Defective Consumer Goods: How Would the Weber and Putz Case Be Solved under Common European Sales Law Zeitschrift für Gemeinschaftsprivatrecht, 289-293 (2011); J. Hoffmann and S. Horn, 'Grundfragen des kaufrechtlichen Aufwendungsersatzes für Ein und Ausbaukosten 218 Archiv für die civilistische Praxis, 865-904 (2018); E. Poillot, 'Droit contractuel de la consommation. Inexécution du contrat Recueil Le Dalloz, 845-846 (2012); G. Paisant, 'Quelles obligations pour le vendeur qui délivre un bien défectueux La Semaine Juridique édition générale 40, 1759 (2011)","In the past, the Court of Justice of the European Union had already intervened several times to interpret the characteristics of the 'hierarchy of remedies' (of course, especially at the time of Dir 1999/44/EC). See Case 404/06 Quelle AG v Bundesverband der Verbraucherzentralen und Verbraucherverbände, [2008] ECR I-2685; Joined Cases C-65 and 87/09 Gebr. Weber GmbH v Jürgen Wittmer and Ingrid Putz v Medianess Electronics GmbH [2011] ECR I-5257. For comments, in the Italian literature, see L. Mangiaracina, 'La gratuità della sostituzione del prodotto difettoso nella direttiva 1999/44/CE: la normativa tedesca al vaglio della Corte di giustizia' Europa e diritto privato, 191-202 (2009); G. Magri, 'La vendita di beni di consumo torna alla Corte di giustizia: eccessiva onerosità del rimedio, differenze linguistiche e influsso della Dir. 99/44/CE sul diritto tedesco e italiano' Giurisprudenza italiana, 534-539 (2011); M. Francisetti Brolin, 'Garanzie nell vendita di consumo ed esatto adempimento sostitutivo: nuove questioni al vaglio della Corte di giustizia' Contratto e impresa/Europa, 775-797 (2011); De Hippolytis, 'Su chi gravano le spese occorrenti per la rimozione di un bene di consumo difettoso e l'installazione di un bene sostitutivo?' Il Foro italiano, IV, 567-570 (2011); A. De Franceschi, 'La sostituzione del bene ""non conforme"" al contratto di vendita' Rivista di diritto civile, 559-596 (2009); A. Genovese, 'Ripristino della conformità del bene di consumo difettoso' Giurisprudenza italiana, 1502-1504 (2011). And, in the foreign literature, see S. Herrler, 'Rückforderung von Nutzungsersatz beim Verbrauchsgüterkauf: Verzögerter Beginn der Verjährungsfrist wegen unübersichtlicher Rechtslage' Neue Juristische Wochenschrift, 1845-1847 (2009); C. Herresthal, 'Die teleologische Auslegung der Verbrauchsgüterkaufrichtlinie - Der EuGH auf dem Weg zu einer eigenständigen Methode der Rechtsgewinnung' Zeitschrift für europäisches Privatrecht, 598-612 (2009); S. Stijns and S. Jansen, 'Consumer Sales - Remedies', in E. Terryn et al eds, Landmark cases of EU consumer law: in honour of Jules Stuyck (Cambridge: Intersentia, 2013) 704-724; Grundmann, Stefan: 'Consumer Sales - The Weber-Putz Case-Law: From Traditional to Modern Contract Law', in E. Terryn et al eds, Landmark cases, ibid, 731-742; M. Dupont, 'Le consommateur n'est pas tenu d'indemniser le vendeur d'un bien de consommation défectueux pour l'usage qu'il en a fait jusqu'à son remplacement' Droit de la consommation, 77-81 (2008); K. Lilleholt, 'Case: CJEU - Quelle' 6 European Review of Contract Law 2, 192-196 (2010); G. Pignarre and L. F. Pignarre, 'A propos de la gratuité du remplacement d'un bien non conforme' Recueil Le Dalloz, 2631-2635 (2008); P. Rott, 'The Quelle Case and the Potential of and Limitations to Interpretation in the Light of the Relevant Directive' European Review of Private Law, 1119-1130 (2008); T.M.J. Möllers and A. Möhring, 'Recht und Pflicht zur richtlinienkonformen Rechtsfortbildung bei generellem Umsetzungswillen des Gesetzgebers' Juristenzeitung, 919-924 (2008); C. Schneider and F. Amtenbrink, ' ""Quelle"": The possibility, for the seller, to ask for compensation for the use of goods in replacement of products not in conformity with the contract' Revue européenne de droit de la consommation, 301-309 (2007-08); C. Aubert de Vincelles, 'Charge des frais liés au remplacement d'un bien vendu non conforme' Revue des contrats, 1233-1242 (2011); J.A. Tamayo Carmona, 'Gastos y costes de la acción de sustitución de bienes no conformes - Directiva 1999/44/CE, sobre venta y garantías de bienes de consumo - Comentario de la STJ de 16 junio 2011, C-65/09 y C-87/09' Revista de Derecho Patrimonial 31, 401-425 (2013); J. Luzak, 'Who should bear the risk of the removal of the non-conforming goods?' 1 Journal of European Consumer and Market Law 2, 35-40 (2012); Ead, 'A Storm in a Teacup? On Consumers' Remedies for Nonconforming Goods after Weber and Putz' 23 European Review of Private Law, 689-704 (2015); A. Fromont, 'Verdure, Christophe: Arrêt Weber et Putz: la prise en charge des frais de remplacement en application de la garantie des biens de consommation' Revue européenne de droit de la consommation, 141-150 (2012); K. Sein, 'Kalamees, Piia: Recoverability of Removal and Installation Costs in Case of Defective Consumer Goods: How Would the Weber and Putz Case Be Solved under Common European Sales Law?' Zeitschrift für Gemeinschaftsprivatrecht, 289-293 (2011); J. Hoffmann and S. Horn, 'Grundfragen des kaufrechtlichen Aufwendungsersatzes für Ein- und Ausbaukosten' 218 Archiv für die civilistische Praxis, 865-904 (2018); E. Poillot, 'Droit contractuel de la consommation. Inexécution du contrat' Recueil Le Dalloz, 845-846 (2012); G. Paisant, 'Quelles obligations pour le vendeur qui délivre un bien défectueux?' La Semaine Juridique - édition générale 40, 1759 (2011).",,
"2-s2.0-85180837325","2-s2.0-85180915317",2023,9,1934,,Deutsche Juristenzeitung,{Zimmerl},"39",,"442",,,,Zimmerl in Deutsche Juristenzeitung 39 (1934): 442.,,
"2-s2.0-33845723368","2-s2.0-85176250177",2005,11,2003,Die neuen Kinderbetreuungskonzepte als Kompetenzproblem im Bundesstaat,ZG,{Stein},,,"324",,,,"Stettner, Kollusives Zusammenwirken von Bund und Ländern beim Ganztagsschulprogramm, ZG 315 (2003); Stein, Die neuen Kinderbetreuungskonzepte als Kompetenzproblem im Bundesstaat, ZG 324 (2003); Winterhoff, Finanzielle Förderung von Ganztagsschulen und Juniorprofessuren durch den Bund?, JURISTENZEITUNG 59 (2005).",,
"2-s2.0-33845723368","2-s2.0-85176276365",2005,12,2005,Finanzielle Förderung von Ganztagsschulen und Juniorprofessuren durch den Bund?,JURISTENZEITUNG,{Winterhoff},,,"59",,,,"Stettner, Kollusives Zusammenwirken von Bund und Ländern beim Ganztagsschulprogramm, ZG 315 (2003); Stein, Die neuen Kinderbetreuungskonzepte als Kompetenzproblem im Bundesstaat, ZG 324 (2003); Winterhoff, Finanzielle Förderung von Ganztagsschulen und Juniorprofessuren durch den Bund?, JURISTENZEITUNG 59 (2005).",,
"2-s2.0-34249779576","2-s2.0-34249815724",2007,10,2001,,Genehmigung einer zwangsweisen Zuführung zur ambulanten Behandlung? Juristenzeitung,"{""Lipp, V.""}","56",,"821-829",,,,Lipp V. Genehmigung einer zwangsweisen Zuführung zur ambulanten Behandlung? Juristenzeitung 2001; 56: 821-829,,
"2-s2.0-61649123512","2-s2.0-61649111170",2009,24,2005,Der homo oeconomicus und das Schuldrecht,Juristenzeitung,"{""Eidenmüller, H.""}","5",,"216",,,"13:670","Eidenmüller H (2005) Der homo oeconomicus und das Schuldrecht. Juristenzeitung 5:216, 13:670",,
"2-s2.0-17144426038","2-s2.0-0012459716",2005,125487617,2001,Die menschenwürde im fluß des bioethischen diskurses,Juristenzeitung,"{""Herdegen, M.""}","15-16",,"773-779",,,,Herdegen M. Die Menschenwürde im Fluß des bioethischen Diskurses. Juristenzeitung 2001; 15/16: 773-9.,,
"2-s2.0-32044444073","2-s2.0-32044462065",2005,156861339,1953,Die Zweispurigkeit unseres Haftpflichtrechts,Juristenzeitung,"{""Esser, J.""}","8",,"129-134",,,,J. Esser Die Zweispurigkeit unseres Haftpflichtrechts Juristenzeitung 8 1953 129-134,,
"2-s2.0-0035542491","2-s2.0-0007341619",2001,75,1979,Datenschutz und Datenzugang,Juristenzeitung,"{""Scherer, J.""}","34",,"389-394",,,,"Scherer, Joachim (1979) ""Datenschutz und Datenzugang,"" 34 Juristenzeitung 389-94.",,
"2-s2.0-31044445011","2-s2.0-31044450674",2005,155222424,2004,'Folter im Rechtsstaat',Juristenzeitung,"{""Hilgendorf, E.""}",,,"331-339",,,,"E. Hilgendorf, 'Folter im Rechtsstaat', Juristenzeitung (2004) 331-339;",,
"2-s2.0-54949113918","2-s2.0-54949141248",2008,82,1976,Anmerkung,Juristenzeitung,"{""Kimminich, O.""}","31",,"61",,,,"O. Kimminich, ""Anmerkung"", Juristenzeitung, Vol. 31, 1976, 61.",,
"2-s2.0-72049093517","2-s2.0-33846566671",2009,27,2006,,Juristenzeitung,,,,"463f",,,"BVerfG, mit kritischer Anmerkung von Huster, S. 466 ff.","BVerfG, Juristenzeitung 2006, S. 463 ff., mit kritischer Anmerkung von Huster, S. 466 ff.",,
"2-s2.0-84990884352","2-s2.0-85023066292",2006,124,,,JuristenZeitung,{Schochet},,,"283",,,See at,"See Schochet, JuristenZeitung, at 283.",,
"2-s2.0-79960455997","2-s2.0-79959370935",2010,11,2008,Juristenzeitung,,"{""Eidenmüller, H."",""Faust, F."",""Grigoleit, H."",""Jansen, N."",""Wagner, G."",""Zimmermann, R.""}",,,"529",,,"In this sense (and far too open) see, at 539-541","In this sense (and far too open) see H. Eidenmüller, F. Faust, H. Grigoleit, N. Jansen, G. Wagner and R. Zimmermann, Juristenzeitung 2008, 529, at 539-541.",,
"2-s2.0-84862165465","2-s2.0-85044767291",2002,15,1998,,Juristenzeitung,{Wiedemann},,,"1176",,,,"Wiedemann, Juristenzeitung 1998, 1176.",,
"2-s2.0-69849109073","2-s2.0-69849096307",2009,26,2004,,Juristenzeitung (JZ),{Pawlik},,,"1045ss",,,,"Pawlik. Juristenzeitung (JZ), 2004, pp. 1045ss.",,
"2-s2.0-77955584565","2-s2.0-77955567521",2010,29,1967,Urteilswirkung und rechtliches Gehör,Juristenzeitung,"{""Schlosser, P.""}",,,"431-437",,,,"Schlosser, P., ""Urteilswirkung und rechtliches Gehör"" , en Juristenzeitung, 1967, pp. 431-437",,
"2-s2.0-84877078360","2-s2.0-84877010396",2012,16,2011,Das murphy-urteil des eugh,Juristenzeitung,{Leistner},"66","1140","1142",,,,"Cf. Leistner, ""Das Murphy-Urteil des EuGH"" (2011) 66 Juristenzeitung 1140, 1142.",,
"2-s2.0-84882465947","2-s2.0-0043270064",2012,123,1984,Der Rechtsstaat und die Rule of Law,Juristenzeitung,,"39",,"65-70",,,,"1984 ""Der Rechtsstaat und die Rule of Law"" 39 Juristenzeitung 65-70.",,
"2-s2.0-84881846248","2-s2.0-84881962936",2010,87,2001,Legitimitätsbedingungen eines Europäischen Zivilgesetzbuchs,Juristenzeitung,"{""Schmid, C.""}","56",,"674",,,,"Schmid, C. (2001), 'Legitimitätsbedingungen eines Europäischen Zivilgesetzbuchs', Juristenzeitung, 56, 674.",,
"2-s2.0-78649840984","2-s2.0-27744561066",2010,98,1993,Vermö gensstrafe und erweiterte Ver- fall,Juristenzeitung,"{""Perron, W.""}",,,"919-920",,,See,"See Perron, W., ""Vermö gensstrafe und erweiterte Ver- fall"", Juristenzeitung, 1993, 919-920",,
"2-s2.0-84881910298","2-s2.0-85175482525",2006,77,2002,,"Anmerkung, Juristenzeitung (Jz)","{""Schäfer, C.""}",,,"249",,,,"Carsten Schäfer, Anmerkung, JURISTENZEITUNG (JZ) 249 (2002);",,
"2-s2.0-84922311305","2-s2.0-84922275557",2010,353,1949,Fritz Schulz zum 70. Geburtstag,Süddeutsche Juristenzeitung,"{""Kaser, M.""}","4",,"514-515",,,"'Schulz in der allersten Reihe der Romanisten aller Nationen', coll, 514","'Schulz in der allersten Reihe der Romanisten aller Nationen': M. Kaser, 'Fritz Schulz zum 70. Geburtstag' (1949) 4 Süddeutsche Juristenzeitung coll. 514-15, at 514.",,
"2-s2.0-84892006967","2-s2.0-84892023017",2007,71,1998,Das verhältnis zwischen den unidroit-grundsätzen und den allgemeinen grundsätzen internationaler einheitsprivatrechtskonventionen,Juristenzeitung,"{""Ferrari, F.""}","1",,"9",,,,"Ferrari, Franco, 'Das Verhältnis zwischen den Unidroit- Grundsätzen und den allgemeinen Grundsätzen internationaler Einheitsprivatrechtskonventionen', Juristenzeitung 1 (1998) 9.",,
"2-s2.0-84922747198","2-s2.0-84922730562",2012,559,1999,Die Verbrauchsgüterkaufrichtlinie,Juristenzeitung,"{""Ehmann, H."",""Rust, U.""}",,,"864",,,"who refer to 'the danger of a new, deep class division'","Horst Ehmann and Ulrich Rust, 'Die Verbrauchsgüterkaufrichtlinie', [1999] Juristenzeitung 864 (who refer to 'the danger of a new, deep class division').",,
"2-s2.0-84922906184","2-s2.0-0012285103",2005,41,1999,Das Schicksal der Sitztheorie nach dem Centros-Urteil des EuGH,Juristenzeitung (JZ),"{""Ebke, W.""}",,,"656",,,,"Werner Ebke, Das Schicksal der Sitztheorie nach dem Centros-Urteil des EuGH, JURISTENZEITUNG (JZ) 656 (1999);",,
"2-s2.0-84922906184","2-s2.0-84892336854",2005,67,2003,"Überseering: ""die wahre Liberalität ist Anerkennung""",Juristenzeitung (JZ),"{""Ebke, W.""}",,,"927",,,"932","Werner Ebke, Überseering: ""Die wahre Liberalität ist Anerkennung"", JURISTENZEITUNG (JZ) 927, 932 (2003);",,
"2-s2.0-84922906184","2-s2.0-85175861658",2005,84,2003,"Anmerkungen zu ""überseering""",Juristenzeitung (JZ),"{""Eidenmüller, H.""}",,,"526",,,"529","Horst Eidenmüller, Anmerkungen zu ""Überseering"", JURISTENZEITUNG (JZ) 526, 529 (2003);",,
"2-s2.0-84909160815","2-s2.0-85175808095",2005,6,,,,,,,,,,"BGH, Juristenzeitung 2002, 506, 507 commented by Johannes Hager.","BGH, Juristenzeitung 2002, 506, 507 commented by Johannes Hager;",,
"2-s2.0-84881781877","2-s2.0-84881723325",2012,4,,,,,,,,,,,"KM Meessen, 'Prinzip Wettbewerb' (2009) 64 Juristenzeitung 701.",,
"2-s2.0-84922309786","2-s2.0-84922321508",2010,48,1975,Privatrecht,Juristenzeitung,,"15",,,,,,"'Privatrecht', 1975 Juristenzeitung 15",,
"2-s2.0-84918917958","2-s2.0-84918861205",2014,14,1995,Zum 50. Jahrgang der Juristenzeitung.,JuristenZeitung,"{""Bader, K.S.""}","50","1","1",,,,"Bader, Karl Siegfried. ""Zum 50. Jahrgang der Juristenzeitung."" JuristenZeitung 50, no. 1 (1995): 1.",,
"2-s2.0-84941424952","2-s2.0-51849168994",2012,277,,,Juristenzeitung,"{""Lange, H.""}",,,,,,,"-. ""Das Rechtsgutachten im Wandel der Geschichte"", in: Juristenzeitung 1969, S. 157-163.",,
"2-s2.0-84929911037","2-s2.0-7244249044",2006,307,1975,Die offene gesellschaft der verfassungsinterpreten,Juristenzeitung,"{""Häberle, P.""}",,,"297",,,,"P. Häberle, ‘Die offene Gesellschaft der Verfassungsinterpreten’, Juristenzeitung 1975, p. 297.",,
"2-s2.0-84918850336","2-s2.0-51849168994",2014,10,,,Juristenzeitung,"{""Stolleis, M.""}",,,,,,,"Michael Stolleis, Juristenzeitung 1984, S. 1096-1097.",,
