"citing_keyword","item_cnt"
"{""Bilateral Investment Treaties"",""Bilateral investment treaty"",""Bit (key)"",""Investment (military)"",""Investment Treaty Arbitration""}",1
"{""Bilateral Investment Treaties"",""Bilateral investment treaty"",""Capital (architecture)"",""Foreign Direct Investment"",""Investment (military)"",""Investment protection"",Limiting,""Political risk""}",1
"{""Bilateral Investment Treaties"",""Bilateral investment treaty"",""Foreign Direct Investment"",""Investment (military)"",""Investment Treaty Arbitration""}",1
"{""Bilateral Investment Treaties"",Certainty,""Investment (military)"",""Investment Treaty Arbitration"",""Legal certainty"",Limiting,""Scope (computer science)""}",1
"{""Bilateral Investment Treaties"",Expropriation,""Foreign Direct Investment"",""Investment (military)"",""Investment Treaty Arbitration""}",1
"{""Bilateral Investment Treaties"",""Foreign Direct Investment"",""Foreign portfolio investment"",""Investment (military)"",""Investment Treaty Arbitration""}",1
"{""Bilateral Investment Treaties"",""Foreign Direct Investment"",""Investment Treaty Arbitration"",""Investor-State Disputes"",Legitimation}",1
"{""Bilateral Investment Treaties"",""International Economic Law"",""International Law"",""International Trade Law"",""Investment (military)"",""Investment Treaty Arbitration"",""Settlement (finance)""}",1
"{""Bilateral Investment Treaties"",""International Economic Law"",""International Law"",""Investment (military)"",""Investment Treaty Arbitration"",""Investor-State Disputes""}",1
"{Bilateralism,""International Law"",""Transnational Legal Pluralism""}",1
{Bildung},1
"{Bildung,""Digital Learning"",E-Learning,Learning}",1
{Bildungsbeteiligung},1
"{Bildungsbeteiligung,Bildungsentscheidungen,Bildungsungleichheit,Governance,""Soziale Praktiken""}",1
"{Bildungsbeteiligung,Bildungsentscheidungen,""Direct Democracy"",Governance,Participation}",1
"{Bildungsbeteiligung,Digitalization,""Direct Democracy"",Governance,Participation}",1
"{Bildungsbeteiligung,""Family Caregiving"",""Intergenerational Justice""}",1
"{Bildungsbeteiligung,""Gender mainstreaming"",""Qualitative Inhaltsanalyse"",""Soziale Herkunft""}",1
"{Bildungsbeteiligung,""Legal Methodology"",""Soziale Praktiken""}",1
"{Bildungsentscheidungen,Education}",1
"{Bildungsentscheidungen,ExpertInneninterviews,""Qualitative Inhaltsanalyse"",""Soziale Praktiken""}",1
"{""Bill of rights"",""Civil liberties"",Federalism,""Liberal democracy""}",1
"{""Biodiversity Offsets"",Umwelt}",1
"{""Biological sciences"",Frontier,""Natural science"",""Research Evaluation""}",1
"{""Biological sex"",Disposition,""Rape Myths""}",1
"{""Biological warfare"",""Counter-Piracy Operations""}",1
"{Bioprospecting,Biosafety,Protectionism}",1
"{Biosafety,""Environmental Risk Assessment"",""Pesticide Risk Assessment"",""Toxicological Assessment""}",1
"{""Black market"",""Evasion (ethics)"",""Informal Economy"",""Tax evasion""}",1
"{""Black Studies"",""Cultural studies"",Feminism}",1
"{Blame,""Corporate crime"",""Corporate Environmentalism""}",1
"{Blessing,Endogeneity,""Gender and Migration"",""Instrumental variable""}",1
"{Blockchain,CLARITY,""Consumption (sociology)""}",1
"{Blockchain,Decentralization,Scalability,""Tracking (education)""}",1
"{Blueprint,""European Legal Systems"",""Member state"",""Preliminary ruling"",""Scope (computer science)""}",1
"{Blueprint,""International Law"",Realm,Sophistication,""Transnational Legal Pluralism""}",1
"{Blueprint,""OECD Guidelines"",Pillar}",1
"{""Border Security"",Brexit,Securitization}",1
"{""Bounded rationality"",""Cognitive Reflection"",""Conjoint Analysis"",Decision-making,""Discrete Choice Models"",Heuristic,Heuristics}",1
"{""Bounded rationality"",""Cognitive Reflection"",Decision-making,""Decision Support"",ENCODE,""Healthcare Decision Making"",Heuristics,""Multi-Criteria Analysis""}",1
"{""Bounded rationality"",""Cognitive Reflection"",Decision-making,""Economic Experiments"",""George (robot)"",Incentives,""Social Preferences""}",1
"{""Breach of contract"",Contracts,""Plea Bargaining"",""Private information retrieval"",Realm,Receipt,""Settlement (finance)""}",1
"{Brexit,""English law"",""Exclusive jurisdiction"",""Jurisdiction Agreements"",""Member state"",Referendum,""Subject-matter jurisdiction""}",1
"{Brexit,""European Integration"",Mandate,Scrutiny}",1
"{Brexit,""European Legal Systems""}",1
"{Brexit,Fallacy,""Safety net"",""WTO Dispute Settlement""}",1
"{Bribery,Corruption,""Language change""}",1
"{Bribery,""Economic Experiments"",Externality,""Language change"",""Public goods game"",Reciprocity,""Strong reciprocity""}",1
"{Brill,Sociology,""Transformative learning""}",1
"{""Broad spectrum"",""Deep Learning for EEG"",""EEG Analysis"",""Epilepsy Detection"",Etiology,Warrant}",1
"{""Bt cotton"",""Genetically modified maize"",Pieridae,""Pieris brassicae"",""Pieris rapae"",""Pollen-Mediated Gene Flow"",""Pollen Nutrition""}",1
"{Buchnera,""Evolutionary developmental biology"",""Model organism"",""Physiological Adaptations""}",1
"{""Build to order"",Decision-making,""Experimental Design"",""Mass customization"",""Presentation (obstetrics)""}",1
"{""Bullet voting"",""Electoral Systems"",""Party Polarization"",""Ranked voting system"",""Voter Behavior"",""Voting Procedures""}",1
"{""Burden of Proof""}",1
"{Bureaucracy,Emperor,Rome}",1
"{Bureaucracy,""Foreign policy analysis"",""Leverage (statistics)"",""Political Communication"",""Public diplomacy""}",1
"{Bureaucracy,""Social Policy""}",1
"{""Business Cycle Synchronization"",""Common currency"",""Currency union"",Endogeneity,""Exchange Rate Regimes"",""Exchange Rates"",""Optimum currency area""}",1
"{""Business Cycle Synchronization"",""Currency union"",""Exchange Rate Regimes"",""Optimum currency area""}",1
"{""Business Ethics"",""Corporate Criminal Liability"",""Digital Responsibility"",""Stakeholder Engagement"",Sustainability}",1
"{""Business judgment rule"",""Judicial independence"",""Legal Strategy"",Precedent}",1
"{""Business School Accreditation"",""Educational Technology"",""Experiential Learning"",""Learning Outcomes"",""Teaching Methods""}",1
"{""Business School Accreditation"",""Institutional Theory"",""Organizational Change""}",1
"{""Cabinet (room)"",""European commission"",""European Integration""}",1
"{""Cabinet (room)"",Privacy}",1
"{Calvinism,""Political Polarization""}",1
"{""Campaign Contributions""}",1
"{""Campaign finance"",Cartel,""Collective action"",Elite,""Party Polarization"",""Political Economy""}",1
"{Canon,""Canon law"",Download,""Medieval Literature""}",1
"{Canon,""Canon law"",Medieval}",1
"{""Canon law"",Eleventh,Reformation,""Reform movement""}",1
"{""Canon Law"",""Legal Analysis""}",1
"{""Capability Approach""}",1
"{""Capital Allocation"",""Catastrophe Bonds"",Insurance}",1
"{""Capital (architecture)"",""Capital Flows""}",1
"{""Capital (architecture)"",""Capital investment"",""EU Integration"",""European Integration"",""European Legal Systems"",""Foreign capital"",""Free movement"",""Investment (military)"",""Scope (computer science)""}",1
"{""Capital (architecture)"",Constitutionalism,Fordism,""Global Capitalism"",""Global governance""}",1
"{""Capital (architecture)"",""Industrial Revolution"",""Worker Participation""}",1
"{""Capital (architecture)"",""International Taxation"",""Investment (military)"",Taxation,""Tax Competition""}",1
"{""Capital (architecture)"",Microfinance,""Peer-to-Peer Lending"",""Rest (music)"",""Social Capital""}",1
"{""Capital (architecture)"",""Neoliberalism (international relations)"",Neo-liberalism}",1
{Capitalism},1
"{Capitalism,""Deliberative Democracy"",""Global Capitalism"",Imperialism,""Political Power""}",1
"{""Capital Market Regulation"",""Domestic market"",""European Private Law"",""Financial Regulation"",""Freedom of Establishment"",Mandate}",1
"{""Capital Punishment"",""Constitutional court"",""Psychological Torture""}",1
"{""Capital Punishment"",""Criminal jurisdiction"",""International Criminal Law"",""International Humanitarian Law"",""International Law"",""War Crimes""}",1
"{""Capital Punishment"",""Human Rights"",Interrogation,""Psychological Torture"",Torture}",1
"{""Capital Punishment"",""International Criminal Law"",""International Humanitarian Law"",""International Law"",""Transnational Legal Pluralism""}",1
"{""Capital Structure"",""Corporate Governance""}",1
"{""Carbon fibers"",""Carbon price"",""Carbon Pricing"",""Environmental Taxation""}",1
"{""Carbon Pricing"",""Energy Transitions"",""Environmental Policy"",""Greenhouse Gas Emissions"",""Policy Instruments""}",1
"{""Carbon Pricing"",Stern}",1
"{Cartel,Cooperation,""Social dilemma""}",1
"{Cartel,""Party Polarization""}",1
"{Casebook,""Constitutional Courts"",""European Law"",""Legal Methodology""}",1
"{""Case Study Methods""}",1
"{Casual,""Confession (law)"",Hacker,""Insider Threats""}",1
"{Catalysis,Cross-Metathesis,""Lewis acid catalysis"",""Olefin Metathesis"",""Ring-Closing Metathesis"",""Ring-opening metathesis polymerisation"",""Ruthenium Catalysts"",""Salt metathesis reaction""}",1
"{""Causality (physics)"",""Constructivism (international relations)"",""Explanatory power"",Metatheory,Norms,""Social constructivism""}",1
"{Causation,Homicide,""Neighborhood Effects""}",1
"{Causation,""Legal History"",Pleading,""Res ipsa loquitur""}",1
"{Causation,Responsibility,""State Responsibility""}",1
"{""Center of excellence"",Cyberwarfare,Excellence,Globe,""Security Awareness""}",1
"{""Central Bank Balance Sheets"",""ECB's Rescue Facility"",""European Stability Mechanism"",""Fiscal Policy"",""Monetary Policy Instruments""}",1
"{""Central European History""}",1
"{Ceremony,Deixis,""Exposition (narrative)"",""Indirect speech"",""language and law"",""Legal Interpretation"",""Legal Semiotics"",""Performative utterance"",""Speech act""}",1
"{Certainty,""Court decision"",""Freedom of Establishment"",""Legal certainty""}",1
"{Certainty,""International Law"",""Legal certainty""}",1
"{Certainty,""International Law"",""State responsibility""}",1
"{""Characterization (materials science)"",""Extreme Events""}",1
"{""Chevron (anatomy)"",""Legal Ethics"",""Statutory interpretation""}",1
"{""Child pornography"",Pornography,Sexting}",1
"{""Children's Participation"",""Child Rights"",""Research with Children"",""Responsibility to Protect"",""Rights-Based Approach""}",1
"{""China-Africa Relations""}",1
"{""China-Africa Relations"",""Position (finance)"",""Regionalism (politics)""}",1
"{""Choice architecture"",""Coercion (linguistics)"",Decision-making,""Framing (construction)"",""Nudge theory"",Nudging,Paternalism}",1
"{""Choice of law"",Contracts,""Opting out"",""Plea Bargaining"",""Public choice"",Regulations}",1
"{""Choice of law"",""European Legal Systems"",Honor}",1
"{""Choice of law"",""Exclusive jurisdiction"",""Internet Regulation"",Prerogative,""Ultra vires""}",1
"{""Choice of law"",""Legal History""}",1
"{""Choice of Law""}",1
"{""Choice of Law"",""Code (set theory)"",""Jurisdiction Agreements"",""Legal Education"",""Legal Methodology""}",1
"{""Choice of Law"",""Comparative Law"",""Cross-Border Litigation"",""Legal Harmonization"",""Legal Methodology""}",1
"{""Choice of Law"",""Comparative Law"",""Legal Education"",""Legal Harmonization"",""Legal Methodology""}",1
"{""Choice of Law"",""Comparative Law"",""Legal Education"",""Legal Methodology"",Watson}",1
"{""Choice of Law"",""Conflict of Laws"",""Cross-Border Litigation"",""Jurisdiction Agreements"",""Legal Harmonization""}",1
"{""Choice of Law"",""Conflict of Laws"",""Cross-Border Litigation"",""Legal Harmonization""}",1
"{""Choice of Law"",""Conflict of Laws"",""Federal common law""}",1
"{""Choice of Law"",""Conflict of Laws"",""Legal Harmonization"",""Private International Law"",""Succession Regulation""}",1
"{""Choice of Law"",""Contract Law"",""European Company Law"",""Legal Harmonization"",""Succession Regulation""}",1
"{""Choice of Law"",""Contract Law"",""Jurisdiction Agreements"",""Legal Harmonization""}",1
"{""Choice of Law"",""Corrective Justice"",""Jurisdiction Agreements""}",1
"{""Choice of Law"",""Cross-Border Litigation"",""European Private Law"",""International Law"",""Private International Law""}",1
"{""Choice of Law"",""Cross-Border Litigation"",""European Private Law"",""Legal Harmonization"",""Private International Law"",Schism}",1
"{""Choice of Law"",""Cross-Border Litigation"",""Norm Conflicts"",""Transnational Legal Pluralism""}",1
"{""Choice of Law"",""Estate Planning"",Inheritance,""Legal Harmonization"",""Succession Regulation""}",1
"{""Choice of Law"",""Fair and Equitable Treatment"",""Legal Harmonization""}",1
"{""Choice of Law"",""Family Law""}",1
"{""Choice of Law"",""Free movement"",""Numerus clausus"",""Tangible property""}",1
"{""Choice of Law"",""Letters of Credit""}",1
"{Chose,Pediatrics}",1
"{""Church Buildings""}",1
"{""Church History""}",1
"{""Church History"",Discipline,Probate}",1
"{""Church History"",""Middle Ages""}",1
"{""Church-State Relations""}",1
"{""Citizen Perceptions"",Governmentality}",1
{Citizenship},1
"{Citizenship,""Democratic deficit"",Democratization,""European Integration"",Europeanization,""European studies"",Multiculturalism,Telos}",1
"{""Civic Engagement"",""Community Empowerment"",""Destiny (ISS module)"",nobody}",1
"{""Civic Engagement"",""Deliberative Democracy"",Digitalization,Participation,""Political Participation""}",1
"{""Civic Engagement"",""Digital Divide"",""Internet Access"",""Networked Individualism"",""Political Participation""}",1
"{""Civil code"",""Code (set theory)"",""European Private Law""}",1
"{""Civil code"",""Code (set theory)"",""Legal Methodology""}",1
"{""Civil code"",""Contract Law"",""Presentation (obstetrics)"",""Section (typography)""}",1
"{""Civil Conflict"",""Development Policies"",""Trap (plumbing)""}",1
"{""Civil disorder"",""Civil-Military Relations"",""Crime prevention"",""Fear of crime"",""Peacekeeping Operations"",""Private Security Companies"",""Private security"",""Privatized Military Industry"",""Public-Private Partnerships"",""Public security""}",1
"{""Civil Economy"",""Legal History""}",1
"{""Civil Justice Problems"",""Clinical Legal Education"",""Comparative Law"",""Legal Education"",""Legal Methodology""}",1
"{""Civil liberties"",Dictatorship,Diplomacy,Greeks}",1
"{""Civil liberties"",""language and law"",""Rule of law""}",1
