"citing_keyword","item_cnt"
"{""Criminal investigation"",""Criminal procedure"",""Economic crime"",""Money laundering"",""Terrorism Legislation""}",1
"{Greeks,""Legal history"",""Legal Systems"",""Roman Empire""}",1
"{Fides,""Letters of Credit"",Prestige}",1
"{""Reproductive Medicine""}",10
"{""Property Rights""}",6
"{""Crimes against humanity"",Idealization}",1
"{""Collaborative Federalism""}",13
"{""Carl Schmitt""}",7
"{Humanitarianism,""Rule of law"",""State of exception""}",1
"{""Nazi Propaganda"",Reign,Vision}",1
{Demography},7
"{""Seclusion and Restraint""}",11
"{Ceremony,Cicero,Dominion,Georgian,Rituals,""Roman Empire"",""The Republic""}",1
{Psychoanalysis},13
"{""Political Theology""}",13
"{""Ancient Rome"",Emperor,Fides,Formality,""Legal culture"",""Roman Economy"",""Roman Empire""}",1
"{""Constitutional Review""}",7
"{""Argument (complex analysis)"",""Christian-Muslim Relations"",""Early Islamic Transition"",Frontier,""Muslim Readings of Gospels""}",1
"{""Ancient Rome"",Elite,Multitude,Rome}",1
"{Ceremony,Cult,""Human life"",""Human sacrifice"",Misfortune,Omnipotence,Patronage,Realm,Sacrifice}",1
"{Armenian,""Christian-Muslim Relations"",CONQUEST,Peninsula}",1
{Sovereignty},8
"{""Byzantine-early Islamic Period"",""Byzantine studies"",Glory,Iconoclasm}",1
"{""Insolvency Proceedings""}",11
"{""Capital (architecture)"",History,Messiah}",1
"{Bibliography,""Content (measure theory)""}",6
"{""Healthcare Evaluation""}",2
"{Judgement,""Late Antiquity"",Monasticism}",1
"{""Christian-Muslim Relations"",""Early Islamic Transition"",Eleventh,Islamization,""Late Antiquity"",Mesopotamia}",1
"{""Cross-Border Litigation""}",14
"{""Data Privacy""}",9
"{Corporation,Digitalization,Digitization,""Legislative process""}",1
"{""Dividend Policy""}",7
"{Apostasy,""Church History"",Covenant,Passion}",1
"{Bishops,Christianization,Frontier,Liturgy,Paganism,""Religious Identity"",""Roman Empire"",Toleration}",1
"{Contemplation,Divinity,Philosophy,Reinterpretation,Vision}",1
"{""Church History"",""Inscribed figure"",Liturgy,Nothing,Parade,Prayer}",1
"{Baptism,""Original sin"",Paradise,Religion}",1
"{""Foundation (evidence)"",""Legal History""}",1
"{Democracy,""Human Rights""}",8
"{Eleventh,""English Reformation"",Heresy,History,""Pastoral theology"",Piety}",1
"{""Byzantine studies"",""Church History"",Eleventh,Emperor,""Roman Empire"",Schism}",1
"{""Political Polarization""}",9
"{""Church-State Relations""}",14
"{""European Legal Systems"",""Fundamental Rights"",""Scope (computer science)"",""Treaty of Lisbon""}",1
"{""Christian Identity"",Institution,""Medieval Christianity""}",1
"{Altar,""Church History"",Dignity,Elite,Liturgy,Summons}",1
"{""Medieval Christianity"",Plural}",1
"{""Medical Evaluation""}",16
"{""Family Structures""}",5
"{Democracy,Diplomacy,""EU Integration"",""Human Rights"",Sovereignty}",8
"{""Christian-Jewish Relations"",""Christian-Muslim Relations"",""Church Fathers"",""Code (set theory)"",""Judaism and Christianity""}",1
"{""Celtic languages"",History,Homeland}",1
"{Afterlife,Baptism,""Early Christianity"",Eucharist,Rite,Soul}",1
"{""Cross-disciplinary Studies""}",4
"{""Access and Benefit Sharing"",""Content (measure theory)""}",2
"{Emperor,Fell,Honor,Legend,""Medieval Christianity"",Ninth}",1
"{Byzantium,""Capital (architecture)"",Pride,""Roman Empire""}",1
"{Antique,Asceticism,Historiography,History}",1
{Development},5
"{""Civil code"",""Legal Methodology"",""Weimar Republic""}",1
"{Bishops,""Church History"",Sermon,Synod}",1
"{""The Republic""}",2
"{Eternity,Incense,Liturgy,Rituals}",1
"{""Polish history""}",14
"{""Patient Autonomy""}",11
"{""Separation of church and state""}",11
"{""Public Policy"",""Sustainable Development"",""Territorial Governance""}",14
"{""State Sovereignty""}",12
"{Bishops,""Canon law"",History}",1
"{Certificate,""Content (measure theory)""}",2
"{""Drug Development"",""Medical Ethics"",""Medication Adherence"",""Patient Autonomy"",""Physician Liability""}",1
"{""Content (measure theory)"",""Early Christian Apologetics"",Emperor,""Late Antiquity"",""Value (mathematics)""}",1
"{""EU legislation""}",2
"{""Environmental Participation""}",3
"{""Accrual Accounting""}",13
"{Accession,""Black sea"",""Desert (philosophy)"",Frontier,Mesopotamia}",1
"{""Cross-border Insolvency"",Derecho}",1
"{Download,""Legal History""}",11
"{Cicero,""Roman Economy"",Sophistication}",1
"{""Environmental Law""}",14
{Dictatorship},1
"{Altar,Rituals,Sacrifice}",1
{Nationalism},5
"{""Affect and Emotion in Law""}",5
"{""Content (measure theory)"",""Unjust Enrichment""}",2
"{""Legal History"",Unification}",2
{Immigration},9
"{Confiscation,Governor,""Successor cardinal""}",1
"{""Private International Law""}",11
"{Annals,Causation,""Economic History"",Principate,""Roman Empire""}",1
"{Periodization,Presupposition,""Roman Economy""}",1
{Inflammation},12
"{Accession,Legitimation,""Roman Economy""}",1
"{Emperor,Legend,""Medieval Christianity"",Paganism}",2
"{""Ancient Rome"",""Classical Antiquity"",""Greek Literature"",""Late Antiquity""}",1
"{""Competition law"",""Patent Analysis""}",2
"{""Cultural Analysis""}",9
"{Cicero,""Statement (logic)""}",1
"{""Soziale Praktiken""}",14
"{""Transitional Justice""}",12
"{""Classical period"",""Legal history"",""Legal Systems"",""Quarter (Canadian coin)"",""The Republic""}",1
"{""Constitutional court"",""European Stability Mechanism"",Mandate,""Ultra vires""}",1
"{""Transnational Corporations""}",5
"{Accession,""Guard (computer science)""}",1
"{Frontier,Legitimation,""Roman Empire""}",1
"{""Harmony (color)"",""Political Conflict"",Prosperity,""The Republic""}",1
"{Cicero,""Plot (graphics)"",Procession}",1
"{""Corporate Tax""}",11
"{Generality,""Legal Methodology"",Mandate}",1
"{""Roman Economy"",""Roman Empire"",""The Republic""}",1
{Rituals},15
"{""Bridge (graph theory)"",Emperor,Reign,Siege,Sister}",1
{Historiography},14
"{""Ancient Judaism"",Kingdom}",1
"{""Social Sciences""}",13
"{Bureaucracy,""Economic History"",Epithet,Reign}",1
{Aristotle},8
"{Constitutionalism,""Democratic legitimacy"",""Formalism (music)"",""Pluralism (philosophy)""}",1
"{Apostle,""Early Christianity"",Epitaph,Heresy,""Medieval Christianity"",Torah}",1
{Persona},2
"{""Social Structure""}",11
"{""Legal Frameworks""}",9
"{""Byzantine Philosophy"",""Content (measure theory)""}",8
"{""Legal History"",Multitude,Unification,Wonder}",1
"{Emperor,""History of Christianity"",""Medieval Christianity"",""Roman Empire""}",1
"{Emperor,Governor,Peninsula}",1
"{""Judicial Activism""}",4
"{""Family Law""}",11
"{""Post-Growth Economy""}",12
"{Copyright,""Copyright Law"",""Digital Piracy"",""Digital Rights"",""Trademark Law""}",1
"{Hermeticism,Liturgy}",1
"{""Content (measure theory)"",""Property Rights""}",3
"{""Capital Structure""}",10
"{""Comparative Law""}",8
"{""Contractual Law""}",11
"{""Jurisdiction Agreements""}",6
"{Armenian,Emperor,Kingdom,Reign,Ruler,Throne}",1
{Institutionalization},9
"{""Civil code"",""Code (set theory)"",""Legal History"",Mistake,Passion,""TRACE (psycholinguistics)""}",1
"{""Civil code"",""Code (set theory)"",Exegesis,""Legal History"",Perfection,Revelation,Torah,Veneration}",1
"{""Ownership Structure""}",9
"{Dignity,Dominion,Judgement,""Medieval history""}",1
"{""Legal Theory""}",8
{Securitization},3
"{Cult,Emperor,""Everyday life"",Fresco,Rituals}",1
"{Cult,""Germanic languages"",""Late Antiquity"",""Settlement (finance)""}",1
"{Epigraphy,Prosperity,""Roman Empire""}",1
"{""Company Governance"",""Corporate group"",""Position (finance)""}",2
"{""Desert (philosophy)"",""Early Islamic Transition""}",1
"{""Archaeological Finds"",Frontier,Presumption,""Sequence (biology)"",""Symbol (formal)"",""Table (database)""}",1
"{Cult,Prosperity,""Roman Religion""}",1
"{""Inborn Errors of Metabolism""}",11
"{""Architectural style"",Emperor,Portrait,""Quarter (Canadian coin)""}",1
"{""End-of-Life Decisions""}",8
"{Democracy,""EU Integration"",""Human Rights""}",7
"{""Privacy Rights""}",4
"{""Help-Seeking Behaviors""}",3
"{""Medieval Economic Thought"",Nothing}",1
"{Impossibility,Incoterms,Lease}",1
"{""Medieval Economic Thought"",""Roman Economy""}",1
"{""Greek Literature""}",13
"{""Intergenerational Justice""}",11
{Bildung},8
"{""Legal History"",""Social justice""}",2
{Evaluation},10
"{""Epistemic Practices""}",7
"{""Physician Behavior""}",8
"{""Religious Power""}",9
"{""Environmental Sustainability""}",10
"{""Psychosocial Aspects""}",8
{Metabolism},6
"{""Conflict of Laws""}",3
"{Champion,Divination,Resentment,""Roman Economy"",""Value (mathematics)""}",1
"{""Off-Label Drug Use""}",4
{Blockchain},9
"{""Artificial Intelligences"",""Legal Implications"",""Regulatory Challenges""}",1
"{""Company Governance"",""Limited liability""}",1
"{""Legal Semiotics""}",8
"{""European Legal Systems"",""European Private Law""}",3
{CONQUEST},3
"{""Security Measures""}",6
{Certainty},1
{Ethics},11
"{Ingenuity,""Minor (academic)""}",1
"{""Affect (linguistics)"",""Economic power"",""Investment (military)"",""Medieval Economic Thought"",Piety}",1
{Divination},2
"{""Unjust Enrichment""}",3
{Legitimation},7
"{Governance,Leadership,Participation}",2
"{Barbarian,Christianization,""Church History"",Frontier,""Germanic languages"",Phraseology,""Roman Empire""}",1
"{""Economic rent"",Multitude,""Settlement (finance)"",Settlements}",1
"{""Economic rent"",""Medieval Christianity"",Multitude,""Roman Empire"",""Settlement (finance)""}",1
"{Eternity,Incense,Liturgy,Religion}",1
"{Corporation,""European Company Law"",""Insider trading""}",1
{Harmonization},7
{Elite},5
"{""Investor Protection""}",3
"{Download,""Revolutionary Historiography""}",9
"{""Legal Technology""}",7
"{""Copyright Law""}",6
"{""Civil Liability"",""Intellectual Property"",Liability,Litigation,""Transaction Cost Theory""}",1
"{""Party Competition""}",1
"{""Archaeology of Agriculture"",Peninsula}",1
"{""Agricultural revolution"",Italy}",1
"{""Early Christianity""}",5
"{Frontier,""Human settlement"",Plough,Slash-and-burn}",1
"{""Interdisciplinary Research""}",10
"{Comedy,""Trade Contracts""}",1
"{""European Legal Systems"",""Scope (computer science)""}",3
"{""Content (measure theory)"",Manuscripts}",5
"{""Aristocracy (class)"",Eleventh,""Human settlement"",Nobility,Scandinavia,""Settlement (finance)""}",1
{rationalization},12
"{""Corporate Law Arbitrage"",""Due diligence"",""Identification (biology)""}",1
"{""Data Privacy"",""Data Protection"",""Privacy Concerns""}",3
{Telemedicine},9
"{""Documentary Credits""}",3
{Romanization},12
"{Participation,Polity}",2
"{""International Criminal Law"",""International Law""}",5
"{""Innovation Policy""}",7
"{Landlord,""Rural settlement"",Scarcity,""Settlement (finance)""}",1
"{""Corporate Governance""}",6
"{""Global Governance""}",10
{Rome},7
"{""Content (measure theory)"",Remedies}",3
"{""Medieval Theology""}",8
"{""Constitutional court"",""Constitutional economics"",Constitutionalism,""Constitutional review"",""Global Environmental Constitutionalism""}",1
"{""Guard (computer science)""}",2
{Banking},9
"{""Constitutional court"",Constitutionalism,Dignity}",1
"{""Legal Analysis""}",7
"{""Monetary Policy Instruments""}",9
"{""Global Environmental Constitutionalism""}",5
"{""Human Rights"",Sovereignty}",6
"{""Raising (metalworking)""}",1
"{""Association (psychology)"",""Corporate Mobility"",""Corporate Taxation"",""Corporate Tax"",""Cross-Border Taxation"",""Tax treaty""}",1
"{""Health Care Utilization""}",11
"{""Darwinism in Economics""}",6
{Construction},11
{Consumerism},9
"{Prestige,""Roman Empire""}",1
"{CONQUEST,Historiography,History}",1
{Decision-making},8
"{Democracy,Dignity,""Pluralism (philosophy)""}",1
"{""Male Circumcision""}",7
{Antisemitism},3
"{""Political Ideologies"",""Social Movements""}",2
"{""Political Conflict""}",5
"{""Forensic Toxicology"",""Toxicity Assessment""}",1
"{""Land Tenure""}",3
"{""Social Change"",""Social justice""}",1
"{Dignity,""Dignity Therapy""}",5
"{Antique,Bureaucracy,Emperor,""Roman Empire""}",1
{Diplomacy},10
"{""Constitutional court"",""Legal Cultures""}",2
{Memory},5
"{""Basic law"",""Constitutional court"",""Constitutional review"",""Legal Consciousness"",""Ultra vires""}",1
"{""Content (measure theory)"",""European Legal Systems""}",6
"{""Reentry Challenges""}",4
"{""Social Theory""}",9
{Sexuality},8
"{""Aid and Development""}",2
"{""Constitutional Interpretation""}",11
"{""Population Studies""}",9
"{Chivalry,Fifteenth,""Medieval Urban Society"",Nobility}",1
"{""Basic law"",Dignity,Preamble}",2
"{""Empirical legal studies"",""Legal Methodology""}",2
"{""European Nationalism""}",5
"{""Constitutional monarchy"",Duchy}",1
"{Litigation,""Position (finance)"",""Representation (politics)""}",1
"{Democracy,Treasury}",1
"{Offensive,Peninsula}",1
"{Bibliography,""Content (measure theory)"",Manuscripts}",8
"{CONQUEST,Eleventh,""Islamic History"",Peninsula,Prosperity,Ruler}",1
"{""European Legal Systems"",""Federal court""}",1
"{Eleventh,Elite,""Medieval history"",Ninth}",1
"{Accession,Allegiance,Danish,Eleventh,History,Kingdom,Reign,Throne}",1
"{Emperor,Governor,Reign,""Roman Economy""}",1
"{Enforcement,Harmonization,""Judicial Efficiency"",Litigation}",1
"{""Psychological Formulation""}",9
"{""Dominance (genetics)"",Feudalism}",1
"{Chronology,""Historical Texts""}",1
"{Historiography,History,Kingdom,Sculpture}",1
"{""Factory (object-oriented programming)"",Globalization}",1
"{Democracy,""Democratic legitimacy"",Lawmaking}",1
"{""French Liberalism"",Jacobin,""Saint petersburg""}",1
"{""Violent Recidivism""}",6
"{""Capital (architecture)"",Glory,Honour,Reign,""Roman Empire""}",1
"{""Data Privacy Laws""}",1
"{""Economic History"",Emperor,Principate,""Roman Empire""}",2
"{""Ancient Judaism""}",9
"{""Artificial Intelligences"",""Rule of law""}",1
"{""Audit Committee""}",2
"{""Epidemiological Study""}",10
"{""European Legal Systems"",""Social justice""}",1
"{""Patent Analysis""}",8
{Flemish},1
"{""Criminal investigation"",""Criminal procedure"",""Terrorism Legislation""}",1
"{""Constitutional court"",""Legal Consciousness""}",3
"{""Psychiatric Admission""}",2
"{Byzantium,""Civil servant"",Emperor,Ninth,Surrender}",1
"{""Interreligious Relations""}",9
"{""Privacy Regulations""}",7
"{""Company Governance"",""Listing (finance)""}",1
"{CONQUEST,Garcia,Hispania,Kingdom,Ninth,Peninsula}",1
"{""Corporate Criminal Liability"",""Criminal Law"",""Physician Liability""}",1
"{Archbishop,""Church History"",Eleventh,Ninth}",1
"{""Content (measure theory)"",""Documentary Credits""}",2
"{""Ideology Critique""}",4
"{Compromise,""Constitutional court"",""Constitutional Law"",""Constitutional review"",Lawmaking,Obligation}",1
"{""Phylogenetic Analysis""}",10
"{""Early modern period"",Historiography,History,Reign}",1
"{""Privacy Concerns""}",9
{Frontier},2
{Neutrality},1
"{""Constitutional court"",""judicial legitimacy"",""Rule of law""}",1
"{""Separation of Powers""}",3
"{Certainty,Emperor,Reign,""Roman Economy"",""Scope (computer science)""}",1
"{""Pornography Consumption""}",6
"{""Christian ministry"",Emperor,Judgement,Monarchy}",1
"{""Socioeconomic Status""}",5
"{Duchy,Eleventh,History,Ninth}",1
"{""Empirical legal studies"",""Legal Education"",""Legal Methodology"",""Legal science""}",1
"{""Byzantine Philosophy""}",7
