"number","title","pageid","namespace","length","touched","Wikidata"
"123","Zeitschrift_für_Europäisches_Umwelt-_und_Planungsrecht","3967957","","1814","20201119120738","Q186659"
"124","Zeitschrift_für_Wohnungseigentumsrecht","3968093","","1700","20200113204120","Q186768"
"125","Zeitschrift_für_Stoffrecht","3968302","","1748","20240418081316","Q186745"
"126","Recht_&_Psychiatrie","4005584","","1542","20240924170137","Q2135324"
"127","Goettingen_Journal_of_International_Law","4227290","","2789","20210220180121","Q1534255"
"128","Zeitschrift_für_Geistiges_Eigentum","4355869","","2511","20240617165737","Q186667"
"129","Bonner_Rechtsjournal","4436991","","3747","20240928124858","Q892754"
"130","Neue_Zeitschrift_für_Arbeitsrecht","4466044","","3081","20240517123826","Q1717461"
"131","Entscheidungen_des_Bundesfinanzhofs","4470226","","1549","20230311155601","Q1345313"
"132","Die_Polizei","4542711","","3265","20221220120313","Q1215472"
"133","Zeitschrift_für_Wirtschaft_und_Recht_in_Osteuropa","4663204","","1554","20230826090807","Q186762"
"134","Osteuropa-Recht","4690073","","3330","20230113220346","Q2035452"
"135","The_European_Legal_Forum","4690127","","1631","20210308164820","Q2411137"
"136","Zeitschrift_für_Umweltrecht","4702566","","1524","20240730180843","Q186750"
"137","Kunst_und_Recht","4725033","","4805","20230113215306","Q1792336"
"138","Jahrbuch_für_Ostrecht","4774907","","1229","20240428191615","Q1678618"
"139","Medizinrecht_(Zeitschrift)","4814527","","3282","20220620144814","Q1916634"
"140","Afrika_–_Recht_&_Wirtschaft","4861912","","2225","20210219092648","Q385319"
"141","Monatsschrift_für_Kriminologie_und_Strafrechtsreform","4891608","","5400","20230331214932","Q1944088"
"142","German_Yearbook_of_International_Law","4952159","","3257","20180613203606","Q1514065"
"143","Titelschutz-Journal","5038109","","3392","20230313155934","Q1526450"
"144","Zeitschrift_für_Chinesisches_Recht","5049215","","2838","20211202233849","Q186648"
"145","Zeitschrift_für_Konfliktmanagement","5162585","","1759","20180322190041","Q186696"
"146","Zeitschrift_für_das_Juristische_Studium","5164564","","2572","20230503200858","Q186783"
"147","Archiv_des_Völkerrechts","5214212","","3021","20240617165549","Q635588"
"148","Zeitschrift_für_medizinische_Ethik","5399297","","2708","20221105081451","Q186818"
"149","Kirche_&_Recht","5401647","","3301","20230828231440","Q1742480"
"150","Freiburg_Law_Students_Journal","5518764","","7233","20210308092228","Q20180002"
"151","Neue_Zeitschrift_für_Miet-_und_Wohnungsrecht","5552096","","4474","20240806135701","Q1979875"
"152","Neue_Zeitschrift_für_Sozialrecht","5552163","","2800","20230113220116","Q1979877"
"153","Neue_Zeitschrift_für_das_Recht_der_Insolvenz_und_Sanierung","5552225","","1298","20230319081026","Q1386812"
"154","Soziale_Sicherheit._Zeitschrift_für_Arbeit_und_Soziales","5573196","","3013","20230825164934","Q2305379"
"155","Informationen_zum_Arbeitslosenrecht_und_Sozialhilferecht","5587975","","2721","20230113214607","Q1662510"
"156","Neue_Zeitschrift_für_Baurecht_und_Vergaberecht","5660801","","2818","20201120101632","Q1979865"
"157","Zeitschrift_für_Schadensrecht","5667222","","1823","20220922065304","Q186738"
"158","Reiserecht_aktuell","5667258","","2625","20220922065343","Q2141911"
"159","Natur_und_Recht","5672611","","2292","20211124133907","Q1969911"
"160","Zeitschrift_für_das_Fürsorgewesen","5676919","","2495","20240620103626","Q186780"
"161","Wettbewerb_in_Recht_und_Praxis","5720087","","3427","20220321230210","Q1497035"
"162","Zeitschrift_für_Umweltpolitik_&_Umweltrecht","5720236","","3900","20240416172448","Q186749"
"163","Archiv_für_Kriminologie","5720492","","2747","20240324152854","Q635621"
"164","Zeitschrift_für_das_gesamte_Lebensmittelrecht","5721839","","2286","20220331143213","Q186790"
"165","BRAK-Mitteilungen","5736814","","3329","20230113140618","Q796907"
"166","Archiv_für_Medienrecht_und_Medienwissenschaft","5755695","","6559","20210725125248","Q635651"
"167","Deutsches_Recht_(1931–1945)","5881479","","1462","20230415163238","Q1205903"
"168","Recht_der_Finanzinstrumente","5955773","","2786","20220813120000","Q2135366"
"169","Kölner_Schrift_zum_Wirtschaftsrecht","5962515","","2972","20241104160743","Q1324372"
"170","Neue_Zeitschrift_für_Wehrrecht","6068214","","3520","20231029102710","Q1979887"
"171","Zeitschrift_für_die_Praxis_der_Mitarbeitervertretung_in_den_Einrichtungen_der_katholischen_und_evangelischen_Kirche","6134769","","3978","20241022184156","Q186802"
"172","Journal_of_Intellectual_Property,_Information_Technology_and_E-Commerce_Law","6152632","","2365","20230113214746","Q1294004"
"173","Rheinische_Notar-Zeitschrift","6174648","","1061","20240404101224","Q2147770"
"174","Pharma_Recht","6260744","","775","20230113220612","Q1494480"
"175","Wissenschaftsrecht","6334386","","2076","20240617165652","Q1413299"
"176","Sammelblatt_für_Rechtsvorschriften_des_Bundes_und_der_Länder","6413278","","3403","20191213102308","Q2217234"
"177","Corporate_Finance_Law","6422714","","2476","20240828032257","Q1134696"
"178","Zeitschrift_für_Datenschutz","6461219","","2649","20220331135610","Q186650"
"179","Kölner_Gerichts-Zeitung","6491836","","10899","20241119155731","Q1795828"
"180","Deutsche_Juristen-Zeitung","6668430","","3496","20230623192012","Q1203199"
"181","Archiv_für_katholisches_Kirchenrecht","6748974","","3796","20240313150851","Q635666"
"182","Verkehrsdienst_(Fachzeitschrift)","6768316","","2358","20240123123602","Q2516167"
"183","Zeitschrift_für_Bankrecht_und_Bankwirtschaft","6802998","","3083","20241020182152","Q186639"
"184","Hamburger_Rechtsnotizen","6836320","","1894","20241201160725","Q1573099"
"185","Jura_Studium_&_Examen","6882575","","4048","20230113214908","Q29310460"
"186","Contracting_und_Recht","7060453","","2264","20201119120321","Q1129074"
"187","Recht_der_Erneuerbaren_Energien","7060514","","2431","20210110171739","Q1550573"
"188","Streit_–_feministische_Rechtszeitschrift","7071994","","5232","20201218200042","Q2355651"
"189","Anwaltsblatt_Karriere","7151835","","190","20151101235830",""
"190","Rechtsgeschichte_(Zeitschrift)","7220599","","4419","20240901185208","Q1651429"
"191","Zeitschrift_für_Immissionsschutzrecht_und_Emissionshandel","7413892","","2593","20240726075924","Q56232014"
"192","Arbeitsrechtliche_Praxis","7445857","","3518","20240711081040","Q2654254"
"193","Informationsbrief_Ausländerrecht","7552396","","1965","20240128222638","Q15820094"
"194","Arbeit_und_Recht","7647714","","2780","20230113074052","Q15724350"
"195","Zeitschrift_für_Medizin-Ethik-Recht","7718906","","4303","20240919225751","Q15724370"
"196","Der_Verkehrsanwalt","7780247","","2149","20210113114212","Q15724386"
"197","Der_Arbeits-Rechts-Berater","7857368","","1556","20240126092953","Q15805088"
"198","Der_IT-Rechts-Berater","7864169","","2051","20210701154132","Q15724427"
"199","Der_Miet-Rechts-Berater","7874817","","2455","20240515095227","Q15805171"
"200","Kritische_Vierteljahresschrift_für_Gesetzgebung_und_Rechtswissenschaft","7877887","","4089","20240223130145","Q15724452"
"201","Zeitschrift_für_Wirtschaftsstrafrecht_und_Haftung_im_Unternehmen","7879746","","1285","20230404124406","Q15855633"
"202","Der_IP-Rechts-Berater","7879755","","2624","20190722133112","Q15805137"
"203","GesundheitsRecht","7880336","","1623","20241010115107","Q15812178"
"204","Finanz-Rundschau","7887325","","5981","20240920192956","Q15809675"
"205","Das_Jugendamt","7920917","","2951","20230113214817","Q15732979"
"206","Zeitschrift_für_die_notarielle_Beratungs-_und_Beurkundungspraxis","7985183","","2095","20200712190555","Q15855634"
"207","Recht_und_Schaden","8012573","","3814","20230204201934","Q15724620"
"208","Zeitschrift_für_Europarechtliche_Studien","8036063","","4166","20240628133741","Q15616551"
"209","Juristische_Wochenschrift","8038224","","2530","20230925194000","Q15822120"
"210","Zeitschrift_für_offene_Vermögensfragen,_Rehabilitierungs-_und_sonstiges_Wiedergutmachungsrecht","8039610","","3658","20241121210808","Q15724638"
"211","Zeitschrift_für_Luft-_und_Weltraumrecht","8093487","","8604","20241007212440","Q15724692"
"212","Medien_Internet_und_Recht","8110713","","3398","20230113215532","Q1649702"
"213","Max_Planck_Yearbook_of_United_Nations_Law","8464597","","3724","20230113215507","Q18629095"
"214","Demokratie_und_Recht","8530752","","3825","20211120111609","Q19277969"
"215","Corporate_Compliance_Zeitschrift","8578777","","1325","20231222104946","Q19277607"
"216","Zeitschrift_für_Ausländerrecht_und_Ausländerpolitik","8598358","","3533","20230803105115","Q19969846"
"217","Kindschaftsrechtliche_Praxis","8792472","","1736","20230303214859","Q19794067"
"218","Zentralblatt_für_Jugendrecht","8792476","","2794","20201130141601","Q19816420"
"219","Zeitschrift_für_Kindschaftsrecht_und_Jugendhilfe","8793059","","2702","20240620102557","Q19816419"
"220","Zeitschrift_für_die_gesamte_erbrechtliche_Praxis","8793066","","2115","20200121084640","Q20183383"
"221","Neue_Zeitschrift_für_Wirtschafts-,_Steuer-_und_Unternehmensstrafrecht","8854197","","3376","20230113220205","Q20183876"
"222","Deutsch-Deutsche_Rechts-Zeitschrift","8959569","","2003","20230113141005","Q21040832"
"223","Grundstücksmarkt_und_Grundstückswert","8969593","","680","20200617001945","Q21040833"
"224","Studere","9000515","","2914","20230416141904","Q26898022"
"225","Mitteilungen_des_Instituts_für_Parteienrecht_und_Parteienforschung","9073603","","2033","20200115103536","Q21584336"
"226","Neue_Zeitschrift_für_Familienrecht","9246193","","997","20220806061311","Q23786602"
"227","Zeitschrift_für_Familien-_und_Erbrecht","9246217","","879","20201130144134","Q23786603"
"228","Der_Familien-Rechts-Berater","9246251","","665","20210703081937","Q23786605"
"229","Praxis_der_freiwilligen_Gerichtsbarkeit","9246335","","941","20220711074720","Q23786606"
"230","Forum_Familienrecht","9246605","","885","20230113141826","Q23786608"
"231","Zeitschrift_für_deutsches_und_internationales_Bau-_und_Vergaberecht","9397288","","1843","20210116202208","Q23787826"
"232","NVwZ-Rechtsprechungs-Report_Verwaltungsrecht","9398422","","2669","20200113201937","Q23787853"
"233","Deutsche_Justiz","9406706","","2667","20210413060611","Q23788037"
"234","Zeitschrift_für_Gesetzgebung","9510716","","2131","20230412170539","Q25345607"
"235","Compliance-Berater","9519648","","2131","20231206235033","Q26822286"
"236","Zeitschrift_für_die_Anwaltspraxis","9547931","","1676","20221214182940","Q26237542"
"237","HRRS","9839352","","3578","20220724053329","Q29310575"
"238","Life&Law","9887026","","2110","20230303155414","Q30133739"
"239","Zeitschrift_für_Landesverfassungsrecht_und_Landesverwaltungsrecht","9901317","","4636","20241125101214","Q30133745"
"240","Neue_Deutsche_Beamtenzeitung","10017848","","1145","20210525100507","Q48754408"
"241","Europarecht_(Zeitschrift)","10073919","","2850","20211103191725","Q15754311"
"242","Rescriptum","10078456","","3281","20240325084655","Q48755232"
"243","European_Company_and_Financial_Law_Review","10140367","","5272","20230113141609","Q15817426"
"244","Zeitschrift_für_Arbeitsrecht","10141412","","3226","20200708104853","Q47162967"
"245","Entscheidungen_der_Oberlandesgerichte_in_Zivilsachen","10191310","","164","20180115233738",""
"246","Neue_Juristische_Online-Zeitschrift","10254826","","1488","20210312185724","Q55518540"
"247","Familienrecht_kompakt","10312225","","1016","20231222065343","Q55519685"
"248","Zeitschrift_für_die_Steuer-_und_Erbrechtspraxis","10327595","","3005","20240620103800","Q55520029"
"249","NWB_Internationales_Steuer-_und_Wirtschaftsrecht_–_IWB","10366749","","2241","20240407185748","Q55380185"
"250","NWB_Steuer-_und_Wirtschaftsrecht","10373028","","1943","20221021090648","Q55505707"
"251","NWB_Rechnungswesen_–_BBK","10373054","","2968","20240210100655","Q55520995"
"252","Zeitschrift_für_das_gesamte_Verfahrensrecht","10553968","","2673","20211114145625","Q58908998"
"253","Pflegerecht","10587456","","1149","20240310064722","Q60847434"
"254","NLPrax_-_Praxiszeitschrift_für_Nachlasswesen","10938506","","4174","20191231202956","Q66999011"
"255","Der_Öffentliche_Dienst","10939342","","3252","20220518230202","Q67016526"
"256","Recht_im_Amt","10939357","","2147","20190902141829","Q67016530"
"257","Zeitschrift_für_Medizinstrafrecht","11042702","","2604","20240820161622","Q76113921"
"258","Der_medizinische_Sachverständige","11098766","","4151","20240119170620","Q27720088"
"259","Archiv_für_Rechts-_und_Sozialphilosophie","11228640","","5420","20221219111547","Q15710036"
"260","Staatswissenschaften_und_Staatspraxis","11278993","","2498","20230303220927","Q93294002"
"261","Verwaltungsblätter_für_Baden-Württemberg","11315025","","2111","20240626184953","Q95630512"
"262","Zeitschrift_für_das_Gesamte_Sicherheitsrecht","11637904","","7459","20220918125240","Q105135545"
"263","Das_Grundeigentum","11688524","","6767","20230718084709","Q105826891"
"264","Zeitschrift_für_Restrukturierung_und_Insolvenz","11692897","","1159","20240712144102","Q105906715"
"265","Nationale_Wirtschaft","11739396","","1288","20210806083445","Q106489499"
"266","Zeitschrift_zum_Innovations-_und_Technikrecht","11829022","","2975","20241004110529","Q107327223"
"267","Zeitschrift_für_Rechtssoziologie","11830043","","2820","20240706093007","Q96335163"
"268","SpoPrax","11834794","","3401","20231124225017","Q107406439"
"269","Magazin_für_das_Civil-_und_Criminal-Recht_des_Königreichs_Westphalen","11911454","","3331","20230113215403","Q108429073"
"270","Geldwäsche_&_Recht","11924463","","2188","20230910115635","Q108574468"
"271","Recht_der_Zahlungsdienste","11924512","","2598","20220608104133","Q108574769"
"272","Rechtstheorie_(Zeitschrift)","11980011","","3442","20241102160730","Q15760353"
"273","Zeitschrift_für_Sport_und_Recht","12144214","","4264","20230724153156","Q111012397"
"274","Zeitschrift_für_Vertriebsrecht","12174877","","3330","20221215162938","Q111285421"
"275","Recht_der_Familienunternehmen","12199498","","980","20230614151619","Q111528993"
"276","Ius_Commune_(Zeitschrift)","12308083","","3143","20240409093031","Q113115961"
"277","Zeitschrift_für_Bank-_und_Kapitalmarktrecht","12358653","","3257","20230730193715","Q113669811"
"278","Hanover_Law_Review","12504687","","7172","20240718102837","Q116444639"
"279","Zeitschrift_für_Lebensrecht","12521228","","2899","20230118103853","Q116235779"
"280","Logistik_&_Recht","12559598","","2748","20230601140717","Q116778578"
"281","NStZ-Rechtsprechungs-Report_Strafrecht","12627807","","3376","20240610200049","Q117466106"
"282","Verwaltungsrundschau","12642206","","2363","20230424102458","Q117784605"
"283","Rechtsmedizin_(Zeitschrift)","12761198","","1881","20240124182747","Q96319382"
"284","Ausbildung_–_Prüfung_–_Fachpraxis","12910873","","2523","20240926194705","Q123693106"
"285","Klima_und_Recht","12923622","","2835","20231223145812","Q123910683"
"286","Allgemeines_Staatsverfassungs-Archiv","13084706","","2771","20240922111831","Q125769974"
